ERROR,ATM_ID
8066.748456914953,105
12282.830167350776,390
17404.767346946202,40
18188.305916463312,101
18898.836814128907,47
20871.567869937895,366
21131.52825925643,419
22890.288495547462,34
23406.26761391932,179
23610.42501262926,399
24026.22961205612,49
25032.853255879432,77
25041.997977783067,371
25112.856059973827,44
26920.068931811966,352
27310.039984638333,355
27538.596498735962,212
27603.04488632479,8
27873.458646447998,233
28290.47438716754,136
28782.428452510158,310
28850.620575091067,267
30276.810608798234,93
33005.4584699126,327
33105.43738883224,106
33280.667895919796,414
34346.11446902841,407
36074.83582073501,43
36580.46096729986,2
36784.28160665819,375
36787.01283487474,207
37570.598675346,249
37755.85513348132,405
39993.508249336664,342
40908.17195178186,138
40962.060635933485,255
42072.429162850014,239
42795.07683688742,99
43544.17085526517,312
44117.75031969374,126
47107.35556540988,70
48508.98081976835,72
48861.09937040012,139
50348.4386088117,64
50828.88917618284,23
50944.3565438467,217
51778.778962673685,69
52072.225503767506,68
52793.356893320364,117
53040.76192234606,166
