DATE,CLOSE_USD,CLOSE_EUR,CLOSE_ZOL,CLOSE_NEFT,CLOSE_SER
2015-01-01,56.2376,68.3681,2168.34,56.51,28.55
2015-01-02,,,,,
2015-01-03,,,,,
2015-01-04,,,,,
2015-01-05,,,,,
2015-01-06,,,,,
2015-01-07,,,,,
2015-01-08,,,,,
2015-01-09,,,,,
2015-01-10,,,,,
2015-01-11,,,,,
2015-01-12,,,,,
2015-01-13,62.7363,74.3551,2464.8,55.8,32.76
2015-01-14,64.8425,76.7735,2582.98,53.15,34.44
2015-01-15,66.0983,77.9629,2611.23,50.9,36.13
2015-01-16,64.8337,76.3352,2574.82,51.02,34.69
2015-01-17,65.1738,75.8623,2636.52,51.05,35.87
2015-01-18,,,,,
2015-01-19,,,,,
2015-01-20,64.9732,75.17399999999999,2664.44,49.95,35.34
2015-01-21,64.9862,75.2735,2699.97,49.38,36.88
2015-01-22,65.5558,75.8218,2735.75,47.2,37.52
2015-01-23,65.4,75.7724,2706.12,46.79,38.31
2015-01-24,63.393,71.9067,2636.32,48.61,36.85
2015-01-25,,,,,
2015-01-26,,,,,
2015-01-27,65.5937,73.5633,2705.17,48.36,38.44
2015-01-28,67.8153,76.2922,2788.62,49.9,38.87
2015-01-29,67.1506,76.2629,2778.56,49.91,38.58
2015-01-30,68.7303,77.569,2818.51,48.85,39.8
2015-01-31,68.9291,78.1105,2800.07,48.17,38.63
2015-02-01,,,,,
2015-02-02,,,,,
2015-02-03,69.664,78.79,2854.0,48.75,37.9
2015-02-04,67.7727,76.8271,2791.22,49.0,37.52
2015-02-05,65.447,75.0415,2670.72,48.55,37.01
2015-02-06,68.6113,77.9356,2787.71,47.97,38.36
2015-02-07,66.0432,75.6591,2683.9,48.11,36.1
2015-02-08,,,,,
2015-02-09,,,,,
2015-02-10,65.7817,74.5833,2627.27,49.26,36.42
2015-02-11,65.4469,74.1382,2603.9,48.65,35.71
2015-02-12,66.0585,74.7386,2623.99,49.05,35.68
2015-02-13,66.0994,74.8311,2603.83,52.95,36.02
2015-02-14,65.0862,74.3675,2564.97,52.1,35.34
2015-02-15,,,,,
2015-02-16,,,,,
2015-02-17,62.6632,71.5426,2485.09,54.85,33.97
2015-02-18,62.8353,71.3243,2468.18,58.02,34.89
2015-02-19,62.4001,71.08,2420.49,55.47,33.74
2015-02-20,62.1307,70.9408,2432.51,57.87,32.8
2015-02-21,61.7235,70.0315,2388.29,59.09,33.2
2015-02-22,,,,,
2015-02-23,,,,,
