days_to_holiday,days_after_holiday,Timestamp
0,-1,2015-01-01
0,-1,2015-01-02
0,-1,2015-01-03
0,-1,2015-01-04
0,-1,2015-01-05
0,-1,2015-01-06
0,-1,2015-01-07
0,-1,2015-01-08
0,-45,2015-01-09
1,-44,2015-01-10
2,-43,2015-01-11
3,-42,2015-01-12
4,-41,2015-01-13
5,-40,2015-01-14
6,-39,2015-01-15
7,-38,2015-01-16
8,-37,2015-01-17
9,-36,2015-01-18
10,-35,2015-01-19
11,-34,2015-01-20
12,-33,2015-01-21
13,-32,2015-01-22
14,-31,2015-01-23
15,-30,2015-01-24
16,-29,2015-01-25
17,-28,2015-01-26
18,-27,2015-01-27
19,-26,2015-01-28
20,-25,2015-01-29
21,-24,2015-01-30
22,-23,2015-01-31
23,-22,2015-02-01
24,-21,2015-02-02
25,-20,2015-02-03
26,-19,2015-02-04
27,-18,2015-02-05
28,-17,2015-02-06
29,-16,2015-02-07
30,-15,2015-02-08
31,-14,2015-02-09
32,-13,2015-02-10
33,-12,2015-02-11
34,-11,2015-02-12
35,-10,2015-02-13
36,-9,2015-02-14
37,-8,2015-02-15
38,-7,2015-02-16
39,-6,2015-02-17
40,-5,2015-02-18
41,-4,2015-02-19
42,-3,2015-02-20
43,-2,2015-02-21
44,-1,2015-02-22
0,-13,2015-02-23
1,-12,2015-02-24
2,-11,2015-02-25
3,-10,2015-02-26
4,-9,2015-02-27
5,-8,2015-02-28
6,-7,2015-03-01
7,-6,2015-03-02
8,-5,2015-03-03
9,-4,2015-03-04
10,-3,2015-03-05
11,-2,2015-03-06
12,-1,2015-03-07
0,-1,2015-03-08
0,-53,2015-03-09
1,-52,2015-03-10
2,-51,2015-03-11
3,-50,2015-03-12
4,-49,2015-03-13
5,-48,2015-03-14
6,-47,2015-03-15
7,-46,2015-03-16
8,-45,2015-03-17
9,-44,2015-03-18
10,-43,2015-03-19
11,-42,2015-03-20
12,-41,2015-03-21
13,-40,2015-03-22
14,-39,2015-03-23
15,-38,2015-03-24
16,-37,2015-03-25
17,-36,2015-03-26
18,-35,2015-03-27
19,-34,2015-03-28
20,-33,2015-03-29
21,-32,2015-03-30
22,-31,2015-03-31
23,-30,2015-04-01
24,-29,2015-04-02
25,-28,2015-04-03
26,-27,2015-04-04
27,-26,2015-04-05
28,-25,2015-04-06
29,-24,2015-04-07
30,-23,2015-04-08
31,-22,2015-04-09
32,-21,2015-04-10
33,-20,2015-04-11
34,-19,2015-04-12
35,-18,2015-04-13
36,-17,2015-04-14
37,-16,2015-04-15
38,-15,2015-04-16
39,-14,2015-04-17
40,-13,2015-04-18
41,-12,2015-04-19
42,-11,2015-04-20
43,-10,2015-04-21
44,-9,2015-04-22
45,-8,2015-04-23
46,-7,2015-04-24
47,-6,2015-04-25
48,-5,2015-04-26
49,-4,2015-04-27
50,-3,2015-04-28
51,-2,2015-04-29
52,-1,2015-04-30
0,-3,2015-05-01
1,-2,2015-05-02
2,-1,2015-05-03
0,-5,2015-05-04
1,-4,2015-05-05
2,-3,2015-05-06
3,-2,2015-05-07
4,-1,2015-05-08
0,-2,2015-05-09
1,-1,2015-05-10
0,-32,2015-05-11
1,-31,2015-05-12
2,-30,2015-05-13
3,-29,2015-05-14
4,-28,2015-05-15
5,-27,2015-05-16
6,-26,2015-05-17
7,-25,2015-05-18
8,-24,2015-05-19
9,-23,2015-05-20
10,-22,2015-05-21
11,-21,2015-05-22
12,-20,2015-05-23
13,-19,2015-05-24
14,-18,2015-05-25
15,-17,2015-05-26
16,-16,2015-05-27
17,-15,2015-05-28
18,-14,2015-05-29
19,-13,2015-05-30
20,-12,2015-05-31
21,-11,2015-06-01
22,-10,2015-06-02
23,-9,2015-06-03
24,-8,2015-06-04
25,-7,2015-06-05
26,-6,2015-06-06
27,-5,2015-06-07
28,-4,2015-06-08
29,-3,2015-06-09
30,-2,2015-06-10
31,-1,2015-06-11
0,-145,2015-06-12
1,-144,2015-06-13
2,-143,2015-06-14
3,-142,2015-06-15
4,-141,2015-06-16
5,-140,2015-06-17
6,-139,2015-06-18
7,-138,2015-06-19
8,-137,2015-06-20
9,-136,2015-06-21
10,-135,2015-06-22
11,-134,2015-06-23
12,-133,2015-06-24
13,-132,2015-06-25
14,-131,2015-06-26
15,-130,2015-06-27
16,-129,2015-06-28
17,-128,2015-06-29
18,-127,2015-06-30
19,-126,2015-07-01
20,-125,2015-07-02
21,-124,2015-07-03
22,-123,2015-07-04
23,-122,2015-07-05
24,-121,2015-07-06
25,-120,2015-07-07
26,-119,2015-07-08
27,-118,2015-07-09
28,-117,2015-07-10
29,-116,2015-07-11
30,-115,2015-07-12
31,-114,2015-07-13
32,-113,2015-07-14
33,-112,2015-07-15
34,-111,2015-07-16
35,-110,2015-07-17
36,-109,2015-07-18
37,-108,2015-07-19
38,-107,2015-07-20
39,-106,2015-07-21
40,-105,2015-07-22
41,-104,2015-07-23
42,-103,2015-07-24
43,-102,2015-07-25
44,-101,2015-07-26
45,-100,2015-07-27
46,-99,2015-07-28
47,-98,2015-07-29
48,-97,2015-07-30
49,-96,2015-07-31
50,-95,2015-08-01
51,-94,2015-08-02
52,-93,2015-08-03
53,-92,2015-08-04
54,-91,2015-08-05
55,-90,2015-08-06
56,-89,2015-08-07
57,-88,2015-08-08
58,-87,2015-08-09
59,-86,2015-08-10
60,-85,2015-08-11
61,-84,2015-08-12
62,-83,2015-08-13
63,-82,2015-08-14
64,-81,2015-08-15
65,-80,2015-08-16
66,-79,2015-08-17
67,-78,2015-08-18
68,-77,2015-08-19
69,-76,2015-08-20
70,-75,2015-08-21
71,-74,2015-08-22
72,-73,2015-08-23
73,-72,2015-08-24
74,-71,2015-08-25
75,-70,2015-08-26
76,-69,2015-08-27
77,-68,2015-08-28
78,-67,2015-08-29
79,-66,2015-08-30
80,-65,2015-08-31
81,-64,2015-09-01
82,-63,2015-09-02
83,-62,2015-09-03
84,-61,2015-09-04
85,-60,2015-09-05
86,-59,2015-09-06
87,-58,2015-09-07
88,-57,2015-09-08
89,-56,2015-09-09
90,-55,2015-09-10
91,-54,2015-09-11
92,-53,2015-09-12
93,-52,2015-09-13
94,-51,2015-09-14
95,-50,2015-09-15
96,-49,2015-09-16
97,-48,2015-09-17
98,-47,2015-09-18
99,-46,2015-09-19
100,-45,2015-09-20
101,-44,2015-09-21
102,-43,2015-09-22
103,-42,2015-09-23
104,-41,2015-09-24
105,-40,2015-09-25
106,-39,2015-09-26
107,-38,2015-09-27
108,-37,2015-09-28
109,-36,2015-09-29
110,-35,2015-09-30
111,-34,2015-10-01
112,-33,2015-10-02
113,-32,2015-10-03
114,-31,2015-10-04
115,-30,2015-10-05
116,-29,2015-10-06
117,-28,2015-10-07
118,-27,2015-10-08
119,-26,2015-10-09
120,-25,2015-10-10
121,-24,2015-10-11
122,-23,2015-10-12
123,-22,2015-10-13
124,-21,2015-10-14
125,-20,2015-10-15
126,-19,2015-10-16
127,-18,2015-10-17
128,-17,2015-10-18
129,-16,2015-10-19
130,-15,2015-10-20
131,-14,2015-10-21
132,-13,2015-10-22
133,-12,2015-10-23
134,-11,2015-10-24
135,-10,2015-10-25
136,-9,2015-10-26
137,-8,2015-10-27
138,-7,2015-10-28
139,-6,2015-10-29
140,-5,2015-10-30
141,-4,2015-10-31
142,-3,2015-11-01
143,-2,2015-11-02
144,-1,2015-11-03
0,-58,2015-11-04
1,-57,2015-11-05
2,-56,2015-11-06
3,-55,2015-11-07
4,-54,2015-11-08
5,-53,2015-11-09
6,-52,2015-11-10
7,-51,2015-11-11
8,-50,2015-11-12
9,-49,2015-11-13
10,-48,2015-11-14
11,-47,2015-11-15
12,-46,2015-11-16
13,-45,2015-11-17
14,-44,2015-11-18
15,-43,2015-11-19
16,-42,2015-11-20
17,-41,2015-11-21
18,-40,2015-11-22
19,-39,2015-11-23
20,-38,2015-11-24
21,-37,2015-11-25
22,-36,2015-11-26
23,-35,2015-11-27
24,-34,2015-11-28
25,-33,2015-11-29
26,-32,2015-11-30
27,-31,2015-12-01
28,-30,2015-12-02
29,-29,2015-12-03
30,-28,2015-12-04
31,-27,2015-12-05
32,-26,2015-12-06
33,-25,2015-12-07
34,-24,2015-12-08
35,-23,2015-12-09
36,-22,2015-12-10
37,-21,2015-12-11
38,-20,2015-12-12
39,-19,2015-12-13
40,-18,2015-12-14
41,-17,2015-12-15
42,-16,2015-12-16
43,-15,2015-12-17
44,-14,2015-12-18
45,-13,2015-12-19
46,-12,2015-12-20
47,-11,2015-12-21
48,-10,2015-12-22
49,-9,2015-12-23
50,-8,2015-12-24
51,-7,2015-12-25
52,-6,2015-12-26
53,-5,2015-12-27
54,-4,2015-12-28
55,-3,2015-12-29
56,-2,2015-12-30
57,-1,2015-12-31
0,-1,2016-01-01
0,-1,2016-01-02
0,-1,2016-01-03
0,-1,2016-01-04
0,-1,2016-01-05
0,-1,2016-01-06
0,-1,2016-01-07
0,-45,2016-01-08
1,-44,2016-01-09
2,-43,2016-01-10
3,-42,2016-01-11
4,-41,2016-01-12
5,-40,2016-01-13
6,-39,2016-01-14
7,-38,2016-01-15
8,-37,2016-01-16
9,-36,2016-01-17
10,-35,2016-01-18
11,-34,2016-01-19
12,-33,2016-01-20
13,-32,2016-01-21
14,-31,2016-01-22
15,-30,2016-01-23
16,-29,2016-01-24
17,-28,2016-01-25
18,-27,2016-01-26
19,-26,2016-01-27
20,-25,2016-01-28
21,-24,2016-01-29
