,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),13.031195325915078,0.00128
"Access to anti-retroviral drugs, female (%)",12.723488485211293,0.00143
"Access to anti-retroviral drugs, male (%)",12.615512573326656,0.00149
Adults (ages 15+) and children (0-14 years) living with HIV,18.686670524632756,0.0002
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,13.047796488209974,0.00127
Adults (ages 15+) living with HIV,18.686670524632756,0.0002
Adults (ages 15+) newly infected with HIV,13.047796488209974,0.00127
"Age dependency ratio, old",57.032760672157444,0.0
"Age dependency ratio, young",71.8034301081293,0.0
"Age population, age 0, female, interpolated",17.54265866394254,0.00029
"Age population, age 0, male, interpolated",17.524259985841564,0.00029
"Age population, age 01, female, interpolated",18.21216748942694,0.00023
"Age population, age 01, male, interpolated",18.234733787682284,0.00023
"Age population, age 02, female, interpolated",18.736993094783386,0.0002
"Age population, age 02, male, interpolated",18.77091985840608,0.0002
"Age population, age 03, female, interpolated",18.939510817868236,0.00019
"Age population, age 03, male, interpolated",19.024908978234055,0.00018
"Age population, age 04, female, interpolated",18.43808108231206,0.00022
"Age population, age 04, male, interpolated",18.414708772435638,0.00022
"Age population, age 05, female, interpolated",17.500560608990465,0.00029
"Age population, age 05, male, interpolated",17.29105012939658,0.00031
"Age population, age 06, female, interpolated",16.501011055162486,0.0004
"Age population, age 06, male, interpolated",16.13133199563077,0.00045
"Age population, age 07, female, interpolated",15.500598228490935,0.00055
"Age population, age 07, male, interpolated",15.00585084565466,0.00065
"Age population, age 08, female, interpolated",14.525607856107086,0.00076
"Age population, age 08, male, interpolated",13.939331657487166,0.00093
"Age population, age 09, female, interpolated",13.603601866389747,0.00105
"Age population, age 09, male, interpolated",12.953358491843787,0.00132
"Age population, age 10, female, interpolated",12.819285180447126,0.00138
"Age population, age 10, male, interpolated",12.140677252650928,0.00176
"Age population, age 11, female, interpolated",12.276396226974724,0.00168
"Age population, age 11, male, interpolated",11.614314143841483,0.00214
"Age population, age 12, female, interpolated",12.049149324295826,0.00182
"Age population, age 12, male, interpolated",11.445726512943143,0.00228
"Age population, age 13, female, interpolated",12.162808813032422,0.00175
"Age population, age 13, male, interpolated",11.646948528372072,0.00212
"Age population, age 14, female, interpolated",12.558921190822982,0.00152
"Age population, age 14, male, interpolated",12.160911956485801,0.00175
"Age population, age 15, female, interpolated",13.08579725509642,0.00126
"Age population, age 15, male, interpolated",12.828298566442012,0.00138
"Age population, age 16, female, interpolated",13.608744406761911,0.00105
"Age population, age 16, male, interpolated",13.498869127704884,0.00109
"Age population, age 17, female, interpolated",14.115268531080131,0.00088
"Age population, age 17, male, interpolated",14.165423905778148,0.00086
