,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),206.9147703544979,0.0
"Access to anti-retroviral drugs, female (%)",30.474884946951843,0.0
"Access to anti-retroviral drugs, male (%)",29.64648040624416,0.0
Adults (ages 15+) and children (0-14 years) living with HIV,232.39607023697445,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,263.5429052097707,0.0
Adults (ages 15+) living with HIV,219.69254723372248,0.0
Adults (ages 15+) newly infected with HIV,250.36113215164224,0.0
Age dependency ratio (% of working-age population),68.24639393011104,0.0
"Age dependency ratio, old",186.59094655655093,0.0
"Age dependency ratio, young",191.392366003576,0.0
"Age population, age 0, female, interpolated",69.83793302354232,0.0
"Age population, age 0, male, interpolated",68.21123092694233,0.0
"Age population, age 01, female, interpolated",68.19114898661495,0.0
"Age population, age 01, male, interpolated",66.715560241622,0.0
"Age population, age 02, female, interpolated",66.74932439567392,0.0
"Age population, age 02, male, interpolated",65.31937330825794,0.0
"Age population, age 03, female, interpolated",65.15643381047379,0.0
"Age population, age 03, male, interpolated",63.744660058076605,0.0
"Age population, age 04, female, interpolated",63.482890811816844,0.0
"Age population, age 04, male, interpolated",62.017642557615595,0.0
"Age population, age 05, female, interpolated",61.732419701504035,0.0
"Age population, age 05, male, interpolated",60.170380571281385,0.0
"Age population, age 06, female, interpolated",60.006605990009476,0.0
"Age population, age 06, male, interpolated",58.303694546103735,0.0
"Age population, age 07, female, interpolated",58.30429773260316,0.0
"Age population, age 07, male, interpolated",56.42875998149468,0.0
"Age population, age 08, female, interpolated",56.615099039416094,0.0
"Age population, age 08, male, interpolated",54.54709668338957,0.0
"Age population, age 09, female, interpolated",54.94606385252586,0.0
"Age population, age 09, male, interpolated",52.67173389226947,0.0
"Age population, age 10, female, interpolated",53.28789306450631,0.0
"Age population, age 10, male, interpolated",50.80869294558701,0.0
"Age population, age 11, female, interpolated",51.61546563430344,0.0
"Age population, age 11, male, interpolated",48.95260700540407,0.0
"Age population, age 12, female, interpolated",49.88947793410527,0.0
"Age population, age 12, male, interpolated",47.08575885668048,0.0
"Age population, age 13, female, interpolated",48.089745483144576,0.0
"Age population, age 13, male, interpolated",45.19050206749283,0.0
"Age population, age 14, female, interpolated",46.18466380700911,0.0
"Age population, age 14, male, interpolated",43.23041280280772,0.0
"Age population, age 15, female, interpolated",44.289539380110945,0.0
"Age population, age 15, male, interpolated",41.301721498980896,0.0
"Age population, age 16, female, interpolated",42.57097217192674,0.0
"Age population, age 16, male, interpolated",39.548393356246166,0.0
"Age population, age 17, female, interpolated",41.123436291142795,0.0
"Age population, age 17, male, interpolated",38.042504513084666,0.0
"Age population, age 18, female, interpolated",39.919993428211264,0.0
"Age population, age 18, male, interpolated",36.755702897422545,0.0
"Age population, age 19, female, interpolated",38.94946075802977,0.0
"Age population, age 19, male, interpolated",35.69118092917649,0.0
"Age population, age 20, female, interpolated",38.07952024663255,0.0
"Age population, age 20, male, interpolated",34.72583113150998,0.0
"Age population, age 21, female, interpolated",37.12578026596197,0.0
"Age population, age 21, male, interpolated",33.67584603480581,0.0
"Age population, age 22, female, interpolated",35.96626669077226,0.0
"Age population, age 22, male, interpolated",32.425116164215304,0.0
"Age population, age 23, female, interpolated",34.60758984994725,0.0
"Age population, age 23, male, interpolated",30.98982858022749,0.0
"Age population, age 24, female, interpolated",33.09737235091943,0.0
"Age population, age 24, male, interpolated",29.40839514416355,0.0
"Age population, age 25, female, interpolated",31.43266640316905,0.0
"Age population, age 25, male, interpolated",27.674983079566196,0.0
