,F-value,p-value
"Access to anti-retroviral drugs, female (%)",36.345679304729615,0.0
"Access to anti-retroviral drugs, male (%)",66.40210664442893,0.0
"Adjusted net enrollment rate, primary (% of primary school age children)",33.48711109603136,0.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",23.19645034767536,0.0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",23.19446990430427,0.0
Adults (ages 15+) and children (0-14 years) living with HIV,7.620079347642271,0.00676
Adults (ages 15+) living with HIV,7.760610663400054,0.00629
Adults (ages 15+) newly infected with HIV,6.943814734105818,0.00962
"Age at first marriage, female",27.515788904889863,0.0
"Age at first marriage, male",27.51423667384851,0.0
Age dependency ratio (% of working-age population),229.9551537963823,0.0
"Age dependency ratio, old",68.34538712161036,0.0
"Age dependency ratio, young",269.9276743881412,0.0
"Age population, age 10, male, interpolated",6.9172969627070975,0.00976
"Age population, age 11, female, interpolated",6.9514879164101355,0.00959
"Age population, age 11, male, interpolated",7.011926850452092,0.00929
"Age population, age 12, female, interpolated",7.059033287407841,0.00906
"Age population, age 12, male, interpolated",7.119623499494876,0.00878
"Age population, age 13, female, interpolated",7.180797634293403,0.0085
"Age population, age 13, male, interpolated",7.239684578127812,0.00824
"Age population, age 14, female, interpolated",7.3132651278701735,0.00793
"Age population, age 14, male, interpolated",7.370834953685959,0.0077
"Age population, age 15, female, interpolated",7.447270490806574,0.0074
"Age population, age 15, male, interpolated",7.50822579166202,0.00717
"Age population, age 16, female, interpolated",7.573767355542228,0.00693
"Age population, age 16, male, interpolated",7.645856244384614,0.00667
"Age population, age 17, female, interpolated",7.687992022982589,0.00653
"Age population, age 17, male, interpolated",7.779600014881174,0.00623
"Age population, age 18, female, interpolated",7.7885274948244305,0.0062
"Age population, age 18, male, interpolated",7.90815114463848,0.00583
"Age population, age 19, female, interpolated",7.877891450344018,0.00592
"Age population, age 19, male, interpolated",8.031586639523793,0.00547
"Age population, age 20, female, interpolated",7.961299169219163,0.00567
