,F-value,p-value
"Adjusted net enrollment rate, primary (% of primary school age children)",28.71872012762567,0.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",27.956739191048328,0.0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",27.971224602163446,0.0
Adults (ages 15+) and children (0-14 years) living with HIV,13.581088551985772,0.00053
Adults (ages 15+) living with HIV,13.15373542736197,0.00064
"Age population, age 0, female, interpolated",29.079052419623395,0.0
"Age population, age 0, male, interpolated",29.449105101533192,0.0
"Age population, age 01, female, interpolated",32.02536693249803,0.0
"Age population, age 01, male, interpolated",32.6382779838171,0.0
"Age population, age 02, female, interpolated",32.906155318662,0.0
"Age population, age 02, male, interpolated",33.70563450916697,0.0
"Age population, age 03, female, interpolated",32.47699579100257,0.0
"Age population, age 03, male, interpolated",33.537265907670175,0.0
"Age population, age 04, female, interpolated",30.17982919842257,0.0
"Age population, age 04, male, interpolated",31.272711791670137,0.0
"Age population, age 05, female, interpolated",26.5778716687639,0.0
"Age population, age 05, male, interpolated",27.51366280632108,0.0
"Age population, age 06, female, interpolated",22.688363913010257,1e-05
"Age population, age 06, male, interpolated",23.430601415463443,1e-05
"Age population, age 07, female, interpolated",18.90447503673264,6e-05
"Age population, age 07, male, interpolated",19.459645823851712,5e-05
"Age population, age 08, female, interpolated",15.461192331786702,0.00024
"Age population, age 08, male, interpolated",15.854832444293738,0.00021
"Age population, age 09, female, interpolated",12.478395881929057,0.00085
"Age population, age 09, male, interpolated",12.738999142614055,0.00076
"Age population, age 10, female, interpolated",10.056775793343487,0.0025
"Age population, age 10, male, interpolated",10.229830021167444,0.00231
"Age population, age 11, female, interpolated",8.267289564186836,0.00576
"Age population, age 11, male, interpolated",8.410597614553946,0.00538
"Age population, age 12, male, interpolated",7.291570699656424,0.00923
"Age population, age 16, male, interpolated",7.654576861496342,0.00774
"Age population, age 17, female, interpolated",7.835515716080068,0.00709
"Age population, age 17, male, interpolated",8.571491311971828,0.00499
"Age population, age 18, female, interpolated",9.068491482159532,0.00395
"Age population, age 18, male, interpolated",9.857225662151267,0.00274
"Age population, age 19, female, interpolated",10.72310139047782,0.00185
"Age population, age 19, male, interpolated",11.501173266773794,0.00131
"Age population, age 20, female, interpolated",12.726680346463953,0.00077
"Age population, age 20, male, interpolated",13.414994847212451,0.00057
"Age population, age 21, female, interpolated",14.910183617721561,0.0003
"Age population, age 21, male, interpolated",15.431770823228344,0.00024
"Age population, age 22, female, interpolated",17.098451957618195,0.00012
"Age population, age 22, male, interpolated",17.38232022370474,0.00011
"Age population, age 23, female, interpolated",19.160857117794414,6e-05
"Age population, age 23, male, interpolated",19.144414972526356,6e-05
"Age population, age 24, female, interpolated",21.004477080611576,3e-05
"Age population, age 24, male, interpolated",20.674837798232826,3e-05
"Age population, age 25, female, interpolated",22.472163593671613,2e-05
"Age population, age 25, male, interpolated",21.89877358463612,2e-05
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),26.857757575098905,0.0
CO2 emissions (kg per PPP $ of GDP),10.386363094623642,0.00215
CO2 emissions (metric tons per capita),10.664533580943958,0.0019
Children orphaned by HIV/AIDS,17.54310791228401,0.0001
"Children out of school, primary, female",12.070408599185946,0.00102
"Children out of school, primary, male",8.138426660409882,0.00613
"Cost of business start-up procedures, female (% of GNI per capita)",37.46728635689381,0.0
"Cost of business start-up procedures, male (% of GNI per capita)",37.46728635689381,0.0
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",23.2462498168028,1e-05
"Expected years of schooling, female",31.442435403476495,0.0
"Expected years of schooling, male",31.400271700166467,0.0
External resources for health (% of total expenditure on health),10.172921198054492,0.00237
Female population 00-04,32.35191596418974,0.0
Female population 05-09,19.378961556651007,5e-05
Female population 10-14,7.977789364771871,0.00662
Female population 15-19,8.598491317939313,0.00493
Female population 20-24,17.3246349515693,0.00011
Female population 25-29,23.20876823633756,1e-05
Female population 30-34,17.881714807668967,9e-05
Female population 35-39,15.193655646496895,0.00027
Female population 40-44,11.965002018173323,0.00107
Female population 45-49,12.738033468777616,0.00076
Female population 50-54,20.59704449691057,3e-05
Female population 55-59,24.959162090817994,1e-05
Female population 60-64,22.960070882429576,1e-05
Female population 75-79,10.838926673463977,0.00176
Female population 80+,11.994167521785132,0.00105
Forest area (sq. km),14.838923118928664,0.00031
GDP growth (annual %),11.971569668928394,0.00106
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),13.017522536994777,0.00068
"GNI, Atlas method (current US$)",11.158429771865595,0.00152
"Gross graduation ratio, primary, female (%)",38.95004244409093,0.0
"Gross graduation ratio, primary, male (%)",38.915259602572675,0.0
"Health expenditure, private (% of GDP)",10.22883890876699,0.00231
"Health expenditure, private (% of total health expenditure)",9.483186230816592,0.00326
"Health expenditure, public (% of GDP)",10.313320853795817,0.00223
"Health expenditure, public (% of government expenditure)",10.413542743351593,0.00213
"Health expenditure, public (% of total health expenditure)",11.228247251874448,0.00148
"Health expenditure, total (% of GDP)",10.198403233025607,0.00235
"Hospital beds (per 1,000 people)",17.1051068656061,0.00012
"Immunization, Hib3 (% of children ages 12-23 months)",42.92203488519136,0.0
Improved sanitation facilities (% of population with access),11.091502824249572,0.00157
"Improved sanitation facilities, rural (% of rural population with access)",11.099940349519313,0.00156
"Improved sanitation facilities, urban (% of urban population with access)",11.068628937634529,0.00158
"Improved water source, urban (% of urban population with access)",11.032542481387207,0.00161
"Incidence of tuberculosis (per 100,000 people)",7.5091583212632305,0.0083
Internet users (per 100 people),55.6302985360802,0.0
"Labor force, female",17.059050135036188,0.00013
"Labor force, total",18.573504703479003,7e-05
"Lower secondary completion rate, female (% of relevant age group)",25.60655614500584,1e-05
"Lower secondary completion rate, male (% of relevant age group)",25.58841138010522,1e-05
Male population 00-04,33.107269401490406,0.0
Male population 05-09,19.94212072530066,4e-05
Male population 10-14,8.219214870224242,0.0059
Male population 15-19,9.295701101546776,0.00355
Male population 20-24,17.5740875711841,0.0001
Male population 25-29,22.754338757421646,1e-05
Male population 30-34,18.66254249913738,7e-05
Male population 35-39,16.168882149231393,0.00018
Male population 40-44,13.106163069563483,0.00065
Male population 45-49,13.445643089201603,0.00056
Male population 50-54,22.38793067440258,2e-05
Male population 55-59,28.57979601921087,0.0
Male population 60-64,27.051667013532512,0.0
Male population 70-74,9.216520522163153,0.00369
Male population 75-79,19.4421300396441,5e-05
Male population 80+,29.46189318544023,0.0
Mobile cellular subscriptions (per 100 people),22.657935748595715,1e-05
"Mortality rate, adult, male (per 1,000 male adults)",8.55284804886668,0.00503
"Mortality rate, infant (per 1,000 live births)",31.928483885906825,0.0
"Mortality rate, neonatal (per 1,000 live births)",25.47432884382712,1e-05
"Mortality rate, under-5 (per 1,000 live births)",32.93704039700154,0.0
"Mortality rate, under-5 (per 1,000)",32.93704039700154,0.0
"Net intake rate in grade 1, female (% of official school-age population)",9.056414741193159,0.00397
"Net intake rate in grade 1, male (% of official school-age population)",9.053870271992604,0.00398
