,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),90.34153166031896,0.0
"Access to anti-retroviral drugs, female (%)",226.0910413054922,0.0
"Access to anti-retroviral drugs, male (%)",227.91761799216428,0.0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",11.93650166404809,0.00065
Adults (ages 15+) and children (0-14 years) living with HIV,40.6354835571901,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,70.13155569850016,0.0
Adults (ages 15+) living with HIV,40.15887920794778,0.0
Adults (ages 15+) newly infected with HIV,65.15912629725645,0.0
Age dependency ratio (% of working-age population),8.352090873517545,0.00421
"Age dependency ratio, young",9.174958136364594,0.00273
Antiretroviral therapy coverage (% of people living with HIV),229.2703077717717,0.0
"Birth rate, crude (per 1,000 people)",7.251945592962751,0.00759
Births attended by skilled health staff (% of total),67.91716267974519,0.0
Children (0-14) living with HIV,23.458033779630636,0.0
Children (ages 0-14) newly infected with HIV,51.345428447592745,0.0
Children orphaned by HIV/AIDS,16.325813423291805,7e-05
"Contributing family workers, female (% of female employment)",28.25784744858205,0.0
"Contributing family workers, male (% of male employment)",28.461295925222203,0.0
"Contributing family workers, total (% of total employment)",8.198141619192945,0.00457
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",9.224086329022265,0.00266
"Employers, female (% of female employment)",28.8098695921458,0.0
"Employers, male (% of male employment)",28.880504804485263,0.0
"Employment in agriculture, female (% of female employment)",43.79690524640177,0.0
"Employment in agriculture, male (% of male employment)",43.66695776228995,0.0
"Employment in industry, female (% of female employment)",44.64348313900847,0.0
"Employment in industry, male (% of male employment)",44.793384420148485,0.0
"Employment in services, female (% of female employment)",44.60846349264654,0.0
"Employment in services, male (% of male employment)",44.58573482436219,0.0
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",10.74454543930854,0.0012
"Employment to population ratio, 15+, female (%) (national estimate)",38.397825994798,0.0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",9.695220430608451,0.00208
"Employment to population ratio, 15+, male (%) (national estimate)",38.88179025713807,0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",10.218487142762942,0.00158
"Employment to population ratio, 15+, total (%) (national estimate)",38.650918170725994,0.0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",10.765012560165523,0.00119
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",10.18142276877236,0.00161
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",10.468185050081125,0.00139
"Expected years of schooling, female",29.12894533270198,0.0
"Expected years of schooling, male",29.00784900571715,0.0
Fixed telephone subscriptions (per 100 people),13.712812422300507,0.00027
Forest area (sq. km),31.96305887342148,0.0
GDP growth (annual %),10.09635200025133,0.00168
GDP per capita (Current US$),243.08634978388883,0.0
GDP per person employed (constant 2011 PPP $),69.48405724286916,0.0
"GNI per capita, Atlas method (current US$)",239.44133461259676,0.0
"GNI per capita, PPP (current international $)",246.88650227401075,0.0
"Government expenditure on education, total (% of GDP)",20.815339830823195,1e-05
"Government expenditure per student, primary (% of GDP per capita)",17.47246827812168,4e-05
"Government expenditure per student, secondary (% of GDP per capita)",28.46958422129567,0.0
Gross capital formation (% of GDP),7.1830165570239215,0.00788
"Gross graduation ratio, primary, female (%)",15.074924859185945,0.00013
"Gross graduation ratio, primary, male (%)",14.618935659690802,0.00017
Health expenditure per capita (current US$),8.094536340660618,0.00483
"Health expenditure per capita, PPP",16.651007506676795,6e-05
"Health expenditure per capita, PPP (constant 2011 international $)",16.651007506676795,6e-05
"Immunization, BCG (% of one-year-old children)",13.30039045078119,0.00033
"Immunization, DPT (% of children ages 12-23 months)",15.163882007841169,0.00013
"Immunization, HepB3 (% of one-year-old children)",36.977712450197714,0.0
"Immunization, Hib3 (% of children ages 12-23 months)",14.943744978724222,0.00014
"Immunization, Pol3 (% of one-year-old children)",15.177360121022103,0.00013
"Immunization, measles (% of children ages 12-23 months)",14.859516795861154,0.00015
Incidence of HIV (% of uninfected population ages 15-49),264.6144408805219,0.0
"Incidence of tuberculosis (per 100,000 people)",10.22119894909236,0.00158
Internet users (per 100 people),10.728796068091388,0.00121
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",10.864668621292177,0.00113
"Labor force participation rate for ages 15-24, female (%) (national estimate)",24.554899544249896,0.0
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",10.316200516081897,0.0015
"Labor force participation rate for ages 15-24, male (%) (national estimate)",24.85292464344139,0.0
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",10.86135912071236,0.00113
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",38.82808153566122,0.0
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",9.865096073284073,0.0019
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",39.424522575833464,0.0
"Labor force, female (% of total labor force)",13.186982937499222,0.00035
Lifetime risk of maternal death (%),56.60533237807922,0.0
"Lower secondary completion rate, female (% of relevant age group)",13.453361169872712,0.0003
"Lower secondary completion rate, male (% of relevant age group)",12.972719049461098,0.00039
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",157.20624286147122,0.0
Mobile cellular subscriptions (per 100 people),30.034367971667226,0.0
"Mortality rate, adult, female (per 1,000 female adults)",50.277444695397755,0.0
"Mortality rate, adult, male (per 1,000 male adults)",36.8424065455126,0.0
"Mortality rate, infant (per 1,000 live births)",645.9930047874217,0.0
"Mortality rate, neonatal (per 1,000 live births)",290.66442132092436,0.0
"Mortality rate, under-5 (per 1,000 live births)",758.8447812248818,0.0
"Mortality rate, under-5 (per 1,000)",758.8447812248818,0.0
Newborns protected against tetanus (%),13.579294962917277,0.00028
Number of infant deaths,23.52218044178574,0.0
Number of maternal deaths,22.35257698980087,0.0
Number of neonatal deaths,10.535476296069298,0.00134
Number of under-five deaths,26.471015774365416,0.0
"Own-account workers, female (% of females employed)",28.072614332482075,0.0
"Own-account workers, male (% of males employed)",28.11790246986842,0.0
"PPP conversion factor, private consumption (LCU per international $)",6.7902426482772755,0.00975
"People practicing open defecation, rural (% of rural population)",16.725730420371313,6e-05
"People practicing open defecation, urban (% of urban population)",15.271490804804216,0.00012
"People using basic drinking water services, rural (% of rural population)",12.810973346458702,0.00042
"People using basic drinking water services, urban (% of urban population)",14.583596928547506,0.00017
"People using basic sanitation services, rural (% of rural population)",12.923722086525482,0.00039
"People using basic sanitation services, urban  (% of urban population)",13.904114267973311,0.00024
People using safely managed sanitation services (% of population),10.08589358170433,0.00169
"People using safely managed sanitation services, rural (% of rural population)",13.147476023309183,0.00035
"People using safely managed sanitation services, urban  (% of urban population)",10.100017650579163,0.00168
