,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),109.65582333185154,0.0
"Access to anti-retroviral drugs, female (%)",107.80502364936041,0.0
"Access to anti-retroviral drugs, male (%)",107.80217003550639,0.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",86.24150962654292,0.0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",86.1514866534475,0.0
Adults (ages 15+) and children (0-14 years) living with HIV,84.99998550603061,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,109.65582333185154,0.0
Adults (ages 15+) living with HIV,84.99998550603061,0.0
Adults (ages 15+) newly infected with HIV,109.65582333185154,0.0
Age dependency ratio (% of working-age population),8.359452085615802,0.00618
"Age dependency ratio, old",223.4321493097366,0.0
"Age dependency ratio, young",290.6713678300466,0.0
Agricultural support estimate (% of GDP),53.0168301045661,0.0
Antiretroviral therapy coverage (% of people living with HIV),107.83027061780433,0.0
Average tariffs imposed by developed countries on agricultural products from developing countries (%),49.4555078308357,0.0
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),49.43198954119035,0.0
Average tariffs imposed by developed countries on clothing products from developing countries (%),49.444002077716,0.0
Average tariffs imposed by developed countries on clothing products from least developed countries (%),49.45645633777001,0.0
Average tariffs imposed by developed countries on textile products from developing countries (%),49.45427911742915,0.0
Average tariffs imposed by developed countries on textile products from least developed countries (%),49.45357077358104,0.0
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),17.41468627272961,0.00016
Bilateral ODA commitments that is untied (current US$),16.866018294568704,0.00019
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",69.51957590718281,0.0
"Bilateral, sector-allocable ODA to basic social services (current US$)",18.788423595876964,0.0001
"Children out of school, primary, female",44.25030154173308,0.0
"Children out of school, primary, male",35.88195263086415,0.0
"Contributing family workers, female (% of female employment)",10.347174582256331,0.00257
"Contributing family workers, male (% of male employment)",10.378916581349776,0.00253
"Contributing family workers, total (% of total employment)",10.355652503156474,0.00256
