,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),18.10795106287095,4e-05
"Adjusted net enrollment rate, primary (% of primary school age children)",10.982718749888997,0.00125
Adults (ages 15+) and children (0-14 years) living with HIV,18.694842404005456,3e-05
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,18.278470532000895,4e-05
Adults (ages 15+) living with HIV,18.83043078429192,3e-05
Adults (ages 15+) newly infected with HIV,18.376320831590338,4e-05
"Age at first marriage, female",9.562297661433611,0.00252
"Age at first marriage, male",9.554634550701794,0.00253
Age dependency ratio (% of working-age population),13.212233503220947,0.00042
"Age dependency ratio, old",13.152237287650895,0.00044
"Age population, age 0, female, interpolated",42.84491329001133,0.0
"Age population, age 0, male, interpolated",42.76072151432924,0.0
"Age population, age 01, female, interpolated",40.348511345549205,0.0
"Age population, age 01, male, interpolated",40.30060846071672,0.0
"Age population, age 02, female, interpolated",38.673784521919856,0.0
"Age population, age 02, male, interpolated",38.686554776868604,0.0
"Age population, age 03, female, interpolated",38.62242442357616,0.0
"Age population, age 03, male, interpolated",38.68542540970235,0.0
"Age population, age 04, female, interpolated",38.56805286130096,0.0
"Age population, age 04, male, interpolated",38.65844452683763,0.0
"Age population, age 05, female, interpolated",38.702990222780194,0.0
"Age population, age 05, male, interpolated",38.804596009623666,0.0
"Age population, age 06, female, interpolated",39.67782325359278,0.0
"Age population, age 06, male, interpolated",39.7890052499838,0.0
"Age population, age 07, female, interpolated",41.44879749160764,0.0
"Age population, age 07, male, interpolated",41.563630141983666,0.0
"Age population, age 08, female, interpolated",43.90810882448402,0.0
"Age population, age 08, male, interpolated",44.015223373331665,0.0
"Age population, age 09, female, interpolated",46.87265089092506,0.0
"Age population, age 09, male, interpolated",46.96053904223492,0.0
"Age population, age 10, female, interpolated",50.265955635330485,0.0
"Age population, age 10, male, interpolated",50.324321028882885,0.0
"Age population, age 11, female, interpolated",53.991003472809545,0.0
"Age population, age 11, male, interpolated",54.01389040396102,0.0
"Age population, age 12, female, interpolated",57.86978698628317,0.0
"Age population, age 12, male, interpolated",57.85966958562857,0.0
"Age population, age 13, female, interpolated",61.55731669699417,0.0
"Age population, age 13, male, interpolated",61.526660493178774,0.0
"Age population, age 14, female, interpolated",64.64489719686951,0.0
"Age population, age 14, male, interpolated",64.61111662717327,0.0
"Age population, age 15, female, interpolated",66.8001956702707,0.0
"Age population, age 15, male, interpolated",66.76936832203207,0.0
"Age population, age 16, female, interpolated",67.9568199612797,0.0
"Age population, age 16, male, interpolated",67.9178375107294,0.0
"Age population, age 17, female, interpolated",68.00542239641604,0.0
"Age population, age 17, male, interpolated",67.93866680894095,0.0
"Age population, age 18, female, interpolated",67.04330815153725,0.0
"Age population, age 18, male, interpolated",66.93561260706107,0.0
