,F-value,p-value
Age dependency ratio (% of working-age population),508.1060653367145,0.0
"Age dependency ratio, old",409.0395651996943,0.0
"Age dependency ratio, young",840.5335075437221,0.0
"Age population, age 03, male, interpolated",8.921497132520924,0.00608
"Age population, age 04, female, interpolated",8.07203806402765,0.00862
"Age population, age 04, male, interpolated",12.667287431220307,0.00146
"Age population, age 05, female, interpolated",13.478287900810093,0.0011
"Age population, age 05, male, interpolated",19.11676732091674,0.00018
"Age population, age 06, female, interpolated",21.28727964454265,9e-05
"Age population, age 06, male, interpolated",27.534510201935806,2e-05
"Age population, age 07, female, interpolated",32.03652737362743,1e-05
"Age population, age 07, male, interpolated",38.658478969726595,0.0
"Age population, age 08, female, interpolated",46.95425479207304,0.0
"Age population, age 08, male, interpolated",54.082303506570675,0.0
"Age population, age 09, female, interpolated",66.56534836962129,0.0
"Age population, age 09, male, interpolated",75.5712809594104,0.0
"Age population, age 10, female, interpolated",88.2695568015285,0.0
"Age population, age 10, male, interpolated",104.28713725577349,0.0
"Age population, age 11, female, interpolated",106.02400544287303,0.0
"Age population, age 11, male, interpolated",138.34631166756074,0.0
"Age population, age 12, female, interpolated",115.59884650317174,0.0
"Age population, age 12, male, interpolated",175.49324578176115,0.0
"Age population, age 13, female, interpolated",128.01319092821694,0.0
"Age population, age 13, male, interpolated",231.20035999814078,0.0
"Age population, age 14, female, interpolated",158.18357791313542,0.0
"Age population, age 14, male, interpolated",341.3947002083761,0.0
"Age population, age 15, female, interpolated",205.8447128999114,0.0
"Age population, age 15, male, interpolated",489.56447214903625,0.0
"Age population, age 16, female, interpolated",243.63880725747325,0.0
"Age population, age 16, male, interpolated",474.73697737385356,0.0
"Age population, age 17, female, interpolated",241.81579509259433,0.0
"Age population, age 17, male, interpolated",315.93477821363354,0.0
"Age population, age 18, female, interpolated",229.2695981874337,0.0
"Age population, age 18, male, interpolated",214.20930827388395,0.0
"Age population, age 19, female, interpolated",232.15793893839498,0.0
"Age population, age 19, male, interpolated",166.43342531437486,0.0
"Age population, age 20, female, interpolated",217.6403634749986,0.0
"Age population, age 20, male, interpolated",136.99599656926213,0.0
"Age population, age 21, female, interpolated",177.44655602487126,0.0
"Age population, age 21, male, interpolated",115.64106420092034,0.0
"Age population, age 22, female, interpolated",142.7777501030199,0.0
"Age population, age 22, male, interpolated",101.96774161141414,0.0
"Age population, age 23, female, interpolated",116.3175195904761,0.0
"Age population, age 23, male, interpolated",91.52636608346174,0.0
"Age population, age 24, female, interpolated",96.62292303444846,0.0
"Age population, age 24, male, interpolated",84.32292569764316,0.0
"Age population, age 25, female, interpolated",84.63423544773518,0.0
"Age population, age 25, male, interpolated",80.68877063385767,0.0
CO2 emissions (kg per PPP $ of GDP),85.80750755825213,0.0
CO2 emissions (kt),85.54735906743393,0.0
CO2 emissions (metric tons per capita),85.8068316510609,0.0
"Cost of business start-up procedures, female (% of GNI per capita)",1541.4354947582835,0.0
