,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),14.073682996699883,0.0003
"Access to anti-retroviral drugs, female (%)",51.396203302584915,0.0
"Access to anti-retroviral drugs, male (%)",51.22894429669799,0.0
Age dependency ratio (% of working-age population),10.654425700254137,0.00152
"Age dependency ratio, old",9.307109797085035,0.00295
"Age dependency ratio, young",12.1699275720485,0.00073
Antiretroviral therapy coverage (% of people living with HIV),51.54151164188874,0.0
Children (0-14) living with HIV,9.444304510098165,0.00276
Children (ages 0-14) newly infected with HIV,12.20696114017074,0.00072
Children orphaned by HIV/AIDS,13.226768800793419,0.00045
"Children out of school, primary, female",25.20348326677506,0.0
"Children out of school, primary, male",23.44937851725083,0.0
"Cost of business start-up procedures, female (% of GNI per capita)",12.879756391415299,0.00053
"Cost of business start-up procedures, male (% of GNI per capita)",12.879363829612839,0.00053
Country_code,71.56494477508161,0.0
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",10.008334304581485,0.00209
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",159.12071019503531,0.0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",63.466315692569296,0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",111.32355270497885,0.0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",207.33479044862997,0.0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",39.573050082463354,0.0
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",95.25250501327749,0.0
Female population 65-69,6.910129256343224,0.00998
Fixed telephone subscriptions (per 100 people),9.91103033637972,0.00219
GDP per person employed (constant 2011 PPP $),14.001926829597828,0.00031
"GNI per capita, Atlas method (current US$)",13.026487522520718,0.00049
"GNI per capita, PPP (current international $)",10.512386022126355,0.00163
Gross capital formation (% of GDP),54.12277568551434,0.0
"Immunization, BCG (% of one-year-old children)",87.00377786105206,0.0
"Immunization, DPT (% of children ages 12-23 months)",76.60860700169997,0.0
"Immunization, HepB3 (% of one-year-old children)",27.657234018836554,0.0
"Immunization, Pol3 (% of one-year-old children)",90.05779611518756,0.0
"Immunization, measles (% of children ages 12-23 months)",64.80327511998364,0.0
Incidence of HIV (% of uninfected population ages 15-49),55.62590346743983,0.0
Internet users (per 100 people),117.04491441514165,0.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",223.96390018878762,0.0
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",27.270398571741204,0.0
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",166.31605467051486,0.0
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",43.86808625023469,0.0
"Labor force, female (% of total labor force)",61.322606416288636,0.0
Male population 65-69,7.270208118514947,0.00828
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",61.14456168813142,0.0
Mobile cellular subscriptions (per 100 people),70.2175220996416,0.0
"Mortality rate, adult, female (per 1,000 female adults)",12.722030286534345,0.00057
"Mortality rate, adult, male (per 1,000 male adults)",11.26331848775289,0.00113
"Mortality rate, infant (per 1,000 live births)",814.9332986424438,0.0
"Mortality rate, neonatal (per 1,000 live births)",455.68389516954664,0.0
"Mortality rate, under-5 (per 1,000 live births)",830.7128546843912,0.0
"Mortality rate, under-5 (per 1,000)",830.7128546843912,0.0
Net official development assistance and official aid received (current US$),11.678915707420703,0.00093
Net official development assistance received (current US$),11.678915707420703,0.00093
Number of infant deaths,13.673464613890905,0.00036
Number of maternal deaths,23.277287874905902,1e-05
Number of neonatal deaths,10.74141827944285,0.00146
Number of people who are undernourished,35.470883490634876,0.0
Number of under-five deaths,15.301557795555132,0.00017
"PPP conversion factor, GDP (LCU per international $)",47.42587917067907,0.0
"PPP conversion factor, private consumption (LCU per international $)",43.94759296170367,0.0
Population ages 0-14 (% of total),13.028614608996309,0.00049
"Population ages 00-04, female (% of female population)",19.69102224504812,2e-05
"Population ages 00-04, male (% of male population)",14.372744169802425,0.00026
Population ages 00-14 (% of total),13.028614608996309,0.00049
"Population ages 00-14, female (% of total)",17.885116231815203,5e-05
"Population ages 00-14, male (% of total)",9.52583360479542,0.00265
"Population ages 05-09, female (% of female population)",11.643499278885303,0.00094
"Population ages 10-14, female (% of female population)",10.80116333159874,0.00142
