,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),27.007551849777244,0.0
"Adjusted net enrollment rate, primary (% of primary school age children)",22.297514987079357,1e-05
Adults (ages 15+) and children (0-14 years) living with HIV,69.338037474457,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,102.44523764919403,0.0
Adults (ages 15+) living with HIV,67.11132205721368,0.0
Adults (ages 15+) newly infected with HIV,89.91651500976407,0.0
Age dependency ratio (% of working-age population),717.5504051993635,0.0
"Age dependency ratio, old",67.04028922278398,0.0
"Age dependency ratio, young",1038.9676932385141,0.0
"Age population, age 0, female, interpolated",33.84771035612083,0.0
"Age population, age 0, male, interpolated",32.44444683773167,0.0
"Age population, age 01, female, interpolated",35.384558845965635,0.0
"Age population, age 01, male, interpolated",33.95988319680409,0.0
"Age population, age 02, female, interpolated",36.97732318518212,0.0
"Age population, age 02, male, interpolated",35.52228693166562,0.0
"Age population, age 03, female, interpolated",38.3902306270283,0.0
"Age population, age 03, male, interpolated",36.890508808425544,0.0
"Age population, age 04, female, interpolated",39.7652575705429,0.0
"Age population, age 04, male, interpolated",38.19559589320067,0.0
"Age population, age 05, female, interpolated",40.991525634123626,0.0
"Age population, age 05, male, interpolated",39.33737611854163,0.0
"Age population, age 06, female, interpolated",41.680990360290785,0.0
"Age population, age 06, male, interpolated",39.93536109386929,0.0
"Age population, age 07, female, interpolated",41.722567167994406,0.0
"Age population, age 07, male, interpolated",39.886810460901366,0.0
"Age population, age 08, female, interpolated",41.00568033351508,0.0
"Age population, age 08, male, interpolated",39.093641691695595,0.0
"Age population, age 09, female, interpolated",39.442357634460656,0.0
"Age population, age 09, male, interpolated",37.4845651738432,0.0
"Age population, age 10, female, interpolated",37.013186365686124,0.0
"Age population, age 10, male, interpolated",35.05609766093826,0.0
"Age population, age 11, female, interpolated",33.8174977685503,0.0
"Age population, age 11, male, interpolated",31.916495913405818,0.0
"Age population, age 12, female, interpolated",30.01719227945687,0.0
"Age population, age 12, male, interpolated",28.226675270648922,0.0
