,F-value,p-value
"Adolescent fertility rate (births per 1,000 women ages 15-19)",16.07188139938394,0.00026
"Age at first marriage, female",13.38392429045896,0.00073
"Age at first marriage, male",13.384487613816692,0.00073
Age dependency ratio (% of working-age population),20.03166778943319,6e-05
"Age dependency ratio, old",20.041885344278867,6e-05
"Age dependency ratio, young",20.011611624282708,6e-05
"Age population, age 0, female, interpolated",20.26053989418827,6e-05
"Age population, age 0, male, interpolated",20.279262614822233,6e-05
"Age population, age 01, female, interpolated",20.42805092001125,5e-05
"Age population, age 01, male, interpolated",20.42336394474959,5e-05
"Age population, age 02, female, interpolated",20.516160781016648,5e-05
"Age population, age 02, male, interpolated",20.49966087887135,5e-05
"Age population, age 03, female, interpolated",20.55393232977915,5e-05
"Age population, age 03, male, interpolated",20.537391022450198,5e-05
"Age population, age 04, female, interpolated",20.499762556513865,5e-05
"Age population, age 04, male, interpolated",20.48795659523668,5e-05
"Age population, age 05, female, interpolated",20.37968936912041,5e-05
"Age population, age 05, male, interpolated",20.37575818171197,5e-05
"Age population, age 06, female, interpolated",20.22537430221763,6e-05
"Age population, age 06, male, interpolated",20.231520682838923,6e-05
"Age population, age 07, female, interpolated",20.044692681741402,6e-05
"Age population, age 07, male, interpolated",20.062767441007814,6e-05
"Age population, age 08, female, interpolated",19.8422397442224,7e-05
"Age population, age 08, male, interpolated",19.874200958552432,7e-05
"Age population, age 09, female, interpolated",19.623904662402033,7e-05
"Age population, age 09, male, interpolated",19.671945382863637,7e-05
"Age population, age 10, female, interpolated",19.41578986475897,8e-05
"Age population, age 10, male, interpolated",19.47871803067715,8e-05
"Age population, age 11, female, interpolated",19.25779845109986,8e-05
"Age population, age 11, male, interpolated",19.329512521132393,8e-05
"Age population, age 12, female, interpolated",19.188574467542914,8e-05
"Age population, age 12, male, interpolated",19.260320876707976,8e-05
"Age population, age 13, female, interpolated",19.23238761208554,8e-05
"Age population, age 13, male, interpolated",19.295496160546122,8e-05
"Age population, age 14, female, interpolated",19.371983531034914,8e-05
"Age population, age 14, male, interpolated",19.419145550420765,8e-05
"Age population, age 15, female, interpolated",19.551764181685737,7e-05
"Age population, age 15, male, interpolated",19.580137342840807,7e-05
"Age population, age 16, female, interpolated",19.7291225864408,7e-05
"Age population, age 16, male, interpolated",19.740841194998534,7e-05
"Age population, age 17, female, interpolated",19.899727958165634,6e-05
"Age population, age 17, male, interpolated",19.89933825390202,6e-05
"Age population, age 18, female, interpolated",20.063229567450158,6e-05
"Age population, age 18, male, interpolated",20.05586465283504,6e-05
"Age population, age 19, female, interpolated",20.206370372959924,6e-05
"Age population, age 19, male, interpolated",20.197823632508086,6e-05
"Age population, age 20, female, interpolated",20.32098194628199,6e-05
"Age population, age 20, male, interpolated",20.31605251383813,6e-05
"Age population, age 21, female, interpolated",20.406152644084955,5e-05
"Age population, age 21, male, interpolated",20.40636947556495,5e-05
"Age population, age 22, female, interpolated",20.459090028890706,5e-05
"Age population, age 22, male, interpolated",20.46191944934439,5e-05
"Age population, age 23, female, interpolated",20.47728599465298,5e-05
"Age population, age 23, male, interpolated",20.47725486554115,5e-05
"Age population, age 24, female, interpolated",20.477824965761982,5e-05
"Age population, age 24, male, interpolated",20.469423494351155,5e-05
"Age population, age 25, female, interpolated",20.477402597888403,5e-05
"Age population, age 25, male, interpolated",20.45727878525403,5e-05
Agricultural support estimate (% of GDP),16.084242672738693,0.00026
Average tariffs imposed by developed countries on agricultural products from developing countries (%),12.869508521178279,0.0009
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),12.870291226824385,0.0009
Average tariffs imposed by developed countries on clothing products from developing countries (%),12.86909604841969,0.0009
Average tariffs imposed by developed countries on clothing products from least developed countries (%),12.870354678717998,0.0009
Average tariffs imposed by developed countries on textile products from developing countries (%),12.867001008738102,0.0009
Average tariffs imposed by developed countries on textile products from least developed countries (%),12.870381216590069,0.0009
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",16.073112631220695,0.00026
"Bilateral, sector-allocable ODA to basic social services (current US$)",13.987447976083647,0.00058
CO2 emissions (kg per PPP $ of GDP),40.13383413855371,0.0
CO2 emissions (kt),12.695221237960109,0.00097
"Contributing family workers, female (% of female employment)",20.021165332271472,6e-05
"Contributing family workers, male (% of male employment)",20.021543461203567,6e-05
"Contributing family workers, total (% of total employment)",20.021361901277743,6e-05
"Cost of business start-up procedures, female (% of GNI per capita)",20.01990201673656,6e-05
"Cost of business start-up procedures, male (% of GNI per capita)",20.01990201673656,6e-05
Country_code,201.07469490323697,0.0
"Employers, female (% of female employment)",20.020206758595997,6e-05
"Employers, male (% of male employment)",20.018469596930256,6e-05
"Employment in agriculture, female (% of female employment)",20.020288591578105,6e-05
"Employment in agriculture, male (% of male employment)",20.019370966898325,6e-05
"Employment in industry, female (% of female employment)",20.010777183341887,6e-05
"Employment in industry, male (% of male employment)",20.00965650760906,6e-05
"Employment in services, female (% of female employment)",20.032944007413455,6e-05
"Employment in services, male (% of male employment)",20.035342235498433,6e-05
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",20.02120587773433,6e-05
"Employment to population ratio, 15+, female (%) (national estimate)",20.020124746782567,6e-05
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",20.01071079143491,6e-05
"Employment to population ratio, 15+, male (%) (national estimate)",20.010413021878865,6e-05
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",20.016062604853367,6e-05
"Employment to population ratio, 15+, total (%) (national estimate)",20.015359766763147,6e-05
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",20.011225254266527,6e-05
"Employment to population ratio, ages 15-24, female (%) (national estimate)",20.010478282067638,6e-05
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",20.004049573304172,6e-05
"Employment to population ratio, ages 15-24, male (%) (national estimate)",20.003915199552683,6e-05
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",20.007565410540717,6e-05
"Employment to population ratio, ages 15-24, total (%) (national estimate)",20.007159382905158,6e-05
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",16.00507652764169,0.00027
Female population 00-04,20.480824613937937,5e-05
Female population 05-09,20.03044131751838,6e-05
Female population 10-14,19.28769672864834,8e-05
Female population 15-19,19.907725745857324,6e-05
Female population 20-24,20.432084368557426,5e-05
Female population 25-29,20.512364069701675,5e-05
Female population 30-34,20.528983854618005,5e-05
Female population 35-39,20.00115478004519,6e-05
Female population 40-44,19.1307087633699,8e-05
Female population 45-49,19.674604421479064,7e-05
Female population 50-54,20.61587826720573,5e-05
Female population 55-59,20.73323810997242,5e-05
Female population 60-64,20.719205456665605,5e-05
Female population 65-69,20.60497658192551,5e-05
Female population 70-74,20.61361350871938,5e-05
Female population 75-79,20.342607966124646,6e-05
Female population 80+,20.726892343932644,5e-05
Forest area (sq. km),16.078447286719882,0.00026
GDP (current US$),20.257037639367223,6e-05
GDP per person employed (constant 2011 PPP $),20.27990075156499,6e-05
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),16.087618802797202,0.00026
"GNI per capita, Atlas method (current US$)",19.50800633721935,7e-05
"GNI per capita, PPP (current international $)",31.75336203048209,0.0
"GNI, Atlas method (current US$)",20.372530532161043,5e-05
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),12.883786558813288,0.00089
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),12.872855536618601,0.0009
"Government expenditure on education, total (% of GDP)",8.101747213038928,0.00694
Health expenditure per capita (current US$),13.111551343222425,0.00082
"Health expenditure per capita, PPP",13.216721813019106,0.00078
"Health expenditure per capita, PPP (constant 2011 international $)",13.216721813019106,0.00078
"Health expenditure, private (% of GDP)",12.871008501099045,0.0009
"Health expenditure, private (% of total health expenditure)",12.868320702418279,0.0009
"Health expenditure, public (% of GDP)",12.872587925339484,0.0009
"Health expenditure, public (% of government expenditure)",12.873810810686948,0.0009
"Health expenditure, public (% of total health expenditure)",12.872370914961294,0.0009
"Health expenditure, total (% of GDP)",12.873193128386255,0.0009
"Health expenditure, total (current US$)",12.843969515999765,0.00091
"Immunization, DPT (% of children ages 12-23 months)",20.015179608315485,6e-05
"Immunization, HepB3 (% of one-year-old children)",20.21196385833669,6e-05
"Immunization, Hib3 (% of children ages 12-23 months)",20.019491104659966,6e-05
"Immunization, Pol3 (% of one-year-old children)",20.024088933705432,6e-05
"Immunization, measles (% of children ages 12-23 months)",20.00614509313033,6e-05
"Inflation, consumer prices (annual %)",20.01809187531237,6e-05
Internet users (per 100 people),55.52228794381556,0.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",20.012979517250894,6e-05
"Labor force participation rate for ages 15-24, female (%) (national estimate)",20.011896225792178,6e-05
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",20.005652587586734,6e-05
"Labor force participation rate for ages 15-24, male (%) (national estimate)",20.00505484369898,6e-05
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",20.021202672270682,6e-05
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",20.01990220038293,6e-05
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",20.011290694950134,6e-05
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",20.011030754185924,6e-05
"Labor force with advanced education, female (% of female working-age population with advanced education)",20.024212778024342,6e-05
"Labor force with advanced education, male (% of male working-age population with advanced education)",20.026637195438344,6e-05
"Labor force with basic education, female (% of female working-age population with basic education)",20.0094535155526,6e-05
"Labor force with basic education, male (% of male working-age population with basic education)",20.009449116156127,6e-05
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",19.97611467461195,6e-05
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",17.952384957066062,0.00013
"Labor force, female",20.48148172743553,5e-05
"Labor force, female (% of total labor force)",20.024817290614273,6e-05
"Labor force, total",20.437915423493248,5e-05
Lifetime risk of maternal death (%),16.08519965006635,0.00026
Lifetime risk of maternal death (1 in: rate varies by country),16.366790187298136,0.00023
Male population 00-04,20.46630324834872,5e-05
Male population 05-09,20.048095426479243,6e-05
Male population 10-14,19.348720765533677,8e-05
Male population 15-19,19.908640463995283,6e-05
Male population 20-24,20.42961858634842,5e-05
Male population 25-29,20.477572507756197,5e-05
Male population 30-34,20.473750920925227,5e-05
Male population 35-39,19.877407098823763,7e-05
Male population 40-44,19.051387577099245,9e-05
Male population 45-49,19.721298946411878,7e-05
Male population 50-54,20.660485975719055,5e-05
Male population 55-59,20.7400220691255,5e-05
Male population 60-64,20.719575993333933,5e-05
Male population 65-69,20.532874844630143,5e-05
Male population 70-74,20.629300737210144,5e-05
Male population 75-79,20.584768352557482,5e-05
Male population 80+,20.705320072087602,5e-05
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",16.078917731065335,0.00026
"Mortality rate, infant (per 1,000 live births)",20.018543283633367,6e-05
"Mortality rate, neonatal (per 1,000 live births)",20.018845184533085,6e-05
"Mortality rate, under-5 (per 1,000 live births)",20.017321437242597,6e-05
"Mortality rate, under-5 (per 1,000)",20.017321437242597,6e-05
Net ODA provided to the least developed countries (% of donor GNI),16.085225799504272,0.00026
Net ODA provided to the least developed countries (current US$),14.630995897365455,0.00045
"Net ODA provided, total (% of GNI)",16.08520494775059,0.00026
"Net ODA provided, total (constant 2015 US$)",16.16897040722865,0.00025
"Net ODA provided, total (current US$)",15.69052601956223,0.0003
Number of infant deaths,19.94082226220928,6e-05
Number of maternal deaths,16.075545140562042,0.00026
Number of neonatal deaths,19.84863594946545,7e-05
Number of under-five deaths,19.851764705092492,7e-05
"Nurses and midwives (per 1,000 people)",9.388115764754604,0.0039
Out-of-pocket health expenditure (% of private expenditure on health),12.866063842670801,0.0009
Out-of-pocket health expenditure (% of total expenditure on health),12.868062259099869,0.0009
"Own-account workers, female (% of females employed)",20.025247995358264,6e-05
"Own-account workers, male (% of males employed)",20.023161927037574,6e-05
"PPP conversion factor, GDP (LCU per international $)",80.99119633482091,0.0
"PPP conversion factor, private consumption (LCU per international $)",20.02189103198085,6e-05
"People practicing open defecation, rural (% of rural population)",273.9004365748227,0.0
"People practicing open defecation, urban (% of urban population)",17.002946194400504,0.00018
"People using basic drinking water services, rural (% of rural population)",273.9004365748227,0.0
"People using basic drinking water services, urban (% of urban population)",17.006716049037973,0.00018
"People using basic sanitation services, rural (% of rural population)",273.90758805163676,0.0
"People using basic sanitation services, urban  (% of urban population)",16.98182333155726,0.00018
People using safely managed drinking water services (% of population),273.2390895859588,0.0
Population ages 0-14 (% of total),20.013528433649668,6e-05
"Population ages 0-14, female",20.01076422960839,6e-05
"Population ages 0-14, male",20.020763199565952,6e-05
"Population ages 00-04, female (% of female population)",20.022163022270583,6e-05
"Population ages 00-04, male (% of male population)",20.02201823465574,6e-05
Population ages 00-14 (% of total),20.013528433649668,6e-05
"Population ages 00-14, female (% of total)",20.01377419717737,6e-05
"Population ages 00-14, male (% of total)",20.013274729088582,6e-05
"Population ages 00-14, total",20.01592253875888,6e-05
"Population ages 05-09, female (% of female population)",20.019416163020264,6e-05
"Population ages 05-09, male (% of male population)",20.01925546210785,6e-05
"Population ages 10-14, female (% of female population)",20.015455821669775,6e-05
"Population ages 15-19, female (% of female population)",20.01814814436448,6e-05
"Population ages 15-19, male (% of male population)",20.017824688495296,6e-05
Population ages 15-64 (% of total),20.017033270000205,6e-05
"Population ages 15-64, female",20.38477432092199,5e-05
"Population ages 15-64, female (% of total)",20.017855023525193,6e-05
"Population ages 15-64, male",20.371764308372406,5e-05
"Population ages 15-64, male (% of total)",20.016192603602,6e-05
"Population ages 15-64, total",20.378283957448797,5e-05
"Population ages 20-24, female (% of female population)",20.02172067022758,6e-05
"Population ages 20-24, male (% of male population)",20.021668144837605,6e-05
"Population ages 25-29, female (% of female population)",20.022639306273618,6e-05
"Population ages 25-29, male (% of male population)",20.022265277725452,6e-05
"Population ages 30-34, female (% of female population)",20.022837081351344,6e-05
"Population ages 30-34, male (% of male population)",20.022186289780954,6e-05
"Population ages 35-39, female (% of female population)",20.018428065926514,6e-05
"Population ages 35-39, male (% of male population)",20.017425998207393,6e-05
"Population ages 40-44, female (% of female population)",20.01287934451987,6e-05
"Population ages 40-44, male (% of male population)",20.012152776370446,6e-05
"Population ages 45-49, female (% of female population)",20.016256549998367,6e-05
"Population ages 45-49, male (% of male population)",20.016531166805954,6e-05
"Population ages 50-54, female (% of female population)",20.024325662697468,6e-05
"Population ages 50-54, male (% of male population)",20.02515720359844,6e-05
"Population ages 55-59, female (% of female population)",20.026528112730247,6e-05
"Population ages 55-59, male (% of male population)",20.02694116698303,6e-05
"Population ages 60-64, female (% of female population)",20.028834233671724,6e-05
"Population ages 60-64, male (% of male population)",20.028672311407195,6e-05
Population ages 65 and above (% of total),20.03462260578032,6e-05
"Population ages 65 and above, female",20.724291894901114,5e-05
"Population ages 65 and above, female (% of total)",20.033498334607728,6e-05
"Population ages 65 and above, male",20.720297702648306,5e-05
"Population ages 65 and above, male (% of total)",20.035778562064056,6e-05
"Population ages 65 and above, total",20.73362121334791,5e-05
"Population ages 65-69, female (% of female population)",20.028498899722553,6e-05
"Population ages 65-69, male (% of male population)",20.02882444488758,6e-05
"Population ages 70-74, female (% of female population)",20.023843847432268,6e-05
"Population ages 70-74, male (% of male population)",20.024125554892226,6e-05
"Population ages 75-79, female (% of female population)",20.021361502388203,6e-05
"Population ages 75-79, male (% of male population)",20.022372151265433,6e-05
"Population ages 80 and older, female (% of female population)",20.02496275940214,6e-05
"Population ages 80 and older, male (% of male population)",20.02563705208026,6e-05
