,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),36.860443335097784,0.0
"Access to anti-retroviral drugs, female (%)",14.176999152083997,0.00026
"Access to anti-retroviral drugs, male (%)",14.210768515326986,0.00025
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,14.759140511822235,0.00019
Adults (ages 15+) newly infected with HIV,14.759140511822235,0.00019
Age dependency ratio (% of working-age population),60.06138147594268,0.0
"Age dependency ratio, young",161.74143102437216,0.0
"Age population, age 0, female, interpolated",33.42634581358465,0.0
"Age population, age 0, male, interpolated",33.58491367783632,0.0
"Age population, age 01, female, interpolated",37.10194116388351,0.0
"Age population, age 01, male, interpolated",37.22301052659798,0.0
"Age population, age 02, female, interpolated",39.77182795242598,0.0
"Age population, age 02, male, interpolated",39.914855946139994,0.0
"Age population, age 03, female, interpolated",41.71309015571349,0.0
"Age population, age 03, male, interpolated",41.76318400213106,0.0
"Age population, age 04, female, interpolated",42.47447188591435,0.0
"Age population, age 04, male, interpolated",42.424269522439474,0.0
"Age population, age 05, female, interpolated",42.21817926400395,0.0
"Age population, age 05, male, interpolated",42.07185964782157,0.0
"Age population, age 06, female, interpolated",41.088851971532634,0.0
"Age population, age 06, male, interpolated",40.87633049084106,0.0
"Age population, age 07, female, interpolated",39.2503869577682,0.0
"Age population, age 07, male, interpolated",38.99705335842299,0.0
"Age population, age 08, female, interpolated",36.82331191567717,0.0
"Age population, age 08, male, interpolated",36.55389998219916,0.0
"Age population, age 09, female, interpolated",33.90624599124886,0.0
"Age population, age 09, male, interpolated",33.653698816963505,0.0
"Age population, age 10, female, interpolated",30.74629735359669,0.0
"Age population, age 10, male, interpolated",30.537726833992014,0.0
"Age population, age 11, female, interpolated",27.666585511635365,0.0
"Age population, age 11, male, interpolated",27.524936304377924,0.0
"Age population, age 12, female, interpolated",24.90389424191274,0.0
"Age population, age 12, male, interpolated",24.85531985804134,0.0
"Age population, age 13, female, interpolated",22.542442942385602,1e-05
"Age population, age 13, male, interpolated",22.622931223753046,1e-05
"Age population, age 14, female, interpolated",20.571804121314294,1e-05
"Age population, age 14, male, interpolated",20.78965998523261,1e-05
"Age population, age 15, female, interpolated",19.026096894590058,3e-05
"Age population, age 15, male, interpolated",19.356734300648167,2e-05
"Age population, age 16, female, interpolated",17.959148169135396,4e-05
"Age population, age 16, male, interpolated",18.361581039886424,4e-05
"Age population, age 17, female, interpolated",17.43346789389622,6e-05
"Age population, age 17, male, interpolated",17.86077450396339,5e-05
"Age population, age 18, female, interpolated",17.429319593539844,6e-05
"Age population, age 18, male, interpolated",17.82016570870136,5e-05
"Age population, age 19, female, interpolated",17.82577799888674,5e-05
"Age population, age 19, male, interpolated",18.130432310702517,4e-05
"Age population, age 20, female, interpolated",18.44251105523954,3e-05
"Age population, age 20, male, interpolated",18.641293783508765,3e-05
"Age population, age 21, female, interpolated",19.175208090217033,3e-05
"Age population, age 21, male, interpolated",19.267058011752432,2e-05
"Age population, age 22, female, interpolated",19.991229140140614,2e-05
"Age population, age 22, male, interpolated",19.976255429659897,2e-05
"Age population, age 23, female, interpolated",20.879609119943268,1e-05
"Age population, age 23, male, interpolated",20.76780959543784,1e-05
"Age population, age 24, female, interpolated",21.888227959240517,1e-05
"Age population, age 24, male, interpolated",21.701560159044103,1e-05
"Age population, age 25, female, interpolated",22.94678213714561,0.0
