,F-value,p-value
Age dependency ratio (% of working-age population),99.16862837638007,0.0
"Age dependency ratio, young",104.99835859888039,0.0
"Age population, age 03, female, interpolated",7.330934863211236,0.00992
"Age population, age 04, female, interpolated",8.976003806955273,0.00468
"Age population, age 05, female, interpolated",10.629629546038089,0.00228
"Age population, age 05, male, interpolated",8.041660585309822,0.00714
"Age population, age 06, female, interpolated",12.295865861044113,0.00114
"Age population, age 06, male, interpolated",9.066672990747245,0.00449
"Age population, age 07, female, interpolated",14.055247798725022,0.00056
"Age population, age 07, male, interpolated",10.196325299667372,0.00274
"Age population, age 08, female, interpolated",15.8989276420055,0.00028
"Age population, age 08, male, interpolated",11.472750446177347,0.0016
"Age population, age 09, female, interpolated",17.861112062169934,0.00013
"Age population, age 09, male, interpolated",12.892464425023267,0.00089
"Age population, age 10, female, interpolated",19.9655594157044,6e-05
"Age population, age 10, male, interpolated",14.568484035218896,0.00046
"Age population, age 11, female, interpolated",22.47821171404787,3e-05
"Age population, age 11, male, interpolated",16.62601203643556,0.00021
"Age population, age 12, female, interpolated",25.5865483197898,1e-05
"Age population, age 12, male, interpolated",19.347767363713363,8e-05
"Age population, age 13, female, interpolated",29.36308690013948,0.0
"Age population, age 13, male, interpolated",22.92703920281668,2e-05
"Age population, age 14, female, interpolated",33.62708545567627,0.0
"Age population, age 14, male, interpolated",27.299429748465442,1e-05
"Age population, age 15, female, interpolated",38.60772040736682,0.0
"Age population, age 15, male, interpolated",32.66657349072351,0.0
"Age population, age 16, female, interpolated",44.92547046007065,0.0
"Age population, age 16, male, interpolated",39.65711721684916,0.0
"Age population, age 17, female, interpolated",53.00092484311381,0.0
"Age population, age 17, male, interpolated",48.80320117491985,0.0
"Age population, age 18, female, interpolated",62.46337219586185,0.0
"Age population, age 18, male, interpolated",59.978626612497536,0.0
"Age population, age 19, female, interpolated",72.85797676244178,0.0
"Age population, age 19, male, interpolated",72.63039394446085,0.0
"Age population, age 20, female, interpolated",83.28137192887797,0.0
"Age population, age 20, male, interpolated",85.52763565164405,0.0
"Age population, age 21, female, interpolated",92.14759950920649,0.0
"Age population, age 21, male, interpolated",96.36592604248193,0.0
"Age population, age 22, female, interpolated",97.30043892588282,0.0
"Age population, age 22, male, interpolated",102.09329882691102,0.0
"Age population, age 23, female, interpolated",97.70034572662126,0.0
"Age population, age 23, male, interpolated",101.1529291126,0.0
"Age population, age 24, female, interpolated",94.66251138573222,0.0
"Age population, age 24, male, interpolated",95.65005168425607,0.0
"Age population, age 25, female, interpolated",89.56992039251293,0.0
"Age population, age 25, male, interpolated",87.7743402127997,0.0
Births attended by skilled health staff (% of total),13.525945154177839,0.00069
CO2 emissions (kg per PPP $ of GDP),61.19066851840004,0.0
"Cost of business start-up procedures, female (% of GNI per capita)",62.49471577922205,0.0
"Cost of business start-up procedures, male (% of GNI per capita)",62.49471577922205,0.0
Country_code,46.4749372170327,0.0
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",34.75240150801797,0.0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",110.18204684123107,0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",17.86916868587809,0.00013
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",32.743985334354676,0.0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",203.96870016004067,0.0
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",136.42722166090294,0.0
External resources for health (% of total expenditure on health),61.8457224274749,0.0
Female population 05-09,14.028863774519847,0.00057
Female population 10-14,26.30921521066691,1e-05
Female population 15-19,54.0118169277465,0.0
Female population 20-24,94.85351927071369,0.0
Female population 25-29,78.59802177006533,0.0
Female population 30-34,63.58063545960705,0.0
Female population 35-39,64.30630878212531,0.0
Female population 40-44,93.07123505184323,0.0
Female population 45-49,140.29667109250263,0.0
Female population 50-54,173.89305298666127,0.0
Female population 55-59,234.92596819845463,0.0
Female population 60-64,161.7035850692537,0.0
Female population 65-69,128.5208140679936,0.0
Female population 70-74,156.98907280151906,0.0
Female population 75-79,132.15775824077548,0.0
Female population 80+,262.6276325479052,0.0
GDP growth (annual %),59.61382146916948,0.0
GDP per capita (Current US$),24.79349617074452,1e-05
GDP per person employed (constant 2011 PPP $),100.63448239331662,0.0
"GNI per capita, Atlas method (current US$)",23.835254990393512,2e-05
"GNI per capita, PPP (current international $)",35.95204008856338,0.0
Gross capital formation (% of GDP),14.87757610707633,0.00041
Health expenditure per capita (current US$),50.814565852999074,0.0
"Health expenditure per capita, PPP",51.53161375348793,0.0
"Health expenditure per capita, PPP (constant 2011 international $)",51.53161375348793,0.0
"Health expenditure, private (% of GDP)",61.205202380905774,0.0
