,F-value,p-value
Age dependency ratio (% of working-age population),30.26484301855748,0.0
"Age dependency ratio, old",95.26771705463975,0.0
"Age dependency ratio, young",133.95637428068633,0.0
Agricultural support estimate (% of GDP),12.3354810316905,0.0006
Births attended by skilled health staff (% of total),9.105308414154132,0.00304
"Contributing family workers, female (% of female employment)",45.87040031451706,0.0
"Contributing family workers, male (% of male employment)",45.96852213597965,0.0
"Contributing family workers, total (% of total employment)",48.599032820085306,0.0
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",13.831231171875642,0.00029
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",8.799444091142002,0.00355
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",8.75494565627464,0.00363
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",12.986859289868745,0.00044
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",12.93890896096178,0.00045
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",8.82019183798473,0.00351
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",8.807401531769948,0.00354
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",8.594566932756427,0.00395
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",8.540210490426842,0.00406
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",12.732896337559652,0.00049
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, male (%)",12.72690220360488,0.0005
"Educational attainment, completed lower secondary, population 25+ years, female (%)",8.662695002554628,0.00381
"Educational attainment, completed lower secondary, population 25+ years, male (%)",8.660243142707802,0.00382
"Educational attainment, completed primary, population 25+ years, female (%)",8.354546604944659,0.00447
"Educational attainment, completed primary, population 25+ years, male (%)",8.370966389456019,0.00443
"Educational attainment, completed upper secondary, population 25+ years, female (%)",12.802132667011342,0.00048
"Educational attainment, completed upper secondary, population 25+ years, male (%)",12.747230953008767,0.00049
"Educational attainment, no schooling, population 25+ years, female (%)",8.241602102768455,0.00474
"Educational attainment, no schooling, population 25+ years, male (%)",8.275548924997105,0.00466
"Educational attainment, some primary, population 25+ years, female (%)",12.322051248499177,0.00061
"Educational attainment, some primary, population 25+ years, male (%)",12.329022212206356,0.0006
"Educational attainment, some primary, population 25+ years, total (%)",12.325643149116464,0.0006
"Employers, female (% of female employment)",46.2717042633067,0.0
"Employers, male (% of male employment)",46.210074782611784,0.0
"Employment in agriculture, female (% of female employment)",43.47799224503698,0.0
"Employment in agriculture, male (% of male employment)",43.32479384981456,0.0
"Employment in industry, female (% of female employment)",43.81403298036832,0.0
"Employment in industry, male (% of male employment)",44.30937852885224,0.0
"Employment in services, female (% of female employment)",44.47919254048478,0.0
"Employment in services, male (% of male employment)",44.167482510310506,0.0
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",27.204538735770242,0.0
"Employment to population ratio, 15+, female (%) (national estimate)",76.38574698901596,0.0
"Employment to population ratio, 15+, male (%) (national estimate)",76.64336745767532,0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",9.49568300946676,0.00249
"Employment to population ratio, 15+, total (%) (national estimate)",76.52499053081156,0.0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",14.095154786474263,0.00026
"Employment to population ratio, ages 15-24, female (%) (national estimate)",16.236695590693305,9e-05
"Employment to population ratio, ages 15-24, male (%) (national estimate)",16.0787849686108,0.0001
"Employment to population ratio, ages 15-24, total (%) (national estimate)",17.27110236820246,6e-05
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",23.202913933084446,0.0
Female population 80+,9.057634124619717,0.00311
Fixed telephone subscriptions (per 100 people),18.236027138894674,4e-05
GDP per capita (Current US$),100.47753955402233,0.0
GDP per person employed (constant 2011 PPP $),40.49392761876135,0.0
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),23.178097000430668,0.0
GINI index (World Bank estimate),23.788052105918375,0.0
"GNI per capita, Atlas method (current US$)",96.28177930326416,0.0
"GNI per capita, PPP (current international $)",124.4501128469553,0.0
"Government expenditure per student, secondary (% of GDP per capita)",25.175937071144347,0.0
Gross capital formation (% of GDP),7.419096452843987,0.00729
"Immunization, BCG (% of one-year-old children)",16.12883359343348,0.0001
Incidence of HIV (% of uninfected population ages 15-49),14.741192152379895,0.00019
Income share held by lowest 20%,24.141303414927897,0.0
Internet users (per 100 people),33.745153417050375,0.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",9.714988894030949,0.00222
"Labor force participation rate for ages 15-24, female (%) (national estimate)",26.425292974877983,0.0
"Labor force participation rate for ages 15-24, male (%) (national estimate)",26.280222327416382,0.0
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",19.646181358397516,2e-05
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",79.48232047475751,0.0
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",79.80327270691421,0.0
"Labor force with advanced education, female (% of female working-age population with advanced education)",18.566546477093137,3e-05
"Labor force with advanced education, male (% of male working-age population with advanced education)",18.621109924590854,3e-05
"Labor force with basic education, female (% of female working-age population with basic education)",19.059604532282833,2e-05
"Labor force with basic education, male (% of male working-age population with basic education)",19.09338926944237,2e-05
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",14.975594141284185,0.00017
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",14.99334581831502,0.00017
"Labor force, female (% of total labor force)",71.7527485857761,0.0
Lifetime risk of maternal death (1 in: rate varies by country),55.338167069429424,0.0
Male population 80+,7.557569719021551,0.00678
"Malnutrition prevalence, height for age (% of children under 5)",8.892025153673691,0.00339
"Malnutrition prevalence, weight for age (% of children under 5)",9.044317404366325,0.00313
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.900201941251668,0.00074
Mobile cellular subscriptions (per 100 people),33.19389954628798,0.0
"Mortality rate, infant (per 1,000 live births)",679.2575073501383,0.0
"Mortality rate, neonatal (per 1,000 live births)",760.7632646114182,0.0
"Mortality rate, under-5 (per 1,000 live births)",640.9540849908014,0.0
"Mortality rate, under-5 (per 1,000)",640.9540849908014,0.0
Net ODA received per capita (current US$),9.262131497654105,0.0028
Newborns protected against tetanus (%),103.87380213971494,0.0
"Own-account workers, female (% of females employed)",45.44638277402774,0.0
"Own-account workers, male (% of males employed)",45.601659257191976,0.0
People using safely managed drinking water services (% of population),37.82726132738359,0.0
"People using safely managed drinking water services, urban (% of urban population)",103.07530093872555,0.0
People using safely managed sanitation services (% of population),105.9580966620136,0.0
"People using safely managed sanitation services, urban  (% of urban population)",106.02564000403983,0.0
Population ages 0-14 (% of total),165.0292921165025,0.0
"Population ages 00-04, female (% of female population)",85.34667947989155,0.0
"Population ages 00-04, male (% of male population)",92.92375725103783,0.0
Population ages 00-14 (% of total),165.0292921165025,0.0
"Population ages 00-14, female (% of total)",151.2802197846737,0.0
"Population ages 00-14, male (% of total)",179.1281293396276,0.0
"Population ages 05-09, female (% of female population)",150.41624249096785,0.0
"Population ages 05-09, male (% of male population)",176.68200674540938,0.0
"Population ages 10-14, female (% of female population)",232.19658434764392,0.0
"Population ages 15-19, female (% of female population)",116.88466782570585,0.0
"Population ages 15-19, male (% of male population)",123.78696292146998,0.0
Population ages 15-64 (% of total),29.50994127214272,0.0
"Population ages 15-64, female (% of total)",12.0685259761851,0.00069
"Population ages 15-64, male (% of total)",57.14480870573044,0.0
"Population ages 20-24, female (% of female population)",9.807952187955816,0.00212
"Population ages 25-29, male (% of male population)",17.738384435071875,5e-05
"Population ages 30-34, male (% of male population)",11.132767304315879,0.00109
"Population ages 45-49, female (% of female population)",18.995280766348277,3e-05
"Population ages 45-49, male (% of male population)",16.22051056307977,9e-05
"Population ages 50-54, female (% of female population)",60.096422697998335,0.0
"Population ages 50-54, male (% of male population)",53.066751416624165,0.0
"Population ages 55-59, female (% of female population)",102.79821812177757,0.0
"Population ages 55-59, male (% of male population)",105.43784406602359,0.0
"Population ages 60-64, female (% of female population)",131.67134646390494,0.0
"Population ages 60-64, male (% of male population)",163.89027900214282,0.0
Population ages 65 and above (% of total),117.43325555717976,0.0
"Population ages 65 and above, female (% of total)",108.72783360843383,0.0
"Population ages 65 and above, male (% of total)",134.81525782393848,0.0
"Population ages 65-69, female (% of female population)",120.65314455806916,0.0
"Population ages 65-69, male (% of male population)",147.99426290245617,0.0
"Population ages 70-74, female (% of female population)",99.65579250188995,0.0
"Population ages 70-74, male (% of male population)",119.77598793757606,0.0
"Population ages 75-79, female (% of female population)",86.16029037685932,0.0
"Population ages 75-79, male (% of male population)",95.62789165776417,0.0
"Population ages 80 and older, female (% of female population)",106.21143374595385,0.0
"Population ages 80 and older, male (% of male population)",144.07025960466626,0.0
"Population ages10-14, male (% of male population)",288.8323328732153,0.0
Population growth (annual %),8.300267493552793,0.0046
"Population, female (% of total)",60.496374758335875,0.0
"Population, male (% of total)",60.496374758078986,0.0
Poverty gap at $1.90 a day (2011 PPP) (%),23.986580543419183,0.0
Poverty gap at national poverty lines (%),11.573088193883532,0.00088
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),23.79285620656775,0.0
Poverty headcount ratio at national poverty line (% of population),15.05114959036866,0.00016
Poverty headcount ratio at national poverty lines (% of population),15.05114959036866,0.00016
"Prevalence of HIV, female (% ages 15-24)",286.41441698999233,0.0
"Prevalence of HIV, male (% ages 15-24)",172.97112907191402,0.0
"Prevalence of HIV, total (% of population ages 15-49)",176.77362236491277,0.0
Prevalence of anemia among children (% of children under 5),144.97662508469142,0.0
Prevalence of anemia among non-pregnant women (% of women ages 15-49),480.11965726031667,0.0
Prevalence of anemia among pregnant women (%),41.5014430991665,0.0
Prevalence of anemia among women of reproductive age (% of women ages 15-49),483.63104556684596,0.0
Prevalence of overweight (% of children under 5),9.072903108647589,0.00309
"Prevalence of underweight, weight for age (% of children under 5)",9.044317404366325,0.00313
Prevalence of wasting (% of children under 5),9.074107160877587,0.00308
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),46.20490811717846,0.0
Ratio of female to male labor force participation rate (%) (national estimate),79.63521030046648,0.0
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),12.541180107087735,0.00054
Ratio of female to male youth unemployment rate (%) (national estimate),25.658535549582414,0.0
Rural population (% of total population),355.76570040363265,0.0
Rural population growth (annual %),43.41424543277773,0.0
Rural poverty gap at national poverty lines (%),8.860548641531699,0.00344
"School enrollment, secondary (% net)",21.851437925404234,1e-05
"School enrollment, secondary, female (% net)",21.45326207296581,1e-05
"School enrollment, secondary, male (% net)",21.52079600345855,1e-05
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),17.78017036752463,4e-05
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),17.78017036752463,4e-05
"Start-up procedures to register a business, female (number)",9.890286701014128,0.00204
"Start-up procedures to register a business, male (number)",9.935242985929358,0.00199
Status under enhanced HIPC initiative,73.9780592926927,0.0
"Time-related underemployment, female (% of employment)",32.814462636199664,0.0
"Time-related underemployment, male (% of employment)",32.78456129910363,0.0
"Total debt service (% of exports of goods, services and primary income)",13.509991608872607,0.00034
Trade (% of GDP),112.57443070498663,0.0
"Unemployment with advanced education, female (% of female labor force with advanced education)",34.053138255281596,0.0
"Unemployment with advanced education, male (% of male labor force with advanced education)",34.11103709107319,0.0
"Unemployment with basic education, female (% of female labor force with basic education)",34.027520699157826,0.0
"Unemployment with basic education, male (% of male labor force with basic education)",34.07620380608521,0.0
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",30.504962714572677,0.0
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",30.57763202646546,0.0
"Unemployment, female (% of female labor force)",35.9006236142923,0.0
"Unemployment, female (% of female labor force) (modeled ILO estimate)",35.9006236142923,0.0
"Unemployment, female (% of female labor force) (national estimate)",74.56755447667655,0.0
"Unemployment, male (% of male labor force)",14.355842909772432,0.00023
"Unemployment, male (% of male labor force) (modeled ILO estimate)",14.355842909772432,0.00023
"Unemployment, male (% of male labor force) (national estimate)",74.81222730094626,0.0
"Unemployment, total (% of total labor force)",20.248896551723266,1e-05
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",32.27495408474548,0.0
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",26.277309480216175,0.0
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",9.29478319353614,0.00276
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",26.318820633370148,0.0
Urban population (% of total),355.7657004036609,0.0
Urban population growth (annual %),14.04192462202066,0.00026
Urban poverty gap at national poverty lines (%),10.926661980086935,0.00121
Urban poverty headcount ratio at national poverty lines (% of urban population),14.068024854858908,0.00026
"Vulnerable employment, female (% of female employment)",45.01319212072424,0.0
"Vulnerable employment, male (% of male employment)",45.26492744514931,0.0
"Vulnerable employment, total (% of total employment)",47.78892210761022,0.0
"Wage and salaried workers, female (% of female employment)",47.3900715478256,0.0
"Wage and salaried workers, male (% of male employment)",47.46338171287661,0.0
Women's share of population ages 15+ living with HIV (%),207.54027436563646,0.0
Years,7.470251249113738,0.00709
