,F-value,p-value
"Access to anti-retroviral drugs, female (%)",36.0766787028842,0.0
"Access to anti-retroviral drugs, male (%)",37.396333676681955,0.0
"Adjusted net enrollment rate, primary (% of primary school age children)",24.421234037851505,0.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",20.766938830810304,1e-05
"Adjusted net enrollment rate, primary, male (% of primary school age children)",20.801433050327418,1e-05
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,12.211074753069738,0.00066
Adults (ages 15+) newly infected with HIV,11.558880294915518,0.00091
Age dependency ratio (% of working-age population),96.5068629772954,0.0
"Age dependency ratio, old",53.086386621244,0.0
"Age dependency ratio, young",110.4477538213146,0.0
"Age population, age 0, female, interpolated",15.586599571443928,0.00013
"Age population, age 0, male, interpolated",15.232736674376424,0.00016
"Age population, age 01, female, interpolated",15.504896284423442,0.00014
"Age population, age 01, male, interpolated",15.168568207855069,0.00016
"Age population, age 02, female, interpolated",15.475722795914361,0.00014
"Age population, age 02, male, interpolated",15.155053236268678,0.00016
"Age population, age 03, female, interpolated",15.4342328254596,0.00014
"Age population, age 03, male, interpolated",15.116725992556589,0.00016
"Age population, age 04, female, interpolated",15.366963284879006,0.00015
"Age population, age 04, male, interpolated",15.037910356836544,0.00017
"Age population, age 05, female, interpolated",15.268961551141794,0.00015
"Age population, age 05, male, interpolated",14.919862060791113,0.00018
"Age population, age 06, female, interpolated",15.179306711148978,0.00016
"Age population, age 06, male, interpolated",14.806609060773235,0.00019
"Age population, age 07, female, interpolated",15.095336209460253,0.00017
"Age population, age 07, male, interpolated",14.696980776319187,0.0002
"Age population, age 08, female, interpolated",15.013407304241962,0.00017
"Age population, age 08, male, interpolated",14.587948150653592,0.00021
"Age population, age 09, female, interpolated",14.93247562446565,0.00018
"Age population, age 09, male, interpolated",14.479556491674188,0.00022
"Age population, age 10, female, interpolated",14.8487294340633,0.00019
"Age population, age 10, male, interpolated",14.37088074288868,0.00023
"Age population, age 11, female, interpolated",14.75641761562287,0.00019
"Age population, age 11, male, interpolated",14.26031528222633,0.00025
"Age population, age 12, female, interpolated",14.649697230330375,0.0002
"Age population, age 12, male, interpolated",14.146270668738229,0.00026
"Age population, age 13, female, interpolated",14.525972282045114,0.00022
"Age population, age 13, male, interpolated",14.029027055196837,0.00027
"Age population, age 14, female, interpolated",14.379454631496774,0.00023
"Age population, age 14, male, interpolated",13.90116741242696,0.00029
"Age population, age 15, female, interpolated",14.216272672131165,0.00025
"Age population, age 15, male, interpolated",13.760224727421553,0.00031
"Age population, age 16, female, interpolated",14.050830765049424,0.00027
"Age population, age 16, male, interpolated",13.611331495156163,0.00034
"Age population, age 17, female, interpolated",13.893815190281309,0.00029
"Age population, age 17, male, interpolated",13.46025271939396,0.00036
"Age population, age 18, female, interpolated",13.749372572379338,0.00031
"Age population, age 18, male, interpolated",13.310839311031037,0.00039
"Age population, age 19, female, interpolated",13.628649282755934,0.00033
"Age population, age 19, male, interpolated",13.174555707092711,0.00041
"Age population, age 20, female, interpolated",13.508598258963858,0.00035
"Age population, age 20, male, interpolated",13.033201102141778,0.00044
"Age population, age 21, female, interpolated",13.349437723434594,0.00038
"Age population, age 21, male, interpolated",12.85367778940919,0.00048
"Age population, age 22, female, interpolated",13.128752561598752,0.00042
"Age population, age 22, male, interpolated",12.619285715922125,0.00054
"Age population, age 23, female, interpolated",12.855023514924065,0.00048
"Age population, age 23, male, interpolated",12.33868339281634,0.00062
"Age population, age 24, female, interpolated",12.523306344645135,0.00057
"Age population, age 24, male, interpolated",12.00881530789257,0.00073
"Age population, age 25, female, interpolated",12.157743142725781,0.00068
"Age population, age 25, male, interpolated",11.655871877406849,0.00087
Antiretroviral therapy coverage (% of people living with HIV),37.23238488989201,0.0
Births attended by skilled health staff (% of total),56.76550543822105,0.0
Children (0-14) living with HIV,17.559603564787068,5e-05
