,F-value,p-value
"Access to anti-retroviral drugs, female (%)",16.350495812121782,0.0001
"Access to anti-retroviral drugs, male (%)",17.098664855234748,7e-05
Age dependency ratio (% of working-age population),314.1753167172287,0.0
"Age dependency ratio, old",40.77288791414713,0.0
"Age dependency ratio, young",331.7014594557175,0.0
Antiretroviral therapy coverage (% of people living with HIV),16.878599595763596,8e-05
Children (0-14) living with HIV,19.642478149160596,2e-05
Children (ages 0-14) newly infected with HIV,37.0527478081237,0.0
"Children out of school, primary, female",10.988648926015138,0.00124
"Children out of school, primary, male",9.205398057646997,0.00301
"Contraceptive prevalence, any methods (% of women ages 15-49)",13.875380420089021,0.00031
"Contraceptive prevalence, modern methods (% of women ages 15-49)",25.721364424855523,0.0
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",12.01070103032122,0.00076
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",23.114379410329942,0.0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",18.644462170438562,3e-05
Fixed telephone subscriptions (per 100 people),24.45555946786046,0.0
GDP per capita (Current US$),136.4872076961017,0.0
GDP per person employed (constant 2011 PPP $),126.74905093975737,0.0
"GNI per capita, Atlas method (current US$)",156.95693287698438,0.0
"GNI per capita, PPP (current international $)",179.7699392079035,0.0
"Government expenditure per student, primary (% of GDP per capita)",8.887715289556152,0.00354
Gross capital formation (% of GDP),52.73200920053249,0.0
"Gross graduation ratio, primary, female (%)",10.68942419048588,0.00144
"Gross graduation ratio, primary, male (%)",11.116428181044931,0.00117
"Hospital beds (per 1,000 people)",25.51839512607469,0.0
"Immunization, BCG (% of one-year-old children)",258.9293262629723,0.0
"Immunization, DPT (% of children ages 12-23 months)",281.0505339949159,0.0
"Immunization, HepB3 (% of one-year-old children)",29.249316211389324,0.0
"Immunization, Pol3 (% of one-year-old children)",272.7270832001797,0.0
"Immunization, measles (% of children ages 12-23 months)",326.63611287823056,0.0
Incidence of HIV (% of uninfected population ages 15-49),17.7494035126696,5e-05
"Incidence of tuberculosis (per 100,000 people)",9.14310835735483,0.00311
Internet users (per 100 people),59.22574629737919,0.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",8.829840605372816,0.00364
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",26.778031939413324,0.0
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",13.731601963460179,0.00033
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",51.68313819832542,0.0
"Labor force, female (% of total labor force)",29.432900378680333,0.0
Lifetime risk of maternal death (1 in: rate varies by country),24.963752937091442,0.0
"Lower secondary completion rate, female (% of relevant age group)",16.67366191663085,8e-05
"Lower secondary completion rate, male (% of relevant age group)",16.222707922713592,0.0001
Malaria cases reported,8.328841825838179,0.0047
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",35.860030955667206,0.0
Mobile cellular subscriptions (per 100 people),94.5725320917503,0.0
"Mortality rate, adult, female (per 1,000 female adults)",8.679911690325211,0.00393
"Mortality rate, infant (per 1,000 live births)",607.8309688919951,0.0
"Mortality rate, neonatal (per 1,000 live births)",585.9789827493597,0.0
"Mortality rate, under-5 (per 1,000 live births)",785.3794212035492,0.0
"Mortality rate, under-5 (per 1,000)",785.3794212035492,0.0
Net official development assistance and official aid received (current US$),53.316259253513344,0.0
Net official development assistance received (current US$),53.316259253513344,0.0
Newborns protected against tetanus (%),73.73536452873603,0.0
Number of infant deaths,9.989850094933834,0.00203
Number of maternal deaths,10.758565546010495,0.00139
Number of neonatal deaths,9.960424661838225,0.00206
Number of under-five deaths,10.035601325453676,0.00199
"PPP conversion factor, GDP (LCU per international $)",7.750934779622636,0.00632
"People using safely managed drinking water services, rural (% of rural population)",12.222339101316878,0.00068
"Physicians (per 1,000 people)",9.984233292446934,0.00204
Population ages 0-14 (% of total),405.68501464629554,0.0
"Population ages 00-04, female (% of female population)",253.0756448516545,0.0
"Population ages 00-04, male (% of male population)",336.21376814768485,0.0
Population ages 00-14 (% of total),405.68501464629554,0.0
"Population ages 00-14, female (% of total)",343.6621781815464,0.0
"Population ages 00-14, male (% of total)",375.83302457951334,0.0
"Population ages 05-09, female (% of female population)",365.32449119689386,0.0
"Population ages 05-09, male (% of male population)",346.40790644328615,0.0
"Population ages 10-14, female (% of female population)",150.87713418055088,0.0
"Population ages 15-19, female (% of female population)",17.534488895056374,6e-05
"Population ages 15-19, male (% of male population)",16.380752148547398,0.0001
Population ages 15-64 (% of total),366.76649476538273,0.0
"Population ages 15-64, female (% of total)",373.6668890324075,0.0
"Population ages 15-64, male (% of total)",297.8227315576313,0.0
