,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),72.37583027848125,0.0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",31.01806036671731,0.0
Adults (ages 15+) and children (0-14 years) living with HIV,46.82510369388036,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,14.360396491876674,0.00021
Adults (ages 15+) living with HIV,46.84262876514596,0.0
Adults (ages 15+) newly infected with HIV,14.251017754028288,0.00022
"Age at first marriage, female",7.668247005175699,0.00626
"Age at first marriage, male",7.676513835153511,0.00623
Age dependency ratio (% of working-age population),33.47733321663839,0.0
"Age dependency ratio, old",31.99274129798622,0.0
"Age dependency ratio, young",35.47019224750018,0.0
"Age population, age 0, female, interpolated",33.33465316457193,0.0
"Age population, age 0, male, interpolated",33.538326645724645,0.0
"Age population, age 01, female, interpolated",34.76665159815984,0.0
"Age population, age 01, male, interpolated",34.939362503872296,0.0
"Age population, age 02, female, interpolated",35.98056820737722,0.0
"Age population, age 02, male, interpolated",36.118915438583336,0.0
"Age population, age 03, female, interpolated",36.709991570847805,0.0
"Age population, age 03, male, interpolated",36.79712886108462,0.0
"Age population, age 04, female, interpolated",36.97734565614682,0.0
"Age population, age 04, male, interpolated",37.029796069986325,0.0
"Age population, age 05, female, interpolated",36.90507513843028,0.0
"Age population, age 05, male, interpolated",36.93334758655431,0.0
"Age population, age 06, female, interpolated",36.61998600499105,0.0
"Age population, age 06, male, interpolated",36.62405359106515,0.0
"Age population, age 07, female, interpolated",36.16486290065998,0.0
"Age population, age 07, male, interpolated",36.1451389921719,0.0
"Age population, age 08, female, interpolated",35.56148225776277,0.0
"Age population, age 08, male, interpolated",35.5190784344935,0.0
"Age population, age 09, female, interpolated",34.84068215895719,0.0
"Age population, age 09, male, interpolated",34.77712780783906,0.0
"Age population, age 10, female, interpolated",34.05121579242279,0.0
"Age population, age 10, male, interpolated",33.96721757602766,0.0
"Age population, age 11, female, interpolated",33.25298214755104,0.0
"Age population, age 11, male, interpolated",33.14691655254672,0.0
"Age population, age 12, female, interpolated",32.491064752755484,0.0
"Age population, age 12, male, interpolated",32.36023974738579,0.0
"Age population, age 13, female, interpolated",31.799893806975746,0.0
"Age population, age 13, male, interpolated",31.64265471249457,0.0
"Age population, age 14, female, interpolated",31.183187463020534,0.0
"Age population, age 14, male, interpolated",30.99870614173476,0.0
"Age population, age 15, female, interpolated",30.65642358724651,0.0
"Age population, age 15, male, interpolated",30.450445117740884,0.0
"Age population, age 16, female, interpolated",30.2507569167134,0.0
"Age population, age 16, male, interpolated",30.03662899436987,0.0
"Age population, age 17, female, interpolated",30.008182684590054,0.0
"Age population, age 17, male, interpolated",29.80069167104786,0.0
"Age population, age 18, female, interpolated",29.945748129579577,0.0
"Age population, age 18, male, interpolated",29.754553565031028,0.0
"Age population, age 19, female, interpolated",30.043112071254004,0.0
"Age population, age 19, male, interpolated",29.876673503312556,0.0
"Age population, age 20, female, interpolated",30.211931422751622,0.0
"Age population, age 20, male, interpolated",30.076920706620268,0.0
"Age population, age 21, female, interpolated",30.367042591298414,0.0
"Age population, age 21, male, interpolated",30.2649563187075,0.0
"Age population, age 22, female, interpolated",30.47747856800121,0.0
"Age population, age 22, male, interpolated",30.402520914529322,0.0
"Age population, age 23, female, interpolated",30.567832742848527,0.0
"Age population, age 23, male, interpolated",30.511139902905686,0.0
"Age population, age 24, female, interpolated",30.682498823953125,0.0
"Age population, age 24, male, interpolated",30.635564400298307,0.0
"Age population, age 25, female, interpolated",30.8963489922289,0.0
"Age population, age 25, male, interpolated",30.853248378302315,0.0
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),34.34356192275346,0.0
Average tariffs imposed by developed countries on agricultural products from developing countries (%),43.15580811145152,0.0
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),43.17388791216147,0.0
Average tariffs imposed by developed countries on clothing products from developing countries (%),43.19145854089279,0.0
Average tariffs imposed by developed countries on clothing products from least developed countries (%),43.22921179232967,0.0
Average tariffs imposed by developed countries on textile products from developing countries (%),43.202428019290714,0.0
Average tariffs imposed by developed countries on textile products from least developed countries (%),43.22792161674951,0.0
Bilateral ODA commitments that is untied (current US$),7.820189258776039,0.00578
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",42.44726255134902,0.0
"Bilateral, sector-allocable ODA to basic social services (current US$)",11.868410053509482,0.00072
Births attended by skilled health staff (% of total),41.760893257158855,0.0
CO2 emissions (kg per PPP $ of GDP),10.991339360347933,0.00112
CO2 emissions (kt),23.562981443858483,0.0
CO2 emissions (metric tons per capita),10.857923057735025,0.0012
Children (0-14) living with HIV,44.92798952113968,0.0
Children (ages 0-14) newly infected with HIV,46.77774369870807,0.0
Children orphaned by HIV/AIDS,38.29102957699929,0.0
"Children out of school, primary, female",8.555467111695108,0.00393
"Cost of business start-up procedures, female (% of GNI per capita)",14.697169140704794,0.00018
"Cost of business start-up procedures, male (% of GNI per capita)",14.697169140704794,0.00018
Country_code,20.906949169951016,1e-05
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",86.48285901828203,0.0
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",20.87899530393914,1e-05
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",20.89713339722485,1e-05
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",36.259016470840315,0.0
