,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),26.606456456432625,0.0
"Access to anti-retroviral drugs, female (%)",42.667169192925776,0.0
"Access to anti-retroviral drugs, male (%)",47.944539712644556,0.0
"Adjusted net enrollment rate, primary (% of primary school age children)",24.10750502603988,0.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",19.84629534329939,1e-05
"Adjusted net enrollment rate, primary, male (% of primary school age children)",19.066724328036322,2e-05
"Adolescent fertility rate (births per 1,000 women ages 15-19)",6.890521575709276,0.00936
Adults (ages 15+) and children (0-14 years) living with HIV,26.338219762612002,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,26.953070876041423,0.0
Adults (ages 15+) living with HIV,26.440748895135147,0.0
Adults (ages 15+) newly infected with HIV,26.654135120210153,0.0
Age dependency ratio (% of working-age population),65.62828747768764,0.0
"Age dependency ratio, old",208.795650635673,0.0
"Age dependency ratio, young",83.5672473094502,0.0
"Age population, age 0, female, interpolated",26.18089463852383,0.0
"Age population, age 0, male, interpolated",25.964575506347796,0.0
"Age population, age 01, female, interpolated",25.91577119136215,0.0
"Age population, age 01, male, interpolated",25.68862184149033,0.0
"Age population, age 02, female, interpolated",25.690159836996536,0.0
"Age population, age 02, male, interpolated",25.453478627080404,0.0
"Age population, age 03, female, interpolated",25.51358691484739,0.0
"Age population, age 03, male, interpolated",25.270759245083717,0.0
"Age population, age 04, female, interpolated",25.319771330937655,0.0
"Age population, age 04, male, interpolated",25.07002816332705,0.0
"Age population, age 05, female, interpolated",25.11984341826756,0.0
"Age population, age 05, male, interpolated",24.863484821451426,0.0
"Age population, age 06, female, interpolated",24.942540461894136,0.0
"Age population, age 06, male, interpolated",24.68081786687599,0.0
"Age population, age 07, female, interpolated",24.78847002378718,0.0
"Age population, age 07, male, interpolated",24.522690748416636,0.0
"Age population, age 08, female, interpolated",24.65735501838864,0.0
"Age population, age 08, male, interpolated",24.388711157291166,0.0
"Age population, age 09, female, interpolated",24.549016282824788,0.0
"Age population, age 09, male, interpolated",24.278444627565914,0.0
"Age population, age 10, female, interpolated",24.46379903130945,0.0
"Age population, age 10, male, interpolated",24.191287804313397,0.0
"Age population, age 11, female, interpolated",24.402104100119608,0.0
"Age population, age 11, male, interpolated",24.126657702650828,0.0
"Age population, age 12, female, interpolated",24.36369207719457,0.0
"Age population, age 12, male, interpolated",24.08407173064169,0.0
"Age population, age 13, female, interpolated",24.348352939033816,0.0
"Age population, age 13, male, interpolated",24.06497270230925,0.0
"Age population, age 14, female, interpolated",24.353555896131848,0.0
"Age population, age 14, male, interpolated",24.068659562335892,0.0
"Age population, age 15, female, interpolated",24.37152854088229,0.0
"Age population, age 15, male, interpolated",24.084925266224186,0.0
"Age population, age 16, female, interpolated",24.39366789210624,0.0
"Age population, age 16, male, interpolated",24.101434856186106,0.0
"Age population, age 17, female, interpolated",24.41509486194459,0.0
"Age population, age 17, male, interpolated",24.11219134019417,0.0
"Age population, age 18, female, interpolated",24.435349673265932,0.0
"Age population, age 18, male, interpolated",24.119445083897695,0.0
"Age population, age 19, female, interpolated",24.4544054730852,0.0
"Age population, age 19, male, interpolated",24.12513596555568,0.0
"Age population, age 20, female, interpolated",24.461118681907763,0.0
"Age population, age 20, male, interpolated",24.124018710401486,0.0
"Age population, age 21, female, interpolated",24.440115194344806,0.0
"Age population, age 21, male, interpolated",24.109020946875308,0.0
"Age population, age 22, female, interpolated",24.380662208442267,0.0
"Age population, age 22, male, interpolated",24.07520888817665,0.0
"Age population, age 23, female, interpolated",24.283805972844643,0.0
"Age population, age 23, male, interpolated",24.022458042846058,0.0
"Age population, age 24, female, interpolated",24.154594328546413,0.0
"Age population, age 24, male, interpolated",23.952961398599438,0.0
"Age population, age 25, female, interpolated",23.999697284414562,0.0
"Age population, age 25, male, interpolated",23.868872223173465,0.0
Antiretroviral therapy coverage (% of people living with HIV),48.9836951433566,0.0
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),18.28983629641925,3e-05
Births attended by skilled health staff (% of total),52.32189610842992,0.0
CO2 emissions (kt),20.17254969820996,1e-05
Children (0-14) living with HIV,25.777836343955837,0.0
Children (ages 0-14) newly infected with HIV,29.494590825129663,0.0
Children orphaned by HIV/AIDS,21.912754770425412,1e-05
"Children out of school, primary, female",17.31337109525772,5e-05
"Children out of school, primary, male",15.241016897733482,0.00013
"Cost of business start-up procedures, female (% of GNI per capita)",33.99223383781146,0.0
"Cost of business start-up procedures, male (% of GNI per capita)",33.99323815813195,0.0
Country_code,58.57265642962907,0.0
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",11.657446135030842,0.00078
"Employment to population ratio, 15+, total (%) (national estimate)",10.85711535723121,0.00117
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",11.296794719876408,0.00094
"Expected years of schooling, female",28.214474601825533,0.0
"Expected years of schooling, male",28.107464604799993,0.0
Female population 00-04,25.740564962879077,0.0
Female population 05-09,24.822049506084326,0.0
Female population 10-14,24.389344589939082,0.0
Female population 15-19,24.4145532494226,0.0
Female population 20-24,24.349097119076323,0.0
Female population 25-29,23.634203135368516,0.0
Female population 30-34,22.677208911330723,0.0
Female population 35-39,22.204956610729884,0.0
Female population 40-44,22.397672359972404,0.0
Female population 45-49,22.802870376178532,0.0
Female population 50-54,23.118056453045245,0.0
Female population 55-59,23.595447949258887,0.0
Female population 60-64,24.162573246885408,0.0
Female population 65-69,23.563850500586508,0.0
Female population 70-74,21.994094106754112,1e-05
Female population 75-79,19.549310499568247,2e-05
Female population 80+,14.41294842036767,0.0002
Forest area (sq. km),12.466766638240117,0.00052
GDP (current US$),10.86257196326313,0.00117
GDP per capita (Current US$),93.49459228546132,0.0
GDP per person employed (constant 2011 PPP $),26.198967008130957,0.0
"GNI per capita, Atlas method (current US$)",104.76734706361096,0.0
"GNI per capita, PPP (current international $)",55.43800410466456,0.0
"GNI, Atlas method (current US$)",9.676166736871865,0.00215
"Government expenditure per student, primary (% of GDP per capita)",16.488504609807123,7e-05
"Government expenditure per student, secondary (% of GDP per capita)",9.058795211285082,0.00296
Gross capital formation (% of GDP),21.913703520304903,1e-05
"Gross graduation ratio, primary, female (%)",7.791771109595809,0.00577
"Gross graduation ratio, primary, male (%)",7.383717640376472,0.00718
"Health expenditure, private (% of total health expenditure)",8.627060017354319,0.00371
"Health expenditure, total (current US$)",15.690872361366093,0.0001
"Immunization, BCG (% of one-year-old children)",48.00506773376882,0.0
"Immunization, DPT (% of children ages 12-23 months)",87.17778720530437,0.0
"Immunization, HepB3 (% of one-year-old children)",39.30229357699882,0.0
"Immunization, Hib3 (% of children ages 12-23 months)",18.031583849710696,3e-05
"Immunization, Pol3 (% of one-year-old children)",62.99331455768888,0.0
"Immunization, measles (% of children ages 12-23 months)",82.8693791573942,0.0
Incidence of HIV (% of uninfected population ages 15-49),10.458067845036647,0.00144
"Incidence of tuberculosis (per 100,000 people)",11.047636469085184,0.00106
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",8.762610988569762,0.00346
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",7.02098670862129,0.00872
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",7.642091271571843,0.00625
"Labor force, female",23.039645205180772,0.0
"Labor force, female (% of total labor force)",16.164313614914178,8e-05
"Labor force, total",23.453844046794483,0.0
Lifetime risk of maternal death (1 in: rate varies by country),10.842911246464627,0.00118
"Lower secondary completion rate, female (% of relevant age group)",38.01654109706226,0.0
"Lower secondary completion rate, male (% of relevant age group)",36.37794464008023,0.0
Male population 00-04,25.507144427394316,0.0
Male population 05-09,24.557967437305575,0.0
Male population 10-14,24.11064133538536,0.0
Male population 15-19,24.110520459335387,0.0
Male population 20-24,24.060142319568598,0.0
Male population 25-29,23.64956571393399,0.0
Male population 30-34,22.94237561600836,0.0
Male population 35-39,22.474067957855553,0.0
Male population 40-44,22.930298741264707,0.0
Male population 45-49,23.320849482455433,0.0
Male population 50-54,23.254013544499934,0.0
Male population 55-59,23.81374316448506,0.0
Male population 60-64,24.275963078543736,0.0
Male population 65-69,23.427984791908106,0.0
Male population 70-74,22.3851199302401,0.0
Male population 75-79,21.323053200733963,1e-05
Male population 80+,18.514905453830654,3e-05
"Malnutrition prevalence, height for age (% of children under 5)",9.468454456437637,0.00239
"Malnutrition prevalence, height for age, female (% of children under 5)",9.466670265630025,0.00239
"Malnutrition prevalence, height for age, male (% of children under 5)",9.470115407497815,0.00239
"Malnutrition prevalence, weight for age (% of children under 5)",9.456384822224834,0.00241
"Malnutrition prevalence, weight for age, female (% of children under 5)",9.455809736723616,0.00241
"Malnutrition prevalence, weight for age, male (% of children under 5)",9.457205791431866,0.00241
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",104.35337097204028,0.0
Mobile cellular subscriptions (per 100 people),30.815124905686005,0.0
"Mortality rate, adult, female (per 1,000 female adults)",21.921618584680427,1e-05
"Mortality rate, adult, male (per 1,000 male adults)",18.563392284990872,3e-05
"Mortality rate, infant (per 1,000 live births)",1608.245922328993,0.0
"Mortality rate, neonatal (per 1,000 live births)",417.9903202465498,0.0
"Mortality rate, under-5 (per 1,000 live births)",1121.060395907139,0.0
"Mortality rate, under-5 (per 1,000)",1121.060395907139,0.0
"Net intake rate in grade 1, female (% of official school-age population)",12.324383363487716,0.00056
"Net intake rate in grade 1, male (% of official school-age population)",12.088075993677323,0.00063
