,F-value,p-value
AIDS estimated deaths (UNAIDS estimates),9.278664490377347,0.0026
"Adjusted net enrollment rate, primary (% of primary school age children)",31.86958713107421,0.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",59.936800670586564,0.0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",59.81216496917915,0.0
Adults (ages 15+) and children (0-14 years) living with HIV,23.37977603680911,0.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,20.550785246620926,1e-05
Adults (ages 15+) living with HIV,23.73524512107572,0.0
Adults (ages 15+) newly infected with HIV,20.69534827969022,1e-05
"Age at first marriage, female",41.43901638481545,0.0
"Age at first marriage, male",41.43913209781208,0.0
Age dependency ratio (% of working-age population),48.895234469383134,0.0
"Age dependency ratio, young",72.6743666830902,0.0
"Age population, age 0, female, interpolated",51.58806421654387,0.0
"Age population, age 0, male, interpolated",53.414745213522025,0.0
"Age population, age 01, female, interpolated",50.11257932782729,0.0
"Age population, age 01, male, interpolated",52.01770111083659,0.0
"Age population, age 02, female, interpolated",48.93146177793725,0.0
"Age population, age 02, male, interpolated",50.901212392710626,0.0
"Age population, age 03, female, interpolated",47.78629988919709,0.0
"Age population, age 03, male, interpolated",49.80407269819219,0.0
"Age population, age 04, female, interpolated",46.70913689432002,0.0
"Age population, age 04, male, interpolated",48.72872043004153,0.0
"Age population, age 05, female, interpolated",45.696042033182835,0.0
"Age population, age 05, male, interpolated",47.68732618220667,0.0
"Age population, age 06, female, interpolated",44.79759173449764,0.0
"Age population, age 06, male, interpolated",46.7475613441447,0.0
"Age population, age 07, female, interpolated",43.99278106162023,0.0
"Age population, age 07, male, interpolated",45.88855938937838,0.0
"Age population, age 08, female, interpolated",43.25876363649004,0.0
"Age population, age 08, male, interpolated",45.091199496469294,0.0
"Age population, age 09, female, interpolated",42.588217408244326,0.0
"Age population, age 09, male, interpolated",44.35142534114308,0.0
"Age population, age 10, female, interpolated",41.975861467081714,0.0
"Age population, age 10, male, interpolated",43.66736870865424,0.0
"Age population, age 11, female, interpolated",41.408677738436744,0.0
"Age population, age 11, male, interpolated",43.03283372699825,0.0
"Age population, age 12, female, interpolated",40.86154778497465,0.0
"Age population, age 12, male, interpolated",42.4415686502316,0.0
"Age population, age 13, female, interpolated",40.31881533890141,0.0
"Age population, age 13, male, interpolated",41.88259056361765,0.0
"Age population, age 14, female, interpolated",39.752961708618436,0.0
"Age population, age 14, male, interpolated",41.30180620395554,0.0
"Age population, age 15, female, interpolated",39.10488444192643,0.0
"Age population, age 15, male, interpolated",40.60007882293265,0.0
"Age population, age 16, female, interpolated",38.317654951993035,0.0
"Age population, age 16, male, interpolated",39.69041300145854,0.0
"Age population, age 17, female, interpolated",37.369126064931436,0.0
"Age population, age 17, male, interpolated",38.52361737870937,0.0
"Age population, age 18, female, interpolated",36.269162916634954,0.0
"Age population, age 18, male, interpolated",37.076844542139376,0.0
"Age population, age 19, female, interpolated",35.02501796626453,0.0
"Age population, age 19, male, interpolated",35.35533913760379,0.0
"Age population, age 20, female, interpolated",33.672834946424764,0.0
"Age population, age 20, male, interpolated",33.413467378586255,0.0
"Age population, age 21, female, interpolated",32.26850884570207,0.0
"Age population, age 21, male, interpolated",31.319216462944382,0.0
"Age population, age 22, female, interpolated",30.85716325036245,0.0
"Age population, age 22, male, interpolated",29.1036751352936,0.0
"Age population, age 23, female, interpolated",29.460665398238977,0.0
"Age population, age 23, male, interpolated",26.80157806099535,0.0
"Age population, age 24, female, interpolated",28.10667207054714,0.0
"Age population, age 24, male, interpolated",24.505227599457246,0.0
"Age population, age 25, female, interpolated",26.81990454893848,0.0
"Age population, age 25, male, interpolated",22.33294451082832,0.0
Agricultural support estimate (% of GDP),19.8138384379819,1e-05
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),8.858313230832254,0.00324
Average tariffs imposed by developed countries on agricultural products from developing countries (%),24.615580643173256,0.0
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),24.617132041552033,0.0
Average tariffs imposed by developed countries on clothing products from developing countries (%),24.61928836292717,0.0
Average tariffs imposed by developed countries on clothing products from least developed countries (%),24.622733523060766,0.0
Average tariffs imposed by developed countries on textile products from developing countries (%),24.620178636268648,0.0
Average tariffs imposed by developed countries on textile products from least developed countries (%),24.622605885891204,0.0
Children (0-14) living with HIV,32.62769324562426,0.0
Children (ages 0-14) newly infected with HIV,36.61308561216401,0.0
Children orphaned by HIV/AIDS,32.25712360777081,0.0
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",23.376626795475563,0.0
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",21.556707343747398,1e-05
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",21.41359256446548,1e-05
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",21.334392877620946,1e-05
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",21.289551510229437,1e-05
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",23.835486452512832,0.0
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",23.493406301861572,0.0
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",17.065387175094372,5e-05
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",16.818405396802937,6e-05
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",27.79605930870448,0.0
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, male (%)",27.51527775718972,0.0
"Educational attainment, completed lower secondary, population 25+ years, female (%)",16.431332194755733,7e-05
"Educational attainment, completed lower secondary, population 25+ years, male (%)",16.518014049478495,7e-05
"Educational attainment, completed post-secondary, population 25+ years, female (%)",7.635403598511921,0.0062
"Educational attainment, completed post-secondary, population 25+ years, male (%)",7.5264545987086064,0.00658
"Educational attainment, completed primary, population 25+ years, female (%)",20.861344535483116,1e-05
"Educational attainment, completed primary, population 25+ years, male (%)",20.965778608790625,1e-05
"Educational attainment, completed upper secondary, population 25+ years, female (%)",20.78793995452459,1e-05
"Educational attainment, completed upper secondary, population 25+ years, male (%)",20.993173502877244,1e-05
"Educational attainment, no schooling, population 25+ years, female (%)",17.216640359819934,5e-05
"Educational attainment, no schooling, population 25+ years, male (%)",17.303181311259205,5e-05
"Educational attainment, some primary, population 25+ years, female (%)",20.970030854800104,1e-05
"Educational attainment, some primary, population 25+ years, male (%)",20.91017733324206,1e-05
"Educational attainment, some primary, population 25+ years, total (%)",20.94002147330571,1e-05
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",30.120788913109838,0.0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",31.063940764807075,0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",54.39834935717242,0.0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",95.58153218389344,0.0
"Employment to population ratio, ages 15-24, female (%) (national estimate)",29.549508387824012,0.0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",51.794342240334664,0.0
"Employment to population ratio, ages 15-24, male (%) (national estimate)",28.73761223927774,0.0
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",94.84665503116754,0.0
"Employment to population ratio, ages 15-24, total (%) (national estimate)",18.522753877977724,3e-05
"Expected years of schooling, female",37.28168919040867,0.0
"Expected years of schooling, male",37.20802693957694,0.0
