,F-value,p-value
"Adolescent fertility rate (births per 1,000 women ages 15-19)",17.271222874935773,6e-05
Age dependency ratio (% of working-age population),7.467062621045137,0.00732
"Age dependency ratio, old",7.416975030453248,0.00752
"Age dependency ratio, young",7.5491527816772415,0.00702
Agricultural support estimate (% of GDP),16.582557754931393,9e-05
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),16.266639163522285,0.0001
Average tariffs imposed by developed countries on agricultural products from developing countries (%),30.342467893074087,0.0
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),30.490074500154883,0.0
Average tariffs imposed by developed countries on clothing products from developing countries (%),30.659932970370413,0.0
Average tariffs imposed by developed countries on clothing products from least developed countries (%),30.389872985894158,0.0
Average tariffs imposed by developed countries on textile products from developing countries (%),30.502152696409407,0.0
Average tariffs imposed by developed countries on textile products from least developed countries (%),30.342838338475453,0.0
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),61.303184738465504,0.0
Bilateral ODA commitments that is untied (current US$),14.202890076966508,0.00027
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",17.322410941777292,6e-05
"Birth rate, crude (per 1,000 people)",8.185880734729198,0.00505
Births attended by skilled health staff (% of total),7.335291538313283,0.00784
CO2 emissions (kg per PPP $ of GDP),30.35536448511967,0.0
CO2 emissions (kt),16.57383496273366,9e-05
CO2 emissions (metric tons per capita),16.297455009607273,0.0001
"Contributing family workers, female (% of female employment)",10.789766261807337,0.00137
"Contributing family workers, male (% of male employment)",9.850885529596452,0.00218
"Contributing family workers, total (% of total employment)",10.76668971383028,0.00139
Country_code,19.901838394396037,2e-05
"Death rate, crude (per 1,000 people)",8.330226227818116,0.00469
"Employers, female (% of female employment)",10.75090104127337,0.0014
"Employers, male (% of male employment)",10.701342814134597,0.00143
"Employment in agriculture, female (% of female employment)",10.785276940450878,0.00137
"Employment in agriculture, male (% of male employment)",10.760154601501942,0.00139
"Employment in industry, female (% of female employment)",17.07975785453611,7e-05
"Employment in industry, male (% of male employment)",17.403982210210188,6e-05
"Employment in services, female (% of female employment)",10.807203511965941,0.00136
"Employment in services, male (% of male employment)",10.548622265960597,0.00154
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",7.071581658484638,0.009
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",7.3169102229419325,0.00792
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",7.1888307874155055,0.00847
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",7.079475296389884,0.00896
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",7.191882919851746,0.00845
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",7.136566979676151,0.0087
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",19.76984089450274,2e-05
Female share of employment in senior and middle management (%),12.323918201502108,0.00065
"Fertility rate, total (births per woman)",8.187692910135251,0.00505
Forest area (% of land area),7.773574294694973,0.00625
GDP growth (annual %),7.810237545166068,0.00613
GDP per capita (Current US$),17.280431427464414,6e-05
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),16.50895801400497,9e-05
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),29.54549538576191,0.0
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),30.129358966957444,0.0
"Government expenditure per student, secondary (% of GDP per capita)",20.61942629589122,1e-05
Gross capital formation (% of GDP),10.437515515241849,0.00163
"Health expenditure per capita, PPP",8.068049479578736,0.00537
"Health expenditure per capita, PPP (constant 2011 international $)",8.068049479578736,0.00537
"Health expenditure, private (% of GDP)",30.260790414043434,0.0
"Health expenditure, private (% of total health expenditure)",29.939831884013525,0.0
"Health expenditure, public (% of GDP)",30.284820345157645,0.0
"Health expenditure, public (% of government expenditure)",30.047205644238414,0.0
"Health expenditure, public (% of total health expenditure)",30.740168575961597,0.0
"Health expenditure, total (% of GDP)",30.20510180757192,0.0
"Immunization, DPT (% of children ages 12-23 months)",7.409706665160559,0.00754
"Immunization, HepB3 (% of one-year-old children)",13.624430145878572,0.00035
"Immunization, Hib3 (% of children ages 12-23 months)",7.320442140342911,0.0079
"Immunization, Pol3 (% of one-year-old children)",7.395593007354644,0.0076
"Immunization, measles (% of children ages 12-23 months)",7.354856478649592,0.00776
Improved sanitation facilities (% of population with access),16.88270229554674,8e-05
"Improved sanitation facilities, rural (% of rural population with access)",16.89325378316763,8e-05
"Improved sanitation facilities, urban (% of urban population with access)",16.88097318008395,8e-05
Improved water source (% of population with access),16.900724973650647,8e-05
"Improved water source, rural (% of rural population with access)",16.900724973650647,8e-05
"Improved water source, urban (% of urban population with access)",16.900724973650647,8e-05
"Incidence of tuberculosis (per 100,000 people)",17.13295632204443,7e-05
"Inflation, consumer prices (annual %)",7.58789481642311,0.00688
Internet users (per 100 people),76.41783733701986,0.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",7.033641815623549,0.00918
