,0
"Adjusted net enrollment rate, primary (% of primary school age children)",0.13245033
AIDS estimated deaths (UNAIDS estimates),0.105960265
Age dependency ratio (% of working-age population),0.09492274
"Access to anti-retroviral drugs, female (%)",0.07726269
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.06622516
"Age dependency ratio, old",0.050772626
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.046357617
"Access to anti-retroviral drugs, male (%)",0.017660044
"Age population, age 0, female, interpolated",0.017660044
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),0.015452539
"Age dependency ratio, young",0.013245033
"Expected years of schooling, female",0.013245033
"Government expenditure per student, primary (% of GDP per capita)",0.011037528
"Age population, age 09, female, interpolated",0.011037528
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.011037528
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.011037528
"Employment in industry, male (% of male employment)",0.008830022
"Age population, age 07, male, interpolated",0.008830022
Fixed telephone subscriptions (per 100 people),0.008830022
"Birth rate, crude (per 1,000 people)",0.008830022
"Employers, male (% of male employment)",0.0066225166
"Age population, age 10, male, interpolated",0.0066225166
GDP growth (annual %),0.0066225166
Net ODA provided to the least developed countries (% of donor GNI),0.0066225166
"Age population, age 12, male, interpolated",0.0066225166
Bilateral ODA commitments that is untied (current US$),0.0066225166
"Age population, age 0, male, interpolated",0.0066225166
CO2 emissions (kg per PPP $ of GDP),0.0066225166
"School enrollment, primary (gross), gender parity index (GPI)",0.004415011
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.004415011
"School enrollment, tertiary, male (% gross)",0.004415011
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.004415011
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.004415011
GDP per capita (Current US$),0.004415011
"Unemployment, male (% of male labor force)",0.004415011
"GNI per capita, Atlas method (current US$)",0.004415011
Births attended by skilled health staff (% of total),0.004415011
"Gross graduation ratio, tertiary, female (%)",0.004415011
Health expenditure per capita (current US$),0.004415011
"Children out of school, primary, female",0.004415011
"PPP conversion factor, GDP (LCU per international $)",0.004415011
"Population ages 50-54, male (% of male population)",0.004415011
"Immunization, HepB3 (% of one-year-old children)",0.004415011
"Age population, age 02, female, interpolated",0.004415011
"Inflation, consumer prices (annual %)",0.004415011
"Age population, age 08, male, interpolated",0.004415011
"Age population, age 08, female, interpolated",0.004415011
"Age population, age 07, female, interpolated",0.004415011
"Age population, age 06, male, interpolated",0.004415011
"Population ages 35-39, male (% of male population)",0.0022075055
"Employment in industry, female (% of female employment)",0.0022075055
"Employment in agriculture, female (% of female employment)",0.0022075055
"Population ages 45-49, female (% of female population)",0.0022075055
"Employers, female (% of female employment)",0.0022075055
"Death rate, crude (per 1,000 people)",0.0022075055
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0022075055
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0022075055
"Employment to population ratio, 15+, female (%) (national estimate)",0.0022075055
"Population ages 20-24, female (% of female population)",0.0022075055
"Mortality rate, neonatal (per 1,000 live births)",0.0022075055
"Contributing family workers, male (% of male employment)",0.0022075055
"Net ODA provided, total (% of GNI)",0.0022075055
Out-of-pocket health expenditure (% of private expenditure on health),0.0022075055
"Population ages 50-54, female (% of female population)",0.0022075055
"Health expenditure, public (% of government expenditure)",0.0022075055
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0022075055
"Public spending on education, total (% of GDP)",0.0022075055
CO2 emissions (metric tons per capita),0.0022075055
"Gross graduation ratio, tertiary, male (%)",0.0022075055
"Health expenditure, total (% of GDP)",0.0022075055
"Population ages 70-74, male (% of male population)",0.0022075055
"Government expenditure on education, total (% of GDP)",0.0022075055
"Immunization, Hib3 (% of children ages 12-23 months)",0.0022075055
"Immunization, Pol3 (% of one-year-old children)",0.0022075055
Forest area (sq. km),0.0022075055
"Fertility rate, total (births per woman)",0.0022075055
"Prevalence of obesity, male (% of male population ages 18+)",0.0022075055
Female population 15-19,0.0022075055
"Primary education, pupils (% female)",0.0022075055
"Expected years of schooling, male",0.0022075055
"Population ages 60-64, male (% of male population)",0.0022075055
"Health expenditure per capita, PPP",0.0022075055
Proportion of women in ministerial level positions (%),0.0022075055
"Own-account workers, female (% of females employed)",0.0022075055
Trade (% of GDP),0.0022075055
"Age population, age 11, male, interpolated",0.0022075055
"Age population, age 05, male, interpolated",0.0022075055
Urban population growth (annual %),0.0022075055
"Unemployment with basic education, male (% of male labor force with basic education)",0.0022075055
"Age population, age 04, female, interpolated",0.0022075055
Agricultural support estimate (% of GDP),0.0022075055
"Age population, age 09, male, interpolated",0.0022075055
"Age population, age 10, female, interpolated",0.0022075055
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.0022075055
"Age population, age 11, female, interpolated",0.0022075055
"Vulnerable employment, female (% of female employment)",0.0022075055
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.0022075055
Tuberculosis treatment success rate (% of new cases),0.0022075055
"Age population, age 16, male, interpolated",0.0022075055
"Age population, age 03, female, interpolated",0.0022075055
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.0022075055
"Age population, age 13, male, interpolated",0.0022075055
"Age population, age 02, male, interpolated",0.0022075055
Adults (ages 15+) and children (0-14 years) living with HIV,0.0022075055
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.0022075055
