,0
"Access to anti-retroviral drugs, female (%)",0.09859155
AIDS estimated deaths (UNAIDS estimates),0.089788735
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.030809859
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.024647888
"Death rate, crude (per 1,000 people)",0.018485915
Adults (ages 15+) and children (0-14 years) living with HIV,0.017605634
Age dependency ratio (% of working-age population),0.017605634
"Age dependency ratio, old",0.016725352
Improved sanitation facilities (% of population with access),0.01584507
"PPP conversion factor, GDP (LCU per international $)",0.014964789
"Access to anti-retroviral drugs, male (%)",0.0114436615
"Population ages 30-34, female (% of female population)",0.0114436615
Mobile cellular subscriptions (per 100 people),0.01056338
"Inflation, consumer prices (annual %)",0.01056338
GDP per capita (Current US$),0.01056338
Years,0.01056338
"Adjusted net enrollment rate, primary (% of primary school age children)",0.01056338
Proportion of women in ministerial level positions (%),0.009683099
"Age dependency ratio, young",0.009683099
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.009683099
"Age population, age 0, female, interpolated",0.008802817
"Population ages 80 and older, male (% of male population)",0.008802817
Internet users (per 100 people),0.008802817
Trade (% of GDP),0.008802817
"Mortality rate, adult, female (per 1,000 female adults)",0.007922535
"Survival to age 65, female (% of cohort)",0.007922535
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0070422534
"Population ages 30-34, male (% of male population)",0.0070422534
"PPP conversion factor, private consumption (LCU per international $)",0.0070422534
Rural population (% of total population),0.0070422534
GDP growth (annual %),0.0070422534
Forest area (% of land area),0.0070422534
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.006161972
"Primary education, pupils (% female)",0.006161972
People using basic drinking water services (% of population),0.006161972
"Population ages 40-44, female (% of female population)",0.006161972
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.006161972
"Birth rate, crude (per 1,000 people)",0.00528169
"Population ages 25-29, female (% of female population)",0.00528169
Gross capital formation (% of GDP),0.00528169
"Unemployment, female (% of female labor force)",0.0044014086
"GNI, Atlas method (current US$)",0.0044014086
"Population ages 35-39, male (% of male population)",0.0044014086
Male population 35-39,0.0044014086
Female population 45-49,0.0044014086
CO2 emissions (kt),0.0044014086
GDP per person employed (constant 2011 PPP $),0.0044014086
CO2 emissions (metric tons per capita),0.0044014086
"GNI per capita, PPP (current international $)",0.0044014086
"Employment in services, female (% of female employment)",0.0044014086
"Population ages 15-19, female (% of female population)",0.0044014086
Improved water source (% of population with access),0.0044014086
"Mortality rate, adult, male (per 1,000 male adults)",0.0044014086
Antiretroviral therapy coverage (% of people living with HIV),0.0044014086
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0035211267
"Prevalence of obesity, female (% of female population ages 18+)",0.0035211267
Prevalence of anemia among children (% of children under 5),0.0035211267
"Employment in industry, male (% of male employment)",0.0035211267
"Population ages 35-39, female (% of female population)",0.0035211267
"Employers, male (% of male employment)",0.0035211267
"Employers, female (% of female employment)",0.0035211267
"Employment to population ratio, 15+, female (%) (national estimate)",0.0035211267
"Fertility rate, total (births per woman)",0.0035211267
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0035211267
"Age population, age 01, female, interpolated",0.0035211267
"Unemployment, male (% of male labor force)",0.0035211267
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0035211267
"Tuberculosis death rate (per 100,000 people)",0.0035211267
Forest area (sq. km),0.0035211267
"Health expenditure, total (current US$)",0.0035211267
"Population ages 45-49, male (% of male population)",0.0035211267
Rural population growth (annual %),0.0035211267
"Immunization, HepB3 (% of one-year-old children)",0.0035211267
Fixed telephone subscriptions (per 100 people),0.0035211267
"School enrollment, primary (gross), gender parity index (GPI)",0.0035211267
"Secondary education, teachers (% female)",0.0035211267
Adults (ages 15+) newly infected with HIV,0.002640845
"Improved sanitation facilities, urban (% of urban population with access)",0.002640845
"Incidence of tuberculosis (per 100,000 people)",0.002640845
People using basic sanitation services (% of population),0.002640845
Male population 80+,0.002640845
"Immunization, DPT (% of children ages 12-23 months)",0.002640845
Adults (ages 15+) living with HIV,0.002640845
"Employment in agriculture, female (% of female employment)",0.002640845
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.002640845
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.002640845
"Lower secondary completion rate, female (% of relevant age group)",0.002640845
"Employment in industry, female (% of female employment)",0.002640845
Health expenditure per capita (current US$),0.002640845
"Mortality rate, infant (per 1,000 live births)",0.002640845
"Health expenditure, total (% of GDP)",0.002640845
"Population ages 25-29, male (% of male population)",0.002640845
Out-of-pocket health expenditure (% of total expenditure on health),0.002640845
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.002640845
"Population ages 20-24, female (% of female population)",0.002640845
"Population ages 15-64, female (% of total)",0.002640845
People practicing open defecation (% of population),0.002640845
Female population 30-34,0.002640845
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.002640845
Female population 65-69,0.002640845
"Population ages 00-04, female (% of female population)",0.002640845
GDP (current US$),0.002640845
"Employment in services, male (% of male employment)",0.002640845
"Total debt service (% of exports of goods, services and primary income)",0.002640845
"Survival to age 65, male (% of cohort)",0.002640845
CO2 emissions (kg per PPP $ of GDP),0.002640845
Country_code,0.002640845
"Primary education, teachers (% female)",0.002640845
"Population ages 75-79, female (% of female population)",0.002640845
"Population ages 70-74, male (% of male population)",0.002640845
"Age population, age 05, male, interpolated",0.002640845
Prevalence of anemia among pregnant women (%),0.002640845
"Population ages 65-69, male (% of male population)",0.002640845
"Population ages 65 and above, male (% of total)",0.002640845
Population ages 65 and above (% of total),0.002640845
"Age population, age 03, female, interpolated",0.002640845
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0017605633
"Age population, age 05, female, interpolated",0.0017605633
"Age population, age 04, male, interpolated",0.0017605633
Births attended by skilled health staff (% of total),0.0017605633
"Primary completion rate, male (% of relevant age group)",0.0017605633
Urban population (% of total),0.0017605633
"Population ages 00-14, female (% of total)",0.0017605633
"Improved water source, urban (% of urban population with access)",0.0017605633
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0017605633
Rural population,0.0017605633
"Improved sanitation facilities, rural (% of rural population with access)",0.0017605633
"Population ages 50-54, male (% of male population)",0.0017605633
"People using basic drinking water services, urban (% of urban population)",0.0017605633
"Age population, age 06, male, interpolated",0.0017605633
"Unemployment, total (% of total labor force)",0.0017605633
"Immunization, Pol3 (% of one-year-old children)",0.0017605633
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.0017605633
"Unemployment, male (% of male labor force) (national estimate)",0.0017605633
Out-of-pocket health expenditure (% of private expenditure on health),0.0017605633
"Immunization, BCG (% of one-year-old children)",0.0017605633
Newborns protected against tetanus (%),0.0017605633
"Health expenditure, private (% of GDP)",0.0017605633
Net ODA received per capita (current US$),0.0017605633
Net ODA received (% of GNI),0.0017605633
"Population ages 05-09, female (% of female population)",0.0017605633
"Population ages 50-54, female (% of female population)",0.0017605633
"Population ages 05-09, male (% of male population)",0.0017605633
"Population ages 65-69, female (% of female population)",0.0017605633
"Labor force, female (% of total labor force)",0.0017605633
"Population ages 80 and older, female (% of female population)",0.0017605633
"Population ages10-14, male (% of male population)",0.0017605633
"Employment to population ratio, 15+, total (%) (national estimate)",0.0017605633
Population growth (annual %),0.0017605633
Female population 35-39,0.0017605633
"Cost of business start-up procedures, female (% of GNI per capita)",0.0017605633
"Population, female (% of total)",0.0017605633
Male population 25-29,0.0017605633
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0017605633
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.0017605633
"Children out of school, primary, male",0.0017605633
"Population ages 60-64, female (% of female population)",0.0017605633
"Wage and salaried workers, male (% of male employment)",0.0017605633
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0017605633
"Population ages 45-49, female (% of female population)",0.0017605633
"Population ages 15-19, male (% of male population)",0.0017605633
Children orphaned by HIV/AIDS,0.0017605633
"Population ages 10-14, female (% of female population)",0.0017605633
"Population ages 65 and above, female (% of total)",0.0017605633
"Lower secondary completion rate, male (% of relevant age group)",0.0008802817
Tuberculosis treatment success rate (% of new cases),0.0008802817
"Tuberculosis death rate (per 100,000 people), including HIV",0.0008802817
Lifetime risk of maternal death (1 in: rate varies by country),0.0008802817
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.0008802817
"Time required to start a business, male (days)",0.0008802817
Male population 15-19,0.0008802817
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0008802817
Male population 20-24,0.0008802817
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.0008802817
Male population 30-34,0.0008802817
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0.0008802817
Male population 40-44,0.0008802817
Male population 65-69,0.0008802817
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0008802817
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0.0008802817
"School enrollment, primary (% net)",0.0008802817
"Mortality rate, neonatal (per 1,000 live births)",0.0008802817
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0008802817
"Population ages 00-04, male (% of male population)",0.0008802817
"Prevalence of obesity, male (% of male population ages 18+)",0.0008802817
Population ages 15-64 (% of total),0.0008802817
"Population ages 15-64, female",0.0008802817
"Population ages 15-64, male",0.0008802817
"Population ages 15-64, male (% of total)",0.0008802817
"Population ages 20-24, male (% of male population)",0.0008802817
Population ages 0-14 (% of total),0.0008802817
"Prevalence of HIV, male (% ages 15-24)",0.0008802817
"Population, male (% of total)",0.0008802817
"Population ages 70-74, female (% of female population)",0.0008802817
"Population ages 65 and above, female",0.0008802817
"Population ages 55-59, female (% of female population)",0.0008802817
"Population ages 40-44, male (% of male population)",0.0008802817
"Prevalence of overweight, female (% of female adults)",0.0008802817
"People using basic sanitation services, rural (% of rural population)",0.0008802817
Net official development assistance and official aid received (current US$),0.0008802817
"School enrollment, primary, female (% net)",0.0008802817
Number of infant deaths,0.0008802817
"Time required to start a business, female (days)",0.0008802817
Number of people who are undernourished,0.0008802817
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.0008802817
"Secondary education, pupils (% female)",0.0008802817
"School enrollment, tertiary (% gross)",0.0008802817
"School enrollment, primary, female (% gross)",0.0008802817
"Prevalence of overweight, male (% of male adults)",0.0008802817
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0008802817
"People using basic drinking water services, rural (% of rural population)",0.0008802817
"School enrollment, primary (% gross)",0.0008802817
Proportion of seats held by women in national parliaments (%),0.0008802817
"Progression to secondary school, female (%)",0.0008802817
"Primary completion rate, female (% of relevant age group)",0.0008802817
Lifetime risk of maternal death (%),0.0008802817
Male population 45-49,0.0008802817
"Labor force, female",0.0008802817
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.0008802817
"GNI per capita, Atlas method (current US$)",0.0008802817
"Government expenditure on education, total (% of GDP)",0.0008802817
