,0
Age dependency ratio (% of working-age population),0.023350254
"Death rate, crude (per 1,000 people)",0.017258883
GDP growth (annual %),0.01319797
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.01319797
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.01319797
"Access to anti-retroviral drugs, female (%)",0.012182741
"Improved water source, urban (% of urban population with access)",0.011167512
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.011167512
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.011167512
"Health expenditure, private (% of GDP)",0.011167512
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.010152284
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.010152284
"Access to anti-retroviral drugs, male (%)",0.010152284
"Inflation, consumer prices (annual %)",0.010152284
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.010152284
Prevalence of anemia among children (% of children under 5),0.010152284
Prevalence of anemia among pregnant women (%),0.009137056
"Health expenditure, public (% of GDP)",0.009137056
Births attended by skilled health staff (% of total),0.009137056
"Age dependency ratio, old",0.009137056
"Unemployment, total (% of total labor force)",0.009137056
"Cost of business start-up procedures, female (% of GNI per capita)",0.008121828
"Health expenditure, private (% of total health expenditure)",0.008121828
"Health expenditure, public (% of government expenditure)",0.008121828
"Adjusted net enrollment rate, primary (% of primary school age children)",0.008121828
"Employers, female (% of female employment)",0.008121828
"Total debt service (% of exports of goods, services and primary income)",0.008121828
"Unemployment, female (% of female labor force) (national estimate)",0.008121828
CO2 emissions (metric tons per capita),0.007106599
"People using basic drinking water services, rural (% of rural population)",0.007106599
"PPP conversion factor, GDP (LCU per international $)",0.007106599
"Population ages 25-29, male (% of male population)",0.007106599
"People using basic drinking water services, urban (% of urban population)",0.007106599
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.007106599
"Survival to age 65, male (% of cohort)",0.007106599
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.007106599
Adults (ages 15+) and children (0-14 years) living with HIV,0.007106599
Urban population growth (annual %),0.007106599
"Age dependency ratio, young",0.007106599
"Labor force, female (% of total labor force)",0.007106599
"Hospital beds (per 1,000 people)",0.007106599
Internet users (per 100 people),0.0060913707
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0060913707
Forest area (% of land area),0.0060913707
"PPP conversion factor, private consumption (LCU per international $)",0.0060913707
"Children out of school, primary, female",0.0060913707
Net official development assistance and official aid received (current US$),0.0060913707
"Immunization, DPT (% of children ages 12-23 months)",0.0060913707
Women's share of population ages 15+ living with HIV (%),0.0060913707
Improved sanitation facilities (% of population with access),0.0060913707
"Lower secondary completion rate, female (% of relevant age group)",0.005076142
Health expenditure per capita (current US$),0.005076142
CO2 emissions (kt),0.005076142
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.005076142
Fixed telephone subscriptions (per 100 people),0.005076142
Malaria cases reported,0.005076142
"Mortality rate, adult, female (per 1,000 female adults)",0.005076142
"Employment in agriculture, female (% of female employment)",0.005076142
Tuberculosis treatment success rate (% of new cases),0.005076142
Trade (% of GDP),0.005076142
"Age population, age 03, female, interpolated",0.005076142
Ratio of female to male youth unemployment rate (%) (national estimate),0.005076142
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.005076142
"Progression to secondary school, male (%)",0.005076142
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.005076142
"Fertility rate, total (births per woman)",0.005076142
"Population ages 30-34, male (% of male population)",0.005076142
"Population ages 15-19, female (% of female population)",0.005076142
GDP per capita (Current US$),0.005076142
"Mortality rate, neonatal (per 1,000 live births)",0.005076142
"Birth rate, crude (per 1,000 people)",0.005076142
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.004060914
AIDS estimated deaths (UNAIDS estimates),0.004060914
"Health expenditure, total (% of GDP)",0.004060914
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.004060914
"Wage and salaried workers, female (% of female employment)",0.004060914
"Unemployment, male (% of male labor force) (national estimate)",0.004060914
"Secondary education, teachers (% female)",0.004060914
"School enrollment, primary, male (% gross)",0.004060914
"School enrollment, primary (% gross)",0.004060914
Reported cases of malaria,0.004060914
Proportion of women in ministerial level positions (%),0.004060914
Proportion of seats held by women in national parliaments (%),0.004060914
"Progression to secondary school, female (%)",0.004060914
"Population ages 80 and older, female (% of female population)",0.004060914
"Population ages 35-39, female (% of female population)",0.004060914
"Population ages 25-29, female (% of female population)",0.004060914
Number of maternal deaths,0.004060914
Net ODA received per capita (current US$),0.004060914
Net ODA received (% of GNI),0.004060914
Number of people who are undernourished,0.004060914
Years,0.004060914
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.004060914
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.004060914
CO2 emissions (kg per PPP $ of GDP),0.004060914
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.004060914
"Contributing family workers, female (% of female employment)",0.004060914
"Contributing family workers, total (% of total employment)",0.004060914
Antiretroviral therapy coverage (% of people living with HIV),0.004060914
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0030456854
"Improved sanitation facilities, urban (% of urban population with access)",0.0030456854
External resources for health (% of total expenditure on health),0.0030456854
"Expected years of schooling, female",0.0030456854
"Age population, age 0, female, interpolated",0.0030456854
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.0030456854
"Unemployment, male (% of male labor force)",0.0030456854
"Population ages 15-64, female (% of total)",0.0030456854
"Population ages 20-24, female (% of female population)",0.0030456854
"Improved sanitation facilities, rural (% of rural population with access)",0.0030456854
Out-of-pocket health expenditure (% of total expenditure on health),0.0030456854
"Immunization, measles (% of children ages 12-23 months)",0.0030456854
"Unemployment, female (% of female labor force)",0.0030456854
"Immunization, Pol3 (% of one-year-old children)",0.0030456854
"Health expenditure, total (current US$)",0.0030456854
"Own-account workers, male (% of males employed)",0.0030456854
"Tuberculosis case detection rate (%, all forms)",0.0030456854
"Persistence to grade 5, female (% of cohort)",0.0030456854
"Prevalence of obesity, female (% of female population ages 18+)",0.0030456854
GDP (current US$),0.0030456854
GINI index (World Bank estimate),0.0030456854
"Population ages 20-24, male (% of male population)",0.0030456854
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0030456854
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0030456854
"School enrollment, secondary (gross), gender parity index (GPI)",0.0030456854
"Mortality rate, infant (per 1,000 live births)",0.0030456854
"Population ages 65-69, male (% of male population)",0.0030456854
Mobile cellular subscriptions (per 100 people),0.0030456854
"Survival to age 65, female (% of cohort)",0.0030456854
"Net intake rate in grade 1, female (% of official school-age population)",0.0030456854
"Age population, age 02, female, interpolated",0.0030456854
"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0030456854
"Population ages10-14, male (% of male population)",0.0030456854
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0.0030456854
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0030456854
"Population ages 55-59, female (% of female population)",0.0030456854
"Mortality rate, adult, male (per 1,000 male adults)",0.0030456854
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.0030456854
"Employment in industry, female (% of female employment)",0.0030456854
"School enrollment, primary (% net)",0.0030456854
"Population, female (% of total)",0.0030456854
"Employment in services, female (% of female employment)",0.0030456854
"Gross graduation ratio, tertiary, female (%)",0.002030457
"Age population, age 04, female, interpolated",0.002030457
"People practicing open defecation, urban (% of urban population)",0.002030457
"Primary completion rate, female (% of relevant age group)",0.002030457
People using basic drinking water services (% of population),0.002030457
Gross capital formation (% of GDP),0.002030457
"School enrollment, secondary (% net)",0.002030457
"Health expenditure per capita, PPP (constant 2011 international $)",0.002030457
Income share held by lowest 20%,0.002030457
Out-of-pocket health expenditure (% of private expenditure on health),0.002030457
"Health expenditure, public (% of total health expenditure)",0.002030457
"School enrollment, secondary, male (% net)",0.002030457
"Immunization, BCG (% of one-year-old children)",0.002030457
"Immunization, HepB3 (% of one-year-old children)",0.002030457
Sex ratio at birth (male births per female births),0.002030457
"Time required to start a business, female (days)",0.002030457
Improved water source (% of population with access),0.002030457
Net official development assistance received (current US$),0.002030457
"Primary education, pupils (% female)",0.002030457
"Primary education, teachers (% female)",0.002030457
"Start-up procedures to register a business, female (number)",0.002030457
"Government expenditure per student, primary (% of GDP per capita)",0.002030457
Incidence of HIV (% of uninfected population ages 15-49),0.002030457
"Incidence of tuberculosis (per 100,000 people)",0.002030457
Prevalence of undernourishment (% of population),0.002030457
"Population ages 65-69, female (% of female population)",0.002030457
"School enrollment, primary (gross), gender parity index (GPI)",0.002030457
"Population ages 65 and above, female (% of total)",0.002030457
"Population ages 30-34, female (% of female population)",0.002030457
"Employment in agriculture, male (% of male employment)",0.002030457
"Educational attainment, no schooling, population 25+ years, female (%)",0.002030457
"Employment in services, male (% of male employment)",0.002030457
"Employment to population ratio, 15+, female (%) (national estimate)",0.002030457
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.002030457
"Children out of school, primary, male",0.002030457
"Expected years of schooling, male",0.002030457
Female population 30-34,0.002030457
"Employers, male (% of male employment)",0.002030457
Female population 50-54,0.002030457
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.002030457
"Population ages 75-79, female (% of female population)",0.002030457
Population growth (annual %),0.002030457
"People using basic sanitation services, urban  (% of urban population)",0.002030457
"Age population, age 08, male, interpolated",0.002030457
"Population ages 65 and above, male (% of total)",0.002030457
"Persistence to grade 5, male (% of cohort)",0.002030457
GDP per person employed (constant 2011 PPP $),0.002030457
"People using safely managed drinking water services, urban (% of urban population)",0.002030457
Children orphaned by HIV/AIDS,0.002030457
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.002030457
"Population ages 70-74, male (% of male population)",0.0010152285
Rural poverty headcount ratio at national poverty lines (% of rural population),0.0010152285
"Population ages 35-39, male (% of male population)",0.0010152285
"Population ages 80 and older, male (% of male population)",0.0010152285
"Population ages 45-49, female (% of female population)",0.0010152285
"Age population, age 03, male, interpolated",0.0010152285
"Age population, age 16, female, interpolated",0.0010152285
"Public spending on education, total (% of GDP)",0.0010152285
"Population ages 45-49, male (% of male population)",0.0010152285
Male population 55-59,0.0010152285
Ratio of female to male labor force participation rate (%) (national estimate),0.0010152285
"Population ages 50-54, female (% of female population)",0.0010152285
"Population ages 50-54, male (% of male population)",0.0010152285
"Population ages 55-59, male (% of male population)",0.0010152285
Rural population growth (annual %),0.0010152285
"Age population, age 05, female, interpolated",0.0010152285
"Population ages 75-79, male (% of male population)",0.0010152285
"Age population, age 04, male, interpolated",0.0010152285
Male population 80+,0.0010152285
"Population ages 60-64, female (% of female population)",0.0010152285
"People using basic sanitation services, rural (% of rural population)",0.0010152285
"Net intake rate in grade 1, male (% of official school-age population)",0.0010152285
"Age population, age 06, male, interpolated",0.0010152285
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0010152285
"Prevalence of overweight, female (% of female adults)",0.0010152285
"Prevalence of obesity, male (% of male population ages 18+)",0.0010152285
People practicing open defecation (% of population),0.0010152285
"Persistence to last grade of primary, total (% of cohort)",0.0010152285
"Primary completion rate, male (% of relevant age group)",0.0010152285
"Primary completion rate, total (% of relevant age group)",0.0010152285
"Physicians (per 1,000 people)",0.0010152285
"Prevalence of HIV, total (% of population ages 15-49)",0.0010152285
"Own-account workers, female (% of females employed)",0.0010152285
"Prevalence of HIV, male (% ages 15-24)",0.0010152285
Population ages 00-14 (% of total),0.0010152285
"Population ages 00-14, female (% of total)",0.0010152285
"Population ages 00-14, male (% of total)",0.0010152285
"Population ages 05-09, female (% of female population)",0.0010152285
"Population ages 15-19, male (% of male population)",0.0010152285
Population ages 15-64 (% of total),0.0010152285
Poverty gap at $1.90 a day (2011 PPP) (%),0.0010152285
"Population ages 15-64, male (% of total)",0.0010152285
People using basic sanitation services (% of population),0.0010152285
Number of neonatal deaths,0.0010152285
Number of infant deaths,0.0010152285
Newborns protected against tetanus (%),0.0010152285
"Age population, age 07, male, interpolated",0.0010152285
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0010152285
"School enrollment, primary, female (% gross)",0.0010152285
"Informal employment, male (% of total non-agricultural employment)",0.0010152285
"Improved water source, rural (% of rural population with access)",0.0010152285
"Time required to start a business, male (days)",0.0010152285
"Cost of business start-up procedures, male (% of GNI per capita)",0.0010152285
"Employment in industry, male (% of male employment)",0.0010152285
"Age population, age 01, female, interpolated",0.0010152285
"Age population, age 0, male, interpolated",0.0010152285
"Health expenditure per capita, PPP",0.0010152285
"Gross graduation ratio, primary, male (%)",0.0010152285
"Tuberculosis death rate (per 100,000 people)",0.0010152285
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0.0010152285
"Employment to population ratio, 15+, male (%) (national estimate)",0.0010152285
"Government expenditure on education, total (% of GDP)",0.0010152285
"GNI, Atlas method (current US$)",0.0010152285
"GNI per capita, PPP (current international $)",0.0010152285
Children (0-14) living with HIV,0.0010152285
"School enrollment, primary, female (% net)",0.0010152285
Forest area (sq. km),0.0010152285
"Children in employment, female (% of female children ages 7-14)",0.0010152285
"Unemployment with basic education, female (% of female labor force with basic education)",0.0010152285
Female population 80+,0.0010152285
"Employment to population ratio, 15+, total (%) (national estimate)",0.0010152285
Adults (ages 15+) newly infected with HIV,0.0010152285
Female population 65-69,0.0010152285
Female population 60-64,0.0010152285
Female population 55-59,0.0010152285
Female population 45-49,0.0010152285
Female population 00-04,0.0010152285
Female population 35-39,0.0010152285
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.0010152285
Country_code,0.0010152285
"Immunization, Hib3 (% of children ages 12-23 months)",0.0010152285
"Literacy rate, adult female (% of females ages 15 and above)",0.0010152285
Adults (ages 15+) living with HIV,0.0010152285
"Literacy rate, youth male (% of males ages 15-24)",0.0010152285
"School enrollment, secondary (% gross)",0.0010152285
"School enrollment, secondary, female (% gross)",0.0010152285
"Vulnerable employment, total (% of total employment)",0.0010152285
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",0.0010152285
Lifetime risk of maternal death (1 in: rate varies by country),0.0010152285
Lifetime risk of maternal death (%),0.0010152285
"Labor force, female",0.0010152285
"Educational attainment, completed primary, population 25+ years, female (%)",0.0010152285
"Lower secondary completion rate, male (% of relevant age group)",0.0010152285
"Educational attainment, completed upper secondary, population 25+ years, male (%)",0.0010152285
"Secondary education, pupils (% female)",0.0010152285
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.0010152285
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.0010152285
"Age population, age 02, male, interpolated",0.0010152285
"Start-up procedures to register a business, male (number)",0.0010152285
"Educational attainment, some primary, population 25+ years, female (%)",0.0010152285
"Vulnerable employment, male (% of male employment)",0.0010152285
