,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.049281314
AIDS estimated deaths (UNAIDS estimates),0.026694044
"Age dependency ratio, old",0.02566735
GDP growth (annual %),0.024640657
"Age population, age 0, female, interpolated",0.02258727
"Adjusted net enrollment rate, primary (% of primary school age children)",0.02258727
Age dependency ratio (% of working-age population),0.02053388
"Access to anti-retroviral drugs, female (%)",0.02053388
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.017453799
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.016427105
"Mortality rate, adult, female (per 1,000 female adults)",0.015400411
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.014373717
Gross capital formation (% of GDP),0.013347022
"Birth rate, crude (per 1,000 people)",0.0123203285
"Health expenditure, public (% of total health expenditure)",0.011293635
"Incidence of tuberculosis (per 100,000 people)",0.011293635
External resources for health (% of total expenditure on health),0.011293635
"Age population, age 12, female, interpolated",0.01026694
"Children out of school, primary, male",0.01026694
Proportion of women in ministerial level positions (%),0.01026694
CO2 emissions (kg per PPP $ of GDP),0.01026694
Tuberculosis treatment success rate (% of new cases),0.01026694
"Health expenditure, public (% of GDP)",0.009240246
Health expenditure per capita (current US$),0.009240246
"Age population, age 05, female, interpolated",0.009240246
"Population ages 75-79, male (% of male population)",0.009240246
CO2 emissions (kt),0.009240246
"Population ages 20-24, female (% of female population)",0.009240246
"Persistence to last grade of primary, female (% of cohort)",0.009240246
"Health expenditure, public (% of government expenditure)",0.009240246
"Immunization, HepB3 (% of one-year-old children)",0.008213553
"Expected years of schooling, male",0.008213553
Population growth (annual %),0.0071868584
Female population 70-74,0.0071868584
"School enrollment, tertiary (% gross)",0.0071868584
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0071868584
"Age population, age 01, female, interpolated",0.0071868584
"Survival to age 65, male (% of cohort)",0.0071868584
Proportion of seats held by women in national parliaments (%),0.0061601643
"Hospital beds (per 1,000 people)",0.0061601643
"Age population, age 17, female, interpolated",0.0061601643
"Age population, age 02, female, interpolated",0.0061601643
"Persistence to last grade of primary, male (% of cohort)",0.0061601643
"Death rate, crude (per 1,000 people)",0.0061601643
"Age population, age 03, female, interpolated",0.0061601643
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0061601643
CO2 emissions (metric tons per capita),0.0061601643
"Age population, age 19, female, interpolated",0.0061601643
Net official development assistance and official aid received (current US$),0.00513347
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.00513347
"Population ages 60-64, female (% of female population)",0.00513347
"Immunization, Pol3 (% of one-year-old children)",0.00513347
"Population ages 20-24, male (% of male population)",0.00513347
"Cost of business start-up procedures, female (% of GNI per capita)",0.00513347
"Primary completion rate, female (% of relevant age group)",0.00513347
"Age population, age 04, female, interpolated",0.00513347
"Health expenditure, total (% of GDP)",0.00513347
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.00513347
Trade (% of GDP),0.00513347
Mobile cellular subscriptions (per 100 people),0.00513347
"Survival to age 65, female (% of cohort)",0.00513347
"Inflation, consumer prices (annual %)",0.00513347
