,0
AIDS estimated deaths (UNAIDS estimates),0.031874664
"Access to anti-retroviral drugs, female (%)",0.031334415
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.016747704
"Death rate, crude (per 1,000 people)",0.015667208
"Population ages 15-19, female (% of female population)",0.014046461
"Survival to age 65, female (% of cohort)",0.014046461
GDP growth (annual %),0.013506213
"Inflation, consumer prices (annual %)",0.013506213
"Age dependency ratio, old",0.013506213
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.012425716
"Cost of business start-up procedures, female (% of GNI per capita)",0.011885467
Age dependency ratio (% of working-age population),0.011345219
Net ODA received per capita (current US$),0.010804971
"Age population, age 0, female, interpolated",0.010264722
"Population ages 25-29, female (% of female population)",0.009724474
"Mortality rate, adult, male (per 1,000 male adults)",0.0091842245
"Survival to age 65, male (% of cohort)",0.008643976
CO2 emissions (kg per PPP $ of GDP),0.008643976
"Mortality rate, adult, female (per 1,000 female adults)",0.008103727
"Population ages 55-59, female (% of female population)",0.008103727
Proportion of seats held by women in national parliaments (%),0.008103727
Adults (ages 15+) and children (0-14 years) living with HIV,0.008103727
"Access to anti-retroviral drugs, male (%)",0.008103727
"Birth rate, crude (per 1,000 people)",0.0075634792
"Health expenditure, public (% of total health expenditure)",0.0075634792
Gross capital formation (% of GDP),0.0075634792
Fixed telephone subscriptions (per 100 people),0.0075634792
Rural population (% of total population),0.0075634792
Years,0.0075634792
"Time required to start a business, female (days)",0.0070232307
"Immunization, BCG (% of one-year-old children)",0.0070232307
Mobile cellular subscriptions (per 100 people),0.0070232307
Internet users (per 100 people),0.0070232307
"GNI per capita, PPP (current international $)",0.0070232307
"Total debt service (% of exports of goods, services and primary income)",0.0070232307
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.0070232307
"Population ages 30-34, male (% of male population)",0.006482982
GDP (current US$),0.006482982
"Health expenditure, total (% of GDP)",0.006482982
GDP per capita (Current US$),0.0059427335
"Population, male (% of total)",0.0059427335
CO2 emissions (kt),0.0059427335
Tuberculosis treatment success rate (% of new cases),0.0059427335
