,0
AIDS estimated deaths (UNAIDS estimates),0.3580645
"Adjusted net enrollment rate, primary (% of primary school age children)",0.2483871
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.2
"Access to anti-retroviral drugs, female (%)",0.103225805
Age dependency ratio (% of working-age population),0.03548387
"Access to anti-retroviral drugs, male (%)",0.012903226
"Age population, age 0, female, interpolated",0.012903226
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.009677419
"Age dependency ratio, young",0.0032258064
CO2 emissions (kt),0.0032258064
CO2 emissions (metric tons per capita),0.0032258064
"Age population, age 01, female, interpolated",0.0032258064
"Age population, age 0, male, interpolated",0.0032258064
"Age population, age 09, female, interpolated",0.0032258064
