,0
"Access to anti-retroviral drugs, female (%)",0.021028038
"GNI per capita, PPP (current international $)",0.020249221
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.017133957
AIDS estimated deaths (UNAIDS estimates),0.01635514
"Adjusted net enrollment rate, primary (% of primary school age children)",0.01635514
"Mortality rate, adult, female (per 1,000 female adults)",0.01635514
Fixed telephone subscriptions (per 100 people),0.014018691
"Population ages 05-09, male (% of male population)",0.014018691
Age dependency ratio (% of working-age population),0.013239875
"Birth rate, crude (per 1,000 people)",0.012461059
Adults (ages 15+) and children (0-14 years) living with HIV,0.012461059
"Population ages 05-09, female (% of female population)",0.011682243
"Death rate, crude (per 1,000 people)",0.010903426
"Population ages 20-24, female (% of female population)",0.010903426
"Age dependency ratio, young",0.010903426
"Survival to age 65, female (% of cohort)",0.010124611
"Population ages 15-19, female (% of female population)",0.010124611
Gross capital formation (% of GDP),0.009345794
"Age population, age 11, female, interpolated",0.009345794
"Cost of business start-up procedures, female (% of GNI per capita)",0.008566978
Proportion of women in ministerial level positions (%),0.008566978
"Inflation, consumer prices (annual %)",0.007788162
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.007788162
"Tuberculosis death rate (per 100,000 people)",0.007788162
Internet users (per 100 people),0.007788162
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.007788162
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.0070093456
Lifetime risk of maternal death (%),0.0070093456
"Population ages 80 and older, female (% of female population)",0.0070093456
"Health expenditure, public (% of government expenditure)",0.0062305294
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0062305294
"Primary completion rate, total (% of relevant age group)",0.0062305294
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.0062305294
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0062305294
GDP per person employed (constant 2011 PPP $),0.0062305294
"Population ages 55-59, male (% of male population)",0.0062305294
Proportion of seats held by women in national parliaments (%),0.0062305294
"GNI, Atlas method (current US$)",0.0062305294
"School enrollment, primary (% gross)",0.005451713
Ratio of female to male labor force participation rate (%) (national estimate),0.005451713
"School enrollment, primary, female (% gross)",0.005451713
Number of neonatal deaths,0.005451713
"Population ages 00-04, female (% of female population)",0.005451713
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.005451713
"Population ages 75-79, male (% of male population)",0.005451713
"Population ages 75-79, female (% of female population)",0.005451713
Income share held by lowest 20%,0.005451713
"Age population, age 10, female, interpolated",0.005451713
"Health expenditure, public (% of total health expenditure)",0.005451713
"Start-up procedures to register a business, female (number)",0.005451713
"Population ages 70-74, female (% of female population)",0.005451713
"Government expenditure on education, total (% of GDP)",0.005451713
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.005451713
"Age population, age 03, female, interpolated",0.005451713
"GNI per capita, Atlas method (current US$)",0.005451713
"Unemployment, male (% of male labor force)",0.005451713
"Access to anti-retroviral drugs, male (%)",0.005451713
"Primary education, pupils (% female)",0.004672897
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.004672897
