,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.100075245
"Access to anti-retroviral drugs, female (%)",0.07750188
Age dependency ratio (% of working-age population),0.05492852
AIDS estimated deaths (UNAIDS estimates),0.04589917
"Access to anti-retroviral drugs, male (%)",0.037622273
"Age dependency ratio, old",0.027840482
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.018058691
"Birth rate, crude (per 1,000 people)",0.013544018
"Age population, age 0, female, interpolated",0.013544018
Adults (ages 15+) and children (0-14 years) living with HIV,0.012791573
"Death rate, crude (per 1,000 people)",0.012791573
CO2 emissions (kt),0.012791573
"Adjusted net enrollment rate, primary (% of primary school age children)",0.012039127
"Population ages 20-24, male (% of male population)",0.012039127
CO2 emissions (metric tons per capita),0.0112866815
Years,0.0112866815
CO2 emissions (kg per PPP $ of GDP),0.010534236
Tuberculosis treatment success rate (% of new cases),0.009781791
"Age dependency ratio, young",0.009781791
"Population ages 30-34, female (% of female population)",0.009781791
Rural population growth (annual %),0.009029346
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0082769
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0082769
"Fertility rate, total (births per woman)",0.0075244545
External resources for health (% of total expenditure on health),0.0075244545
"Inflation, consumer prices (annual %)",0.0075244545
GDP per capita (Current US$),0.006772009
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.006772009
GDP growth (annual %),0.006772009
"Population ages 25-29, female (% of female population)",0.006772009
"Population ages 30-34, male (% of male population)",0.006772009
"Population, female (% of total)",0.006772009
"Cost of business start-up procedures, female (% of GNI per capita)",0.006772009
"Age population, age 0, male, interpolated",0.0060195634
"Cost of business start-up procedures, male (% of GNI per capita)",0.0060195634
GDP per person employed (constant 2011 PPP $),0.0060195634
Mobile cellular subscriptions (per 100 people),0.0060195634
"Age population, age 14, female, interpolated",0.005267118
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.005267118
Adults (ages 15+) living with HIV,0.005267118
Female population 80+,0.005267118
"Age population, age 15, female, interpolated",0.005267118
"Mortality rate, adult, female (per 1,000 female adults)",0.005267118
Health expenditure per capita (current US$),0.005267118
Malaria cases reported,0.005267118
"Population ages 55-59, male (% of male population)",0.005267118
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.005267118
Sex ratio at birth (male births per female births),0.005267118
"Health expenditure per capita, PPP",0.005267118
"GNI per capita, PPP (current international $)",0.004514673
"Health expenditure, private (% of GDP)",0.004514673
"Health expenditure, total (current US$)",0.004514673
"Immunization, BCG (% of one-year-old children)",0.004514673
Lifetime risk of maternal death (1 in: rate varies by country),0.004514673
Net ODA received per capita (current US$),0.004514673
"Primary education, pupils (% female)",0.004514673
"Age population, age 01, female, interpolated",0.004514673
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0037622273
"Population ages 35-39, female (% of female population)",0.0037622273
Improved sanitation facilities (% of population with access),0.0037622273
Fixed telephone subscriptions (per 100 people),0.0037622273
"Immunization, DPT (% of children ages 12-23 months)",0.0037622273
"Population ages 50-54, female (% of female population)",0.0037622273
"Total debt service (% of exports of goods, services and primary income)",0.0037622273
"Health expenditure, private (% of total health expenditure)",0.0037622273
"Population ages 15-19, female (% of female population)",0.0037622273
Population growth (annual %),0.0037622273
Female population 50-54,0.0030097817
Female population 25-29,0.0030097817
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0030097817
"Population ages 20-24, female (% of female population)",0.0030097817
GDP (current US$),0.0030097817
Internet users (per 100 people),0.0030097817
"Population, male (% of total)",0.0030097817
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0030097817
"Age population, age 02, female, interpolated",0.0030097817
"Mortality rate, adult, male (per 1,000 male adults)",0.0030097817
"Survival to age 65, male (% of cohort)",0.0030097817
Net official development assistance received (current US$),0.0030097817
"Health expenditure, public (% of GDP)",0.0030097817
"Survival to age 65, female (% of cohort)",0.0030097817
"School enrollment, primary (% gross)",0.0030097817
Antiretroviral therapy coverage (% of people living with HIV),0.0030097817
"PPP conversion factor, GDP (LCU per international $)",0.0030097817
Number of neonatal deaths,0.0030097817
Improved water source (% of population with access),0.0030097817
"Age population, age 15, male, interpolated",0.0022573364
"Time required to start a business, female (days)",0.0022573364
"Population ages 25-29, male (% of male population)",0.0022573364
Female population 65-69,0.0022573364
"Improved water source, urban (% of urban population with access)",0.0022573364
"Immunization, measles (% of children ages 12-23 months)",0.0022573364
Female population 45-49,0.0022573364
"Incidence of tuberculosis (per 100,000 people)",0.0022573364
"Health expenditure, public (% of government expenditure)",0.0022573364
"Age population, age 13, female, interpolated",0.0022573364
"Health expenditure, public (% of total health expenditure)",0.0022573364
"Tuberculosis death rate (per 100,000 people)",0.0022573364
"Population ages 75-79, male (% of male population)",0.0022573364
Adults (ages 15+) newly infected with HIV,0.0022573364
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0022573364
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0022573364
Male population 80+,0.0022573364
Country_code,0.0022573364
"Age population, age 18, male, interpolated",0.0022573364
"Age population, age 01, male, interpolated",0.0022573364
"Age population, age 17, male, interpolated",0.0022573364
"Age population, age 17, female, interpolated",0.0022573364
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0022573364
Urban population growth (annual %),0.0022573364
"Labor force, female (% of total labor force)",0.0022573364
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0022573364
