,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.3026906
Age dependency ratio (% of working-age population),0.17937219
"Age population, age 0, female, interpolated",0.0706278
"Age dependency ratio, old",0.05044843
"Age population, age 0, male, interpolated",0.02690583
"Age dependency ratio, young",0.023542602
"Age population, age 02, female, interpolated",0.016816143
"Age population, age 14, male, interpolated",0.015695067
"Age population, age 01, female, interpolated",0.015695067
"Age population, age 04, female, interpolated",0.015695067
Tuberculosis treatment success rate (% of new cases),0.014573991
"Age population, age 03, female, interpolated",0.013452915
GDP growth (annual %),0.013452915
"Age population, age 03, male, interpolated",0.012331839
"Birth rate, crude (per 1,000 people)",0.011210762
Years,0.010089686
"Age population, age 01, male, interpolated",0.010089686
"Age population, age 05, female, interpolated",0.007847534
"Age population, age 11, male, interpolated",0.007847534
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.007847534
"Age population, age 13, female, interpolated",0.007847534
"Population ages 10-14, female (% of female population)",0.0067264573
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0067264573
"Age population, age 12, female, interpolated",0.005605381
"Population ages 25-29, male (% of male population)",0.005605381
"Age population, age 13, male, interpolated",0.005605381
"Age population, age 12, male, interpolated",0.005605381
"Age population, age 14, female, interpolated",0.005605381
"Age population, age 11, female, interpolated",0.005605381
"Age population, age 10, male, interpolated",0.005605381
Fixed telephone subscriptions (per 100 people),0.005605381
"Age population, age 02, male, interpolated",0.004484305
"Population ages 30-34, female (% of female population)",0.004484305
"Age population, age 16, female, interpolated",0.0033632286
"Population ages 35-39, female (% of female population)",0.0033632286
"Age population, age 23, female, interpolated",0.0033632286
"Age population, age 08, female, interpolated",0.0033632286
"Incidence of tuberculosis (per 100,000 people)",0.0033632286
"Age population, age 23, male, interpolated",0.0033632286
"PPP conversion factor, GDP (LCU per international $)",0.0022421526
"Death rate, crude (per 1,000 people)",0.0022421526
"Age population, age 22, female, interpolated",0.0022421526
"Age population, age 21, female, interpolated",0.0022421526
Female population 65-69,0.0022421526
CO2 emissions (kg per PPP $ of GDP),0.0022421526
"Age population, age 06, female, interpolated",0.0022421526
Female population 25-29,0.0022421526
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0022421526
"Employment to population ratio, 15+, total (%) (national estimate)",0.0022421526
"Age population, age 17, female, interpolated",0.0022421526
Sex ratio at birth (male births per female births),0.0022421526
"Age population, age 05, male, interpolated",0.0022421526
"Age population, age 10, female, interpolated",0.0022421526
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0022421526
"Age population, age 09, female, interpolated",0.0022421526
"Age population, age 08, male, interpolated",0.0022421526
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0022421526
"Age population, age 07, female, interpolated",0.0022421526
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.0011210763
"School enrollment, primary (% gross)",0.0011210763
"Population ages 35-39, male (% of male population)",0.0011210763
"Age population, age 06, male, interpolated",0.0011210763
"Fertility rate, total (births per woman)",0.0011210763
"Age population, age 04, male, interpolated",0.0011210763
Trade (% of GDP),0.0011210763
Male population 70-74,0.0011210763
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0011210763
Male population 25-29,0.0011210763
"Immunization, BCG (% of one-year-old children)",0.0011210763
"Immunization, DPT (% of children ages 12-23 months)",0.0011210763
"Immunization, HepB3 (% of one-year-old children)",0.0011210763
"Population ages 70-74, female (% of female population)",0.0011210763
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0011210763
"Population ages 25-29, female (% of female population)",0.0011210763
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0011210763
"Age population, age 25, male, interpolated",0.0011210763
"Age population, age 15, female, interpolated",0.0011210763
"Age population, age 25, female, interpolated",0.0011210763
"Age population, age 16, male, interpolated",0.0011210763
"Age population, age 20, male, interpolated",0.0011210763
"Age population, age 18, male, interpolated",0.0011210763
"Cost of business start-up procedures, female (% of GNI per capita)",0.0011210763
"Age population, age 15, male, interpolated",0.0011210763
"Cost of business start-up procedures, male (% of GNI per capita)",0.0011210763
"Employment to population ratio, 15+, male (%) (national estimate)",0.0011210763
"Population ages 05-09, female (% of female population)",0.0011210763
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.0011210763
"Age population, age 07, male, interpolated",0.0011210763
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0011210763
"Age population, age 24, female, interpolated",0.0011210763
