,0
"Death rate, crude (per 1,000 people)",0.057692308
"Inflation, consumer prices (annual %)",0.022435898
GDP growth (annual %),0.01923077
"Mortality rate, adult, female (per 1,000 female adults)",0.01923077
"Mortality rate, infant (per 1,000 live births)",0.017628206
"PPP conversion factor, private consumption (LCU per international $)",0.017628206
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.016025642
Fixed telephone subscriptions (per 100 people),0.016025642
Proportion of women in ministerial level positions (%),0.014423077
"Tuberculosis case detection rate (%, all forms)",0.014423077
Malaria cases reported,0.014423077
Internet users (per 100 people),0.012820513
"Population ages 50-54, female (% of female population)",0.012820513
Improved water source (% of population with access),0.011217949
Gross capital formation (% of GDP),0.011217949
"Health expenditure, public (% of government expenditure)",0.011217949
"Birth rate, crude (per 1,000 people)",0.011217949
"Cost of business start-up procedures, female (% of GNI per capita)",0.011217949
"Labor force, female (% of total labor force)",0.011217949
"Mortality rate, neonatal (per 1,000 live births)",0.011217949
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.011217949
Net ODA received (% of GNI),0.011217949
Tuberculosis treatment success rate (% of new cases),0.011217949
"Population ages 20-24, female (% of female population)",0.011217949
"Immunization, BCG (% of one-year-old children)",0.009615385
"Immunization, measles (% of children ages 12-23 months)",0.009615385
Net ODA received per capita (current US$),0.009615385
External resources for health (% of total expenditure on health),0.009615385
"Health expenditure, public (% of total health expenditure)",0.009615385
"GNI per capita, Atlas method (current US$)",0.009615385
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.009615385
"Population ages 55-59, female (% of female population)",0.008012821
"Age dependency ratio, old",0.008012821
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.008012821
Net official development assistance and official aid received (current US$),0.008012821
Prevalence of anemia among children (% of children under 5),0.008012821
Adults (ages 15+) newly infected with HIV,0.008012821
Newborns protected against tetanus (%),0.008012821
Out-of-pocket health expenditure (% of private expenditure on health),0.008012821
"Access to anti-retroviral drugs, female (%)",0.008012821
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.008012821
CO2 emissions (kg per PPP $ of GDP),0.008012821
CO2 emissions (metric tons per capita),0.008012821
"PPP conversion factor, GDP (LCU per international $)",0.0064102565
"Population ages 55-59, male (% of male population)",0.0064102565
"Population ages 60-64, female (% of female population)",0.0064102565
Out-of-pocket health expenditure (% of total expenditure on health),0.0064102565
People practicing open defecation (% of population),0.0064102565
Forest area (% of land area),0.0064102565
"GNI per capita, PPP (current international $)",0.0064102565
"Population ages 30-34, female (% of female population)",0.0064102565
"Prevalence of HIV, female (% ages 15-24)",0.0064102565
"Health expenditure, total (% of GDP)",0.0064102565
"Adjusted net enrollment rate, primary (% of primary school age children)",0.0064102565
"Survival to age 65, female (% of cohort)",0.0064102565
"Health expenditure, public (% of GDP)",0.0064102565
"Immunization, Hib3 (% of children ages 12-23 months)",0.0064102565
"Primary completion rate, male (% of relevant age group)",0.0064102565
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0064102565
"Primary education, teachers (% female)",0.0064102565
"Population ages 25-29, male (% of male population)",0.0048076925
"Improved sanitation facilities, urban (% of urban population with access)",0.0048076925
"Survival to age 65, male (% of cohort)",0.0048076925
"Time required to start a business, female (days)",0.0048076925
"Tuberculosis death rate (per 100,000 people)",0.0048076925
"Unemployment, female (% of female labor force)",0.0048076925
Population growth (annual %),0.0048076925
