,0
AIDS estimated deaths (UNAIDS estimates),0.22320709
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.1845286
"Access to anti-retroviral drugs, female (%)",0.051571313
"Adjusted net enrollment rate, primary (% of primary school age children)",0.01853344
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.01772764
"Children out of school, primary, female",0.01772764
Age dependency ratio (% of working-age population),0.012087027
Fixed telephone subscriptions (per 100 people),0.011281225
GDP per person employed (constant 2011 PPP $),0.010475423
"Health expenditure, total (current US$)",0.00886382
"Labor force, female",0.008058018
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.007252216
Adults (ages 15+) and children (0-14 years) living with HIV,0.007252216
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.007252216
CO2 emissions (kt),0.007252216
"Cost of business start-up procedures, female (% of GNI per capita)",0.007252216
"Health expenditure, private (% of total health expenditure)",0.006446414
External resources for health (% of total expenditure on health),0.006446414
GDP growth (annual %),0.006446414
"Inflation, consumer prices (annual %)",0.006446414
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0056406124
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0056406124
"Age population, age 10, female, interpolated",0.0056406124
"Employers, male (% of male employment)",0.0056406124
"Death rate, crude (per 1,000 people)",0.0056406124
"Population ages 25-29, female (% of female population)",0.0056406124
"Health expenditure, public (% of GDP)",0.0056406124
Internet users (per 100 people),0.0056406124
"Immunization, HepB3 (% of one-year-old children)",0.0056406124
Malaria cases reported,0.0056406124
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0048348107
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0048348107
CO2 emissions (metric tons per capita),0.0048348107
Health expenditure per capita (current US$),0.0048348107
"Age population, age 09, female, interpolated",0.0048348107
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0048348107
"Unemployment, female (% of female labor force) (national estimate)",0.0048348107
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0048348107
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0048348107
"Age population, age 18, female, interpolated",0.004029009
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.004029009
"Age population, age 20, female, interpolated",0.004029009
"Age population, age 21, female, interpolated",0.004029009
"Access to anti-retroviral drugs, male (%)",0.004029009
"Age population, age 17, female, interpolated",0.004029009
"Age population, age 23, female, interpolated",0.004029009
"Age population, age 11, female, interpolated",0.004029009
"Expected years of schooling, female",0.004029009
"Population ages 35-39, male (% of male population)",0.004029009
Prevalence of anemia among pregnant women (%),0.004029009
"Health expenditure, total (% of GDP)",0.003223207
"Employers, female (% of female employment)",0.003223207
"Employment in industry, male (% of male employment)",0.003223207
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.003223207
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.003223207
Mobile cellular subscriptions (per 100 people),0.003223207
"Health expenditure, private (% of GDP)",0.003223207
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.003223207
Net official development assistance and official aid received (current US$),0.003223207
Forest area (% of land area),0.003223207
GDP per capita (Current US$),0.003223207
"Labor force, female (% of total labor force)",0.003223207
"Age population, age 13, female, interpolated",0.003223207
"Age population, age 14, female, interpolated",0.003223207
"Age dependency ratio, young",0.003223207
"Age population, age 04, female, interpolated",0.003223207
"Age dependency ratio, old",0.003223207
"Age population, age 16, male, interpolated",0.0024174054
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.0024174054
"Age population, age 19, female, interpolated",0.0024174054
"Health expenditure, public (% of government expenditure)",0.0024174054
"Health expenditure per capita, PPP",0.0024174054
"Unemployment, male (% of male labor force)",0.0024174054
"Immunization, Hib3 (% of children ages 12-23 months)",0.0024174054
"Age population, age 15, female, interpolated",0.0024174054
"Age population, age 12, female, interpolated",0.0024174054
"School enrollment, tertiary (% gross)",0.0024174054
People using basic drinking water services (% of population),0.0024174054
