,0
Fixed telephone subscriptions (per 100 people),0.13333334
"Birth rate, crude (per 1,000 people)",0.1
Internet users (per 100 people),0.083333336
"Death rate, crude (per 1,000 people)",0.06666667
Country_code,0.05
"Fertility rate, total (births per woman)",0.05
GDP per capita (Current US$),0.05
Population growth (annual %),0.05
Rural population growth (annual %),0.033333335
"Incidence of tuberculosis (per 100,000 people)",0.033333335
GDP growth (annual %),0.033333335
GDP (current US$),0.033333335
Years,0.033333335
"Expected years of schooling, female",0.033333335
Urban population growth (annual %),0.033333335
People using basic sanitation services (% of population),0.016666668
People using safely managed drinking water services (% of population),0.016666668
CO2 emissions (kt),0.016666668
Trade (% of GDP),0.016666668
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.016666668
Mobile cellular subscriptions (per 100 people),0.016666668
Urban population,0.016666668
"Primary education, pupils (% female)",0.016666668
Gross capital formation (% of GDP),0.016666668
"Population, total",0.016666668
"People using basic sanitation services, urban  (% of urban population)",0.016666668
