,0
"Adjusted net enrollment rate, primary (% of primary school age children)",0.050230652
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.03126602
"Access to anti-retroviral drugs, female (%)",0.026653
AIDS estimated deaths (UNAIDS estimates),0.020502307
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.018964633
Age dependency ratio (% of working-age population),0.016914403
"Primary education, pupils (% female)",0.012301384
"Age dependency ratio, old",0.012301384
"Gross graduation ratio, tertiary, female (%)",0.011276268
"Age population, age 0, female, interpolated",0.011276268
GDP growth (annual %),0.010763711
"Age dependency ratio, young",0.010251153
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.009738595
CO2 emissions (kg per PPP $ of GDP),0.009738595
"Access to anti-retroviral drugs, male (%)",0.009738595
"Employment in services, female (% of female employment)",0.009738595
"Employers, female (% of female employment)",0.009226038
"Death rate, crude (per 1,000 people)",0.009226038
"Employment in services, male (% of male employment)",0.008200923
"Birth rate, crude (per 1,000 people)",0.007688365
"Contributing family workers, female (% of female employment)",0.007688365
"Children out of school, primary, male",0.007688365
Prevalence of anemia among children (% of children under 5),0.007688365
Gross capital formation (% of GDP),0.0071758074
"Inflation, consumer prices (annual %)",0.0071758074
GDP per capita (Current US$),0.0071758074
"Mortality rate, adult, female (per 1,000 female adults)",0.0071758074
"Mortality rate, infant (per 1,000 live births)",0.0071758074
"Expected years of schooling, female",0.00666325
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.00666325
CO2 emissions (kt),0.00666325
"Population ages 40-44, male (% of male population)",0.00666325
"Contributing family workers, male (% of male employment)",0.006150692
Female share of employment in senior and middle management (%),0.006150692
"Age population, age 01, female, interpolated",0.006150692
"Employment in industry, female (% of female employment)",0.006150692
"Age at first marriage, female",0.006150692
"Age population, age 0, male, interpolated",0.005638134
Ratio of female to male youth unemployment rate (%) (national estimate),0.005638134
"Government expenditure on education, total (% of GDP)",0.005638134
"Cost of business start-up procedures, female (% of GNI per capita)",0.005638134
"Population ages 40-44, female (% of female population)",0.005638134
"Population ages 15-19, male (% of male population)",0.0051255766
"Expected years of schooling, male",0.0051255766
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0051255766
"Contributing family workers, total (% of total employment)",0.0051255766
"Lower secondary completion rate, female (% of relevant age group)",0.0051255766
"School enrollment, primary (gross), gender parity index (GPI)",0.0051255766
"Children out of school, primary, female",0.004613019
"School enrollment, primary (% net)",0.004613019
GINI index (World Bank estimate),0.004613019
"Government expenditure per student, secondary (% of GDP per capita)",0.004613019
"Health expenditure, total (current US$)",0.004613019
"Gross graduation ratio, tertiary, male (%)",0.004613019
"Own-account workers, female (% of females employed)",0.004613019
Rural population growth (annual %),0.004613019
"Population ages 45-49, female (% of female population)",0.004613019
"Population ages 45-49, male (% of male population)",0.004613019
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.004613019
GDP (current US$),0.004613019
"Population ages 65-69, female (% of female population)",0.004613019
"Population ages 15-19, female (% of female population)",0.004613019
"Population ages 15-64, male (% of total)",0.0041004615
Out-of-pocket health expenditure (% of private expenditure on health),0.0041004615
"School enrollment, tertiary, female (% gross)",0.0041004615
"Lower secondary completion rate, male (% of relevant age group)",0.0041004615
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",0.0041004615
"Employment in industry, male (% of male employment)",0.0041004615
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.0035879037
"Fertility rate, total (births per woman)",0.0035879037
"Employment in agriculture, female (% of female employment)",0.0035879037
Prevalence of anemia among pregnant women (%),0.0035879037
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.0035879037
"Primary completion rate, male (% of relevant age group)",0.0035879037
"School enrollment, primary, female (% gross)",0.0035879037
GDP per person employed (constant 2011 PPP $),0.0035879037
"Population ages 20-24, female (% of female population)",0.0035879037
"Self-employed, female (% of female employment)",0.003075346
"Wage and salaried workers, female (% of female employment)",0.003075346
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.003075346
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.003075346
Fixed telephone subscriptions (per 100 people),0.003075346
"Government expenditure per student, primary (% of GDP per capita)",0.003075346
"Survival to age 65, female (% of cohort)",0.003075346
"Cost of business start-up procedures, male (% of GNI per capita)",0.003075346
Proportion of seats held by women in national parliaments (%),0.003075346
"Employment in agriculture, male (% of male employment)",0.003075346
"Employment to population ratio, 15+, female (%) (national estimate)",0.003075346
Proportion of women in ministerial level positions (%),0.003075346
"Prevalence of obesity, male (% of male population ages 18+)",0.003075346
Population growth (annual %),0.003075346
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.003075346
"Population ages 60-64, male (% of male population)",0.003075346
"Population ages 35-39, female (% of female population)",0.003075346
"Population ages 25-29, female (% of female population)",0.003075346
"Persistence to grade 5, female (% of cohort)",0.003075346
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.003075346
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.003075346
Mobile cellular subscriptions (per 100 people),0.003075346
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.003075346
"School enrollment, secondary, female (% net)",0.003075346
"Incidence of tuberculosis (per 100,000 people)",0.003075346
"Hospital beds (per 1,000 people)",0.003075346
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.003075346
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0025627883
"Nurses and midwives (per 1,000 people)",0.0025627883
Improved sanitation facilities (% of population with access),0.0025627883
"Mortality rate, adult, male (per 1,000 male adults)",0.0025627883
"Own-account workers, male (% of males employed)",0.0025627883
"Population ages 20-24, male (% of male population)",0.0025627883
"Population ages 80 and older, female (% of female population)",0.0025627883
"Primary completion rate, female (% of relevant age group)",0.0025627883
"School enrollment, primary, female (% net)",0.0025627883
"School enrollment, secondary (% net)",0.0025627883
"School enrollment, tertiary (% gross)",0.0025627883
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0025627883
"Secondary education, pupils (% female)",0.0025627883
"Employers, male (% of male employment)",0.0025627883
Lifetime risk of maternal death (%),0.0025627883
"Age population, age 07, female, interpolated",0.0025627883
Average tariffs imposed by developed countries on textile products from developing countries (%),0.0025627883
Births attended by skilled health staff (% of total),0.0025627883
CO2 emissions (metric tons per capita),0.0025627883
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",0.0025627883
"Educational attainment, completed lower secondary, population 25+ years, male (%)",0.0025627883
"Age population, age 03, male, interpolated",0.0025627883
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",0.0025627883
Out-of-pocket health expenditure (% of total expenditure on health),0.0020502307
"Age population, age 02, female, interpolated",0.0020502307
"Population ages 75-79, male (% of male population)",0.0020502307
"Population ages 05-09, female (% of female population)",0.0020502307
"School enrollment, secondary, male (% gross)",0.0020502307
Average tariffs imposed by developed countries on clothing products from developing countries (%),0.0020502307
People using safely managed drinking water services (% of population),0.0020502307
"Population ages 60-64, female (% of female population)",0.0020502307
"Time-related underemployment, male (% of employment)",0.0020502307
"Immunization, measles (% of children ages 12-23 months)",0.0020502307
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.0020502307
Forest area (sq. km),0.0020502307
"Immunization, Hib3 (% of children ages 12-23 months)",0.0020502307
"Population ages 30-34, male (% of male population)",0.0020502307
"School enrollment, secondary (gross), gender parity index (GPI)",0.0020502307
"Health expenditure, public (% of government expenditure)",0.0020502307
"School enrollment, primary (% gross)",0.0020502307
"School enrollment, secondary (% gross)",0.0020502307
Trade (% of GDP),0.0020502307
"Health expenditure, private (% of GDP)",0.0020502307
Forest area (% of land area),0.0020502307
"Age population, age 03, female, interpolated",0.0020502307
Lifetime risk of maternal death (1 in: rate varies by country),0.0020502307
"Public spending on education, total (% of GDP)",0.0020502307
Adults (ages 15+) and children (0-14 years) living with HIV,0.0020502307
"Educational attainment, completed upper secondary, population 25+ years, male (%)",0.0020502307
"Time required to start a business, female (days)",0.0020502307
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.0020502307
"Mortality rate, neonatal (per 1,000 live births)",0.0020502307
"Educational attainment, completed lower secondary, population 25+ years, female (%)",0.0020502307
"Age population, age 25, female, interpolated",0.0020502307
"Net ODA provided, total (% of GNI)",0.0020502307
Health expenditure per capita (current US$),0.0020502307
"Unemployment with basic education, male (% of male labor force with basic education)",0.0020502307
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",0.0020502307
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",0.0020502307
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0020502307
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",0.001537673
"Labor force with basic education, female (% of female working-age population with basic education)",0.001537673
"Time required to start a business, male (days)",0.001537673
"Population ages 00-14, male (% of total)",0.001537673
"Tuberculosis death rate (per 100,000 people)",0.001537673
