,0
Age dependency ratio (% of working-age population),0.21929824
"Age dependency ratio, young",0.06140351
Female population 80+,0.06140351
"Mortality rate, adult, male (per 1,000 male adults)",0.04385965
CO2 emissions (metric tons per capita),0.03508772
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.02631579
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.02631579
"Age population, age 03, male, interpolated",0.02631579
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.01754386
"Age population, age 11, male, interpolated",0.01754386
Internet users (per 100 people),0.01754386
"Age population, age 09, female, interpolated",0.01754386
"Mortality rate, adult, female (per 1,000 female adults)",0.01754386
Years,0.01754386
"School enrollment, primary, female (% gross)",0.01754386
"Population ages 80 and older, female (% of female population)",0.01754386
"Population ages 35-39, female (% of female population)",0.00877193
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.00877193
"Birth rate, crude (per 1,000 people)",0.00877193
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.00877193
"School enrollment, primary (% gross)",0.00877193
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00877193
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.00877193
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.00877193
Female population 35-39,0.00877193
Rural population growth (annual %),0.00877193
GDP growth (annual %),0.00877193
"Improved sanitation facilities, urban (% of urban population with access)",0.00877193
"Incidence of tuberculosis (per 100,000 people)",0.00877193
"Population ages 25-29, female (% of female population)",0.00877193
"Inflation, consumer prices (annual %)",0.00877193
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.00877193
"Population ages 75-79, male (% of male population)",0.00877193
"Population ages 70-74, female (% of female population)",0.00877193
Male population 35-39,0.00877193
"Age population, age 20, male, interpolated",0.00877193
"Population ages 65 and above, female (% of total)",0.00877193
"Population ages 50-54, male (% of male population)",0.00877193
People using basic sanitation services (% of population),0.00877193
"Population ages 15-19, male (% of male population)",0.00877193
"Age population, age 24, male, interpolated",0.00877193
Male population 80+,0.00877193
"Age population, age 03, female, interpolated",0.00877193
"Age population, age 15, female, interpolated",0.00877193
"Age population, age 12, male, interpolated",0.00877193
"Age dependency ratio, old",0.00877193
"Age population, age 12, female, interpolated",0.00877193
"Age population, age 04, female, interpolated",0.00877193
"Age population, age 16, male, interpolated",0.00877193
"Age population, age 11, female, interpolated",0.00877193
"Age population, age 13, female, interpolated",0.00877193
"Age population, age 16, female, interpolated",0.00877193
"Age population, age 15, male, interpolated",0.00877193
"Age population, age 07, female, interpolated",0.00877193
"Age population, age 09, male, interpolated",0.00877193
"Age population, age 14, female, interpolated",0.00877193
"Age population, age 14, male, interpolated",0.00877193
