,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.019936204
GDP growth (annual %),0.019138755
"Access to anti-retroviral drugs, female (%)",0.015151516
"Health expenditure, public (% of GDP)",0.014354067
"Inflation, consumer prices (annual %)",0.0127591705
Gross capital formation (% of GDP),0.0127591705
Age dependency ratio (% of working-age population),0.011164274
CO2 emissions (kg per PPP $ of GDP),0.010366826
"Health expenditure, public (% of government expenditure)",0.009569378
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.009569378
"Cost of business start-up procedures, female (% of GNI per capita)",0.009569378
"Age dependency ratio, old",0.00877193
External resources for health (% of total expenditure on health),0.00877193
"Population ages 35-39, male (% of male population)",0.00877193
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.00877193
"School enrollment, secondary (% gross)",0.00877193
GDP per person employed (constant 2011 PPP $),0.00877193
"Government expenditure on education, total (% of GDP)",0.00877193
"People practicing open defecation, urban (% of urban population)",0.00877193
"Unemployment, female (% of female labor force)",0.00877193
"Population ages 25-29, female (% of female population)",0.007974481
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.007974481
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.007974481
"Tuberculosis death rate (per 100,000 people)",0.007974481
CO2 emissions (metric tons per capita),0.007974481
Fixed telephone subscriptions (per 100 people),0.0071770335
Net ODA received per capita (current US$),0.0071770335
"Labor force, female (% of total labor force)",0.0071770335
"Health expenditure, public (% of total health expenditure)",0.0071770335
"Unemployment, male (% of male labor force)",0.0071770335
"Age dependency ratio, young",0.0071770335
People using basic sanitation services (% of population),0.0063795852
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0063795852
Out-of-pocket health expenditure (% of private expenditure on health),0.0063795852
"Immunization, HepB3 (% of one-year-old children)",0.0063795852
"Death rate, crude (per 1,000 people)",0.0063795852
"School enrollment, primary, male (% gross)",0.0063795852
Proportion of women in ministerial level positions (%),0.0063795852
"Start-up procedures to register a business, female (number)",0.0063795852
"Educational attainment, some primary, population 25+ years, female (%)",0.0063795852
"Time required to start a business, female (days)",0.0063795852
"Unemployment, female (% of female labor force) (national estimate)",0.0063795852
People practicing open defecation (% of population),0.005582137
Antiretroviral therapy coverage (% of people living with HIV),0.005582137
Improved sanitation facilities (% of population with access),0.005582137
"Population ages 30-34, male (% of male population)",0.005582137
"Immunization, DPT (% of children ages 12-23 months)",0.005582137
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",0.005582137
"Immunization, Pol3 (% of one-year-old children)",0.005582137
People using safely managed sanitation services (% of population),0.005582137
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.005582137
Women's share of population ages 15+ living with HIV (%),0.005582137
Tuberculosis treatment success rate (% of new cases),0.005582137
"Fertility rate, total (births per woman)",0.005582137
Forest area (sq. km),0.005582137
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.005582137
"School enrollment, secondary (gross), gender parity index (GPI)",0.005582137
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.005582137
"GNI per capita, PPP (current international $)",0.005582137
"Government expenditure per student, primary (% of GDP per capita)",0.005582137
"PPP conversion factor, GDP (LCU per international $)",0.005582137
"People using basic drinking water services, rural (% of rural population)",0.004784689
"Employers, female (% of female employment)",0.004784689
Adults (ages 15+) and children (0-14 years) living with HIV,0.004784689
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.004784689
"Mortality rate, infant (per 1,000 live births)",0.004784689
"Age population, age 0, female, interpolated",0.004784689
"Access to anti-retroviral drugs, male (%)",0.004784689
"Employers, male (% of male employment)",0.004784689
"PPP conversion factor, private consumption (LCU per international $)",0.004784689
Internet users (per 100 people),0.004784689
"Population ages 30-34, female (% of female population)",0.004784689
Health expenditure per capita (current US$),0.004784689
Forest area (% of land area),0.004784689
"Population ages 35-39, female (% of female population)",0.004784689
"School enrollment, secondary, male (% gross)",0.004784689
Prevalence of anemia among pregnant women (%),0.004784689
"Improved water source, rural (% of rural population with access)",0.004784689
"School enrollment, secondary (% net)",0.004784689
Out-of-pocket health expenditure (% of total expenditure on health),0.0039872406
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0039872406
"GNI per capita, Atlas method (current US$)",0.0039872406
Newborns protected against tetanus (%),0.0039872406
"Immunization, measles (% of children ages 12-23 months)",0.0039872406
"Improved sanitation facilities, urban (% of urban population with access)",0.0039872406
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0039872406
Net ODA received (% of GNI),0.0039872406
"Mortality rate, adult, male (per 1,000 male adults)",0.0039872406
Lifetime risk of maternal death (1 in: rate varies by country),0.0039872406
"Health expenditure, private (% of GDP)",0.0039872406
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.0039872406
"Prevalence of overweight, female (% of female adults)",0.0039872406
"Persistence to grade 5, male (% of cohort)",0.0039872406
"Population ages 20-24, male (% of male population)",0.0039872406
"Population ages 40-44, male (% of male population)",0.0039872406
"Population ages 20-24, female (% of female population)",0.0039872406
"Population ages 15-19, female (% of female population)",0.0039872406
"Population ages 45-49, female (% of female population)",0.0039872406
"Total debt service (% of exports of goods, services and primary income)",0.0039872406
Trade (% of GDP),0.0039872406
"Persistence to grade 5, female (% of cohort)",0.0039872406
"Population ages 80 and older, male (% of male population)",0.0039872406
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0039872406
"People using basic sanitation services, urban  (% of urban population)",0.0039872406
"Primary education, pupils (% female)",0.0031897926
"School enrollment, primary (gross), gender parity index (GPI)",0.0031897926
"Primary completion rate, female (% of relevant age group)",0.0031897926
Ratio of female to male youth unemployment rate (%) (national estimate),0.0031897926
"Immunization, BCG (% of one-year-old children)",0.0031897926
"School enrollment, primary (% gross)",0.0031897926
"School enrollment, primary (% net)",0.0031897926
"School enrollment, primary, male (% net)",0.0031897926
GINI index (World Bank estimate),0.0031897926
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0031897926
GDP per capita (Current US$),0.0031897926
"Prevalence of obesity, female (% of female population ages 18+)",0.0031897926
"Survival to age 65, female (% of cohort)",0.0031897926
"Educational attainment, some primary, population 25+ years, male (%)",0.0031897926
"Unemployment, male (% of male labor force) (national estimate)",0.0031897926
Female population 70-74,0.0031897926
"Employment in services, female (% of female employment)",0.0031897926
"Adjusted net enrollment rate, primary (% of primary school age children)",0.0031897926
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",0.0031897926
Mobile cellular subscriptions (per 100 people),0.0031897926
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0031897926
CO2 emissions (kt),0.0031897926
"Lower secondary completion rate, female (% of relevant age group)",0.0031897926
"Population, female (% of total)",0.0031897926
"Population ages 25-29, male (% of male population)",0.0031897926
"Population ages 40-44, female (% of female population)",0.0031897926
Malaria cases reported,0.0031897926
Incidence of HIV (% of uninfected population ages 15-49),0.0031897926
Net official development assistance and official aid received (current US$),0.0031897926
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0031897926
"Improved sanitation facilities, rural (% of rural population with access)",0.0031897926
Children orphaned by HIV/AIDS,0.0031897926
Female population 65-69,0.0023923444
Sex ratio at birth (male births per female births),0.0023923444
Population ages 0-14 (% of total),0.0023923444
"Unemployment, total (% of total labor force)",0.0023923444
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",0.0023923444
"Time-related underemployment, female (% of employment)",0.0023923444
"Wage and salaried workers, female (% of female employment)",0.0023923444
"People using safely managed drinking water services, urban (% of urban population)",0.0023923444
Lifetime risk of maternal death (%),0.0023923444
Poverty gap at $1.90 a day (2011 PPP) (%),0.0023923444
"Secondary education, pupils (% female)",0.0023923444
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0.0023923444
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0023923444
Income share held by lowest 20%,0.0023923444
Rural population growth (annual %),0.0023923444
Improved water source (% of population with access),0.0023923444
Ratio of female to male labor force participation rate (%) (national estimate),0.0023923444
"Health expenditure per capita, PPP",0.0023923444
Proportion of seats held by women in national parliaments (%),0.0023923444
"Progression to secondary school, female (%)",0.0023923444
"Population ages 50-54, female (% of female population)",0.0023923444
"Health expenditure, total (% of GDP)",0.0023923444
"Health expenditure, total (current US$)",0.0023923444
"People practicing open defecation, rural (% of rural population)",0.0023923444
"Own-account workers, female (% of females employed)",0.0023923444
AIDS estimated deaths (UNAIDS estimates),0.0023923444
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0023923444
"Contributing family workers, female (% of female employment)",0.0023923444
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0023923444
Children (0-14) living with HIV,0.0023923444
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",0.0023923444
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.0023923444
"Contributing family workers, male (% of male employment)",0.0023923444
Births attended by skilled health staff (% of total),0.0023923444
"Birth rate, crude (per 1,000 people)",0.0023923444
"Children out of school, primary, male",0.0023923444
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, male (%)",0.0023923444
"Educational attainment, completed primary, population 25+ years, female (%)",0.0023923444
"Employment to population ratio, 15+, total (%) (national estimate)",0.0015948963
"Own-account workers, male (% of males employed)",0.0015948963
"Age population, age 16, male, interpolated",0.0015948963
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0015948963
Rural population,0.0015948963
"Educational attainment, completed upper secondary, population 25+ years, male (%)",0.0015948963
GDP (current US$),0.0015948963
"People using basic drinking water services, urban (% of urban population)",0.0015948963
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.0015948963
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0015948963
Prevalence of anemia among children (% of children under 5),0.0015948963
Country_code,0.0015948963
"Population ages 15-19, male (% of male population)",0.0015948963
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0015948963
"Population ages 80 and older, female (% of female population)",0.0015948963
"Population ages 70-74, male (% of male population)",0.0015948963
"Population ages 65-69, male (% of male population)",0.0015948963
"Population ages 65-69, female (% of female population)",0.0015948963
"Incidence of tuberculosis (per 100,000 people)",0.0015948963
"Improved water source, urban (% of urban population with access)",0.0015948963
"Educational attainment, no schooling, population 25+ years, female (%)",0.0015948963
Rural population (% of total population),0.0015948963
"School enrollment, primary, female (% net)",0.0015948963
"Tertiary education, academic staff (% female)",0.0015948963
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0015948963
"Employment to population ratio, 15+, female (%) (national estimate)",0.0015948963
Urban poverty headcount ratio at national poverty lines (% of urban population),0.0015948963
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0015948963
Urban poverty gap at national poverty lines (%),0.0015948963
Urban population growth (annual %),0.0015948963
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0.0015948963
"Unemployment with basic education, female (% of female labor force with basic education)",0.0015948963
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.0015948963
"Employment in industry, male (% of male employment)",0.0015948963
"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0015948963
"Tuberculosis case detection rate (%, all forms)",0.0015948963
"Mortality rate, adult, female (per 1,000 female adults)",0.0015948963
"Age population, age 05, female, interpolated",0.0015948963
"Age population, age 23, female, interpolated",0.0015948963
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0015948963
"Survival to age 65, male (% of cohort)",0.0015948963
"Secondary education, teachers (% female)",0.0015948963
"School enrollment, secondary, female (% gross)",0.0015948963
Female population 75-79,0.0015948963
"Employment in industry, female (% of female employment)",0.0015948963
"Persistence to last grade of primary, total (% of cohort)",0.00079744816
Number of neonatal deaths,0.00079744816
"Age population, age 24, female, interpolated",0.00079744816
"Age population, age 22, male, interpolated",0.00079744816
Agricultural support estimate (% of GDP),0.00079744816
Number of maternal deaths,0.00079744816
Number of infant deaths,0.00079744816
"Net intake rate in grade 1, female (% of official school-age population)",0.00079744816
"Persistence to last grade of primary, female (% of cohort)",0.00079744816
"Population ages 15-64, male (% of total)",0.00079744816
"Population ages 15-64, female (% of total)",0.00079744816
People using basic drinking water services (% of population),0.00079744816
Male population 80+,0.00079744816
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.00079744816
"Children out of school, primary, female",0.00079744816
Number of people who are undernourished,0.00079744816
"Mortality rate, under-5 (per 1,000 live births)",0.00079744816
"Population ages 10-14, female (% of female population)",0.00079744816
Poverty gap at national poverty lines (%),0.00079744816
"Population ages 45-49, male (% of male population)",0.00079744816
"Age population, age 21, male, interpolated",0.00079744816
"Primary education, teachers (% female)",0.00079744816
"Progression to secondary school, male (%)",0.00079744816
"Age population, age 14, female, interpolated",0.00079744816
"Age population, age 12, male, interpolated",0.00079744816
"Age population, age 11, female, interpolated",0.00079744816
"Age population, age 10, female, interpolated",0.00079744816
"School enrollment, secondary, female (% net)",0.00079744816
"School enrollment, secondary, male (% net)",0.00079744816
"School enrollment, tertiary (% gross)",0.00079744816
"School enrollment, tertiary, male (% gross)",0.00079744816
"Time-related underemployment, male (% of employment)",0.00079744816
"Age population, age 04, female, interpolated",0.00079744816
"Age population, age 03, male, interpolated",0.00079744816
"Age population, age 03, female, interpolated",0.00079744816
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.00079744816
"Primary completion rate, male (% of relevant age group)",0.00079744816
"Age population, age 18, female, interpolated",0.00079744816
Prevalence of undernourishment (% of population),0.00079744816
"Population ages 75-79, male (% of male population)",0.00079744816
"Population ages 50-54, male (% of male population)",0.00079744816
"Population ages 55-59, male (% of male population)",0.00079744816
"Population ages 60-64, female (% of female population)",0.00079744816
"Population ages 60-64, male (% of male population)",0.00079744816
"Population ages 70-74, female (% of female population)",0.00079744816
"Population ages 75-79, female (% of female population)",0.00079744816
"Population ages10-14, male (% of male population)",0.00079744816
"Prevalence of overweight, male (% of male adults)",0.00079744816
Population growth (annual %),0.00079744816
Low-birthweight babies (% of births),0.00079744816
Pregnant women receiving prenatal care (%),0.00079744816
"Prevalence of HIV, total (% of population ages 15-49)",0.00079744816
"Age population, age 19, female, interpolated",0.00079744816
"Age population, age 18, male, interpolated",0.00079744816
Male population 35-39,0.00079744816
Years,0.00079744816
"Expected years of schooling, male",0.00079744816
"Educational attainment, no schooling, population 25+ years, male (%)",0.00079744816
"Health expenditure, private (% of total health expenditure)",0.00079744816
"Gross graduation ratio, primary, female (%)",0.00079744816
"Employment in services, male (% of male employment)",0.00079744816
"Employment to population ratio, ages 15-24, total (%) (national estimate)",0.00079744816
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.00079744816
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",0.00079744816
"Literacy rate, youth total (% of people ages 15-24)",0.00079744816
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",0.00079744816
"Expected years of schooling, female",0.00079744816
"Educational attainment, completed lower secondary, population 25+ years, female (%)",0.00079744816
"Employment in agriculture, female (% of female employment)",0.00079744816
Female population 50-54,0.00079744816
"Informal employment, female (% of total non-agricultural employment)",0.00079744816
"Employment in agriculture, male (% of male employment)",0.00079744816
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",0.00079744816
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.00079744816
"Literacy rate, adult female (% of females ages 15 and above)",0.00079744816
"GNI, Atlas method (current US$)",0.00079744816
"Employment to population ratio, 15+, male (%) (national estimate)",0.00079744816
"Hospital beds (per 1,000 people)",0.00079744816
"Educational attainment, completed lower secondary, population 25+ years, male (%)",0.00079744816
"Government expenditure per student, secondary (% of GDP per capita)",0.00079744816
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.00079744816
"Immunization, Hib3 (% of children ages 12-23 months)",0.00079744816
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.00079744816
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",0.00079744816
