,0
"Inflation, consumer prices (annual %)",0.025794841
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.020395922
GDP growth (annual %),0.01979604
"Age dependency ratio, old",0.016796641
CO2 emissions (kt),0.015596881
"Death rate, crude (per 1,000 people)",0.014997001
AIDS estimated deaths (UNAIDS estimates),0.014397121
Age dependency ratio (% of working-age population),0.014397121
Gross capital formation (% of GDP),0.012597481
"Age population, age 0, female, interpolated",0.012597481
Mobile cellular subscriptions (per 100 people),0.0119976
Urban population growth (annual %),0.01139772
"Population ages 25-29, female (% of female population)",0.010797841
"Health expenditure, public (% of government expenditure)",0.010797841
Fixed telephone subscriptions (per 100 people),0.010197961
CO2 emissions (kg per PPP $ of GDP),0.010197961
Population growth (annual %),0.00959808
"Access to anti-retroviral drugs, female (%)",0.00959808
"Survival to age 65, male (% of cohort)",0.0089982
"Health expenditure, public (% of GDP)",0.0089982
Newborns protected against tetanus (%),0.0083983205
"Immunization, BCG (% of one-year-old children)",0.0083983205
Lifetime risk of maternal death (1 in: rate varies by country),0.0083983205
"Health expenditure, public (% of total health expenditure)",0.0077984403
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0077984403
Trade (% of GDP),0.0077984403
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0077984403
"Health expenditure, total (% of GDP)",0.0071985605
People using basic sanitation services (% of population),0.0071985605
"Population ages 20-24, female (% of female population)",0.0071985605
"Population ages 30-34, female (% of female population)",0.0071985605
"GNI, Atlas method (current US$)",0.0071985605
"Cost of business start-up procedures, female (% of GNI per capita)",0.0071985605
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0065986803
"Health expenditure, private (% of GDP)",0.0065986803
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0065986803
CO2 emissions (metric tons per capita),0.0065986803
"GNI per capita, PPP (current international $)",0.0065986803
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0065986803
"Unemployment, male (% of male labor force)",0.0065986803
Adults (ages 15+) and children (0-14 years) living with HIV,0.0065986803
Prevalence of anemia among pregnant women (%),0.0065986803
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0059988
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0059988
"Primary education, pupils (% female)",0.0059988
"GNI per capita, Atlas method (current US$)",0.0059988
"People using basic sanitation services, urban  (% of urban population)",0.0059988
"Immunization, HepB3 (% of one-year-old children)",0.0059988
Proportion of women in ministerial level positions (%),0.0059988
Internet users (per 100 people),0.0059988
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.0059988
Malaria cases reported,0.0059988
"School enrollment, primary (% gross)",0.0059988
Years,0.0059988
"Tuberculosis case detection rate (%, all forms)",0.0053989203
"Immunization, measles (% of children ages 12-23 months)",0.0053989203
People using basic drinking water services (% of population),0.0053989203
"Population ages 15-19, female (% of female population)",0.0053989203
