,0
AIDS estimated deaths (UNAIDS estimates),0.13652694
"Access to anti-retroviral drugs, female (%)",0.10299401
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.05508982
"Access to anti-retroviral drugs, male (%)",0.033532932
Adults (ages 15+) and children (0-14 years) living with HIV,0.023952097
"Age dependency ratio, old",0.017964073
"Inflation, consumer prices (annual %)",0.017964073
"Adjusted net enrollment rate, primary (% of primary school age children)",0.016766466
Age dependency ratio (% of working-age population),0.015568863
CO2 emissions (kg per PPP $ of GDP),0.014371257
GDP growth (annual %),0.013173653
Incidence of HIV (% of uninfected population ages 15-49),0.011976048
External resources for health (% of total expenditure on health),0.010778443
"Mortality rate, infant (per 1,000 live births)",0.010778443
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0095808385
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.0095808385
"Population ages 45-49, female (% of female population)",0.0095808385
"Prevalence of HIV, male (% ages 15-24)",0.008383233
"Health expenditure, public (% of government expenditure)",0.008383233
"Health expenditure, private (% of total health expenditure)",0.008383233
Out-of-pocket health expenditure (% of private expenditure on health),0.008383233
"Population ages 20-24, female (% of female population)",0.008383233
"Cost of business start-up procedures, female (% of GNI per capita)",0.008383233
"Age population, age 0, female, interpolated",0.008383233
Adults (ages 15+) living with HIV,0.008383233
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.008383233
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.008383233
"Birth rate, crude (per 1,000 people)",0.0071856286
"Health expenditure, private (% of GDP)",0.0071856286
"Health expenditure, public (% of GDP)",0.0071856286
"Death rate, crude (per 1,000 people)",0.0071856286
CO2 emissions (kt),0.0071856286
"Children out of school, primary, male",0.005988024
Fixed telephone subscriptions (per 100 people),0.005988024
"Population ages 25-29, female (% of female population)",0.005988024
"School enrollment, primary, female (% gross)",0.005988024
Net ODA received (% of GNI),0.005988024
"Immunization, Hib3 (% of children ages 12-23 months)",0.005988024
GDP per person employed (constant 2011 PPP $),0.005988024
Internet users (per 100 people),0.005988024
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0047904192
"Children out of school, primary, female",0.0047904192
Net official development assistance and official aid received (current US$),0.0047904192
"Tuberculosis case detection rate (%, all forms)",0.0047904192
"Mortality rate, adult, female (per 1,000 female adults)",0.0047904192
"Primary education, pupils (% female)",0.0047904192
Trade (% of GDP),0.0047904192
"Health expenditure, total (% of GDP)",0.0047904192
"School enrollment, primary (% gross)",0.0047904192
GDP (current US$),0.0047904192
Female population 40-44,0.0047904192
Female population 30-34,0.0047904192
"Immunization, HepB3 (% of one-year-old children)",0.0047904192
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0047904192
Antiretroviral therapy coverage (% of people living with HIV),0.0047904192
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0035928143
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0035928143
Out-of-pocket health expenditure (% of total expenditure on health),0.0035928143
"Persistence to last grade of primary, total (% of cohort)",0.0035928143
"Immunization, measles (% of children ages 12-23 months)",0.0035928143
Gross capital formation (% of GDP),0.0035928143
"Labor force, female (% of total labor force)",0.0035928143
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0035928143
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0035928143
"GNI per capita, PPP (current international $)",0.0035928143
"Primary completion rate, female (% of relevant age group)",0.0035928143
"Population ages 60-64, female (% of female population)",0.0035928143
"Primary education, teachers (% female)",0.0035928143
"Age population, age 10, female, interpolated",0.0035928143
Female population 35-39,0.0023952096
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0023952096
Number of under-five deaths,0.0023952096
Net official development assistance received (current US$),0.0023952096
"Prevalence of HIV, female (% ages 15-24)",0.0023952096
"Age population, age 09, female, interpolated",0.0023952096
Prevalence of anemia among pregnant women (%),0.0023952096
"Mortality rate, under-5 (per 1,000 live births)",0.0023952096
"Mortality rate, neonatal (per 1,000 live births)",0.0023952096
"Mortality rate, adult, male (per 1,000 male adults)",0.0023952096
Prevalence of undernourishment (% of population),0.0023952096
"Health expenditure, public (% of total health expenditure)",0.0023952096
"PPP conversion factor, private consumption (LCU per international $)",0.0023952096
Tuberculosis case detection rate (all forms),0.0023952096
"School enrollment, secondary (% gross)",0.0023952096
"Immunization, DPT (% of children ages 12-23 months)",0.0023952096
"Progression to secondary school, female (%)",0.0023952096
"Incidence of tuberculosis (per 100,000 people)",0.0023952096
"Improved water source, rural (% of rural population with access)",0.0023952096
"Age population, age 15, female, interpolated",0.0023952096
Proportion of women in ministerial level positions (%),0.0023952096
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0023952096
"PPP conversion factor, GDP (LCU per international $)",0.0023952096
"Population, female (% of total)",0.0023952096
"Population ages 70-74, male (% of male population)",0.0023952096
"Cost of business start-up procedures, male (% of GNI per capita)",0.0023952096
"Population ages 50-54, male (% of male population)",0.0023952096
"Tuberculosis death rate (per 100,000 people)",0.0023952096
"GNI per capita, Atlas method (current US$)",0.0023952096
Tuberculosis treatment success rate (% of new cases),0.0023952096
CO2 emissions (metric tons per capita),0.0023952096
Children (0-14) living with HIV,0.0023952096
GDP per capita (Current US$),0.0023952096
"Age population, age 23, female, interpolated",0.0023952096
"Unemployment, female (% of female labor force)",0.0023952096
"Population ages 15-19, male (% of male population)",0.0023952096
"Age population, age 07, female, interpolated",0.0023952096
Improved sanitation facilities (% of population with access),0.0023952096
"Population ages 80 and older, male (% of male population)",0.0023952096
Forest area (% of land area),0.0023952096
"People using basic sanitation services, rural (% of rural population)",0.0023952096
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.0023952096
Forest area (sq. km),0.0023952096
"School enrollment, secondary, male (% gross)",0.0011976048
"Immunization, Pol3 (% of one-year-old children)",0.0011976048
Health expenditure per capita (current US$),0.0011976048
