,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.060686015
AIDS estimated deaths (UNAIDS estimates),0.036939315
Age dependency ratio (% of working-age population),0.036939315
Prevalence of anemia among children (% of children under 5),0.02110818
"Age dependency ratio, young",0.02110818
"Age dependency ratio, old",0.02110818
"Mortality rate, adult, female (per 1,000 female adults)",0.018469658
"Birth rate, crude (per 1,000 people)",0.015831135
"Death rate, crude (per 1,000 people)",0.015831135
"Survival to age 65, male (% of cohort)",0.015831135
GDP growth (annual %),0.015831135
"Population ages 30-34, female (% of female population)",0.015831135
"Adjusted net enrollment rate, primary (% of primary school age children)",0.015831135
External resources for health (% of total expenditure on health),0.015831135
Net official development assistance and official aid received (current US$),0.013192612
Newborns protected against tetanus (%),0.013192612
ARI treatment (% of children under 5 taken to a health provider),0.013192612
"Mortality rate, infant (per 1,000 live births)",0.013192612
Rural population growth (annual %),0.01055409
Mobile cellular subscriptions (per 100 people),0.01055409
"Survival to age 65, female (% of cohort)",0.01055409
Rural population (% of total population),0.01055409
"Immunization, DPT (% of children ages 12-23 months)",0.01055409
Proportion of women in ministerial level positions (%),0.01055409
"Immunization, BCG (% of one-year-old children)",0.01055409
"Health expenditure, private (% of GDP)",0.01055409
"Government expenditure on education, total (% of GDP)",0.01055409
"GNI per capita, PPP (current international $)",0.01055409
"Access to anti-retroviral drugs, female (%)",0.01055409
Fixed telephone subscriptions (per 100 people),0.01055409
People using basic drinking water services (% of population),0.007915568
"Population ages 65 and above, male (% of total)",0.007915568
"Population ages 35-39, female (% of female population)",0.007915568
"Fertility rate, total (births per woman)",0.007915568
CO2 emissions (kg per PPP $ of GDP),0.007915568
People practicing open defecation (% of population),0.007915568
"Immunization, measles (% of children ages 12-23 months)",0.007915568
GDP per person employed (constant 2011 PPP $),0.007915568
"Mortality rate, under-5 (per 1,000 live births)",0.007915568
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.007915568
GDP per capita (Current US$),0.007915568
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.007915568
"Age population, age 07, female, interpolated",0.007915568
"Age population, age 0, female, interpolated",0.007915568
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.007915568
"Access to anti-retroviral drugs, male (%)",0.007915568
"School enrollment, secondary, male (% gross)",0.007915568
"Primary education, teachers (% female)",0.005277045
"PPP conversion factor, private consumption (LCU per international $)",0.005277045
"PPP conversion factor, GDP (LCU per international $)",0.005277045
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.005277045
"Age population, age 08, female, interpolated",0.005277045
"Cost of business start-up procedures, female (% of GNI per capita)",0.005277045
"Population ages 05-09, female (% of female population)",0.005277045
"Health expenditure, public (% of government expenditure)",0.005277045
"Health expenditure, total (current US$)",0.005277045
"Unemployment, male (% of male labor force)",0.005277045
Tuberculosis treatment success rate (% of new cases),0.005277045
Births attended by skilled health staff (% of total),0.005277045
"Improved sanitation facilities, rural (% of rural population with access)",0.005277045
"Population ages 00-14, female (% of total)",0.005277045
"Age population, age 0, male, interpolated",0.005277045
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.005277045
Forest area (sq. km),0.005277045
Population growth (annual %),0.005277045
"Population ages 65-69, male (% of male population)",0.005277045
"Population ages 40-44, male (% of male population)",0.005277045
"Population ages 15-19, male (% of male population)",0.005277045
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.005277045
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0.005277045
Improved water source (% of population with access),0.005277045
"Population ages 20-24, female (% of female population)",0.005277045
Adults (ages 15+) and children (0-14 years) living with HIV,0.005277045
"Gross graduation ratio, primary, female (%)",0.0026385225
"Health expenditure, public (% of GDP)",0.0026385225
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0026385225
"Tuberculosis death rate (per 100,000 people), including HIV",0.0026385225
"Immunization, Pol3 (% of one-year-old children)",0.0026385225
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0026385225
"Expected years of schooling, male",0.0026385225
Urban population (% of total),0.0026385225
Female population 20-24,0.0026385225
"Health expenditure, total (% of GDP)",0.0026385225
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0026385225
Female population 25-29,0.0026385225
GDP (current US$),0.0026385225
"Health expenditure, private (% of total health expenditure)",0.0026385225
Female population 35-39,0.0026385225
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.0026385225
"GNI, Atlas method (current US$)",0.0026385225
"Improved sanitation facilities, urban (% of urban population with access)",0.0026385225
"Health expenditure per capita, PPP",0.0026385225
Health expenditure per capita (current US$),0.0026385225
Gross capital formation (% of GDP),0.0026385225
"Unemployment, total (% of total labor force)",0.0026385225
"Lower secondary completion rate, female (% of relevant age group)",0.0026385225
"Incidence of tuberculosis (per 100,000 people)",0.0026385225
"People using basic sanitation services, urban  (% of urban population)",0.0026385225
"Physicians (per 1,000 people)",0.0026385225
"Population ages 00-04, female (% of female population)",0.0026385225
"Population ages 15-19, female (% of female population)",0.0026385225
"Population ages 15-64, female (% of total)",0.0026385225
"Population ages 25-29, male (% of male population)",0.0026385225
"School enrollment, primary (% gross)",0.0026385225
"Population ages 30-34, male (% of male population)",0.0026385225
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0026385225
"Population ages 40-44, female (% of female population)",0.0026385225
"Public spending on education, total (% of GDP)",0.0026385225
"Population ages 70-74, male (% of male population)",0.0026385225
"Population ages 75-79, male (% of male population)",0.0026385225
"Population, female (% of total)",0.0026385225
"Progression to secondary school, female (%)",0.0026385225
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0026385225
"Employment in services, male (% of male employment)",0.0026385225
"People using basic drinking water services, rural (% of rural population)",0.0026385225
"Inflation, consumer prices (annual %)",0.0026385225
"People practicing open defecation, urban (% of urban population)",0.0026385225
"Tuberculosis death rate (per 100,000 people)",0.0026385225
Trade (% of GDP),0.0026385225
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.0026385225
