,0
Mobile cellular subscriptions (per 100 people),0.015213575
"Birth rate, crude (per 1,000 people)",0.013458163
Health expenditure per capita (current US$),0.012873026
GDP growth (annual %),0.012287888
CO2 emissions (kg per PPP $ of GDP),0.01170275
Gross capital formation (% of GDP),0.01170275
"Health expenditure, public (% of total health expenditure)",0.011117613
Population growth (annual %),0.010532475
"Population ages 45-49, female (% of female population)",0.009947337
"Population ages 00-04, female (% of female population)",0.009947337
"PPP conversion factor, private consumption (LCU per international $)",0.009947337
Out-of-pocket health expenditure (% of private expenditure on health),0.0093622
"Population ages 65-69, female (% of female population)",0.0093622
"Immunization, measles (% of children ages 12-23 months)",0.008777062
Urban population growth (annual %),0.008777062
"Employment in services, female (% of female employment)",0.008777062
"Mortality rate, adult, female (per 1,000 female adults)",0.008777062
"School enrollment, primary (gross), gender parity index (GPI)",0.0081919255
"Health expenditure, public (% of government expenditure)",0.0081919255
"Health expenditure, private (% of GDP)",0.0081919255
"Unemployment, female (% of female labor force) (national estimate)",0.0081919255
Internet users (per 100 people),0.0076067876
"Children out of school, primary, female",0.0076067876
"Cost of business start-up procedures, female (% of GNI per capita)",0.0076067876
"Age dependency ratio, young",0.0076067876
Age dependency ratio (% of working-age population),0.0076067876
"Fertility rate, total (births per woman)",0.00702165
Population ages 15-64 (% of total),0.00702165
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.00702165
"Death rate, crude (per 1,000 people)",0.00702165
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.00702165
Fixed telephone subscriptions (per 100 people),0.00702165
Forest area (% of land area),0.00702165
"Incidence of tuberculosis (per 100,000 people)",0.00702165
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.006436513
"Employment in industry, female (% of female employment)",0.006436513
"Inflation, consumer prices (annual %)",0.006436513
"Immunization, Hib3 (% of children ages 12-23 months)",0.006436513
GDP per capita (Current US$),0.006436513
Proportion of women in ministerial level positions (%),0.006436513
"Population ages 45-49, male (% of male population)",0.006436513
"Population ages 70-74, female (% of female population)",0.005851375
Women's share of population ages 15+ living with HIV (%),0.005851375
"Health expenditure, total (% of GDP)",0.005851375
"Access to anti-retroviral drugs, female (%)",0.005851375
"Population ages 25-29, male (% of male population)",0.005851375
"Health expenditure per capita, PPP",0.005851375
"Population ages 40-44, female (% of female population)",0.005851375
"Population ages 50-54, female (% of female population)",0.005851375
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.005851375
"Tuberculosis death rate (per 100,000 people)",0.0052662375
"Population ages 00-04, male (% of male population)",0.0052662375
"Population ages 35-39, female (% of female population)",0.0052662375
Proportion of seats held by women in national parliaments (%),0.0052662375
"Adjusted net enrollment rate, primary (% of primary school age children)",0.0052662375
Out-of-pocket health expenditure (% of total expenditure on health),0.0052662375
Prevalence of anemia among children (% of children under 5),0.0052662375
"Population ages 30-34, male (% of male population)",0.0052662375
"Age population, age 0, female, interpolated",0.0052662375
Rural population growth (annual %),0.0052662375
"Immunization, HepB3 (% of one-year-old children)",0.0052662375
Rural population (% of total population),0.0052662375
"Population ages 20-24, female (% of female population)",0.0046811
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0046811
"Population ages 65-69, male (% of male population)",0.0046811
"Employment in industry, male (% of male employment)",0.0046811
"Population ages 05-09, female (% of female population)",0.0046811
"Population ages 40-44, male (% of male population)",0.0046811
"Health expenditure, private (% of total health expenditure)",0.0046811
CO2 emissions (metric tons per capita),0.0046811
"Secondary education, teachers (% female)",0.0046811
"Population ages 30-34, female (% of female population)",0.0046811
"Unemployment, male (% of male labor force)",0.0046811
"Population ages 15-64, female (% of total)",0.0046811
"Health expenditure, public (% of GDP)",0.0046811
"Unemployment, female (% of female labor force)",0.0046811
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0040959627
"School enrollment, secondary (% net)",0.0040959627
"Population ages 75-79, female (% of female population)",0.0040959627
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0040959627
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",0.0040959627
"Unemployment, male (% of male labor force) (national estimate)",0.0040959627
"Immunization, DPT (% of children ages 12-23 months)",0.0040959627
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0040959627
"Immunization, Pol3 (% of one-year-old children)",0.0040959627
"Employers, female (% of female employment)",0.0040959627
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0040959627
"Primary completion rate, female (% of relevant age group)",0.003510825
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.003510825
"Employment in services, male (% of male employment)",0.003510825
"Primary education, pupils (% female)",0.003510825
