,0
AIDS estimated deaths (UNAIDS estimates),0.06649982
"Access to anti-retroviral drugs, female (%)",0.042545583
Adults (ages 15+) and children (0-14 years) living with HIV,0.029317126
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.02717197
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.023239184
"Access to anti-retroviral drugs, male (%)",0.020021452
"Death rate, crude (per 1,000 people)",0.019306399
"Adjusted net enrollment rate, primary (% of primary school age children)",0.016446192
"Age dependency ratio, old",0.016088666
"Inflation, consumer prices (annual %)",0.013228459
"Cost of business start-up procedures, female (% of GNI per capita)",0.011798356
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.010010726
"Population ages 60-64, male (% of male population)",0.009653199
"Mortality rate, infant (per 1,000 live births)",0.009653199
"Age population, age 0, female, interpolated",0.009295674
"Population ages 60-64, female (% of female population)",0.009295674
Age dependency ratio (% of working-age population),0.008938148
External resources for health (% of total expenditure on health),0.008938148
"PPP conversion factor, GDP (LCU per international $)",0.008223096
"Birth rate, crude (per 1,000 people)",0.008223096
Net ODA received (% of GNI),0.008223096
Trade (% of GDP),0.0078655705
"Health expenditure, public (% of government expenditure)",0.0078655705
GDP growth (annual %),0.007508044
"Mortality rate, adult, female (per 1,000 female adults)",0.007508044
"Population ages 10-14, female (% of female population)",0.007508044
Gross capital formation (% of GDP),0.0071505182
"Population ages 30-34, male (% of male population)",0.0071505182
Fixed telephone subscriptions (per 100 people),0.0071505182
"Cost of business start-up procedures, male (% of GNI per capita)",0.0071505182
"GNI per capita, PPP (current international $)",0.0064354665
GDP per person employed (constant 2011 PPP $),0.0064354665
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0064354665
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0064354665
"Population ages 65-69, male (% of male population)",0.0060779406
"Mortality rate, neonatal (per 1,000 live births)",0.0060779406
CO2 emissions (kg per PPP $ of GDP),0.0060779406
Out-of-pocket health expenditure (% of private expenditure on health),0.0060779406
"Total debt service (% of exports of goods, services and primary income)",0.0060779406
"Health expenditure, private (% of GDP)",0.0057204147
"Survival to age 65, female (% of cohort)",0.0057204147
"Health expenditure, public (% of total health expenditure)",0.0057204147
Net ODA received per capita (current US$),0.005362889
"Health expenditure, public (% of GDP)",0.005362889
Adults (ages 15+) living with HIV,0.005362889
Mobile cellular subscriptions (per 100 people),0.005362889
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.005362889
"Survival to age 65, male (% of cohort)",0.005005363
Population growth (annual %),0.005005363
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.005005363
"Population ages 35-39, male (% of male population)",0.005005363
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.005005363
"Population ages 30-34, female (% of female population)",0.005005363
Antiretroviral therapy coverage (% of people living with HIV),0.004647837
Health expenditure per capita (current US$),0.004647837
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.004647837
"Health expenditure, private (% of total health expenditure)",0.004647837
Improved sanitation facilities (% of population with access),0.004647837
