,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.01768421
"Survival to age 65, male (% of cohort)",0.0122105265
Mobile cellular subscriptions (per 100 people),0.011368421
"Population ages 20-24, male (% of male population)",0.010526316
"Inflation, consumer prices (annual %)",0.010105263
"Population ages 20-24, female (% of female population)",0.010105263
"Tuberculosis death rate (per 100,000 people)",0.009684211
Gross capital formation (% of GDP),0.009684211
Tuberculosis treatment success rate (% of new cases),0.009684211
"Population ages 15-19, female (% of female population)",0.009263158
"Lower secondary completion rate, female (% of relevant age group)",0.009263158
"Immunization, HepB3 (% of one-year-old children)",0.009263158
Urban population growth (annual %),0.009263158
"PPP conversion factor, GDP (LCU per international $)",0.008842105
"Adjusted net enrollment rate, primary (% of primary school age children)",0.008842105
Rural population growth (annual %),0.008421052
"Population ages 25-29, male (% of male population)",0.008421052
"Population ages 25-29, female (% of female population)",0.008
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.008
Trade (% of GDP),0.0075789476
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0075789476
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0075789476
GDP growth (annual %),0.007157895
Proportion of women in ministerial level positions (%),0.007157895
Internet users (per 100 people),0.007157895
Births attended by skilled health staff (% of total),0.006736842
CO2 emissions (kg per PPP $ of GDP),0.006736842
"Nurses and midwives (per 1,000 people)",0.006736842
Out-of-pocket health expenditure (% of private expenditure on health),0.006736842
Prevalence of anemia among children (% of children under 5),0.006736842
"School enrollment, primary (gross), gender parity index (GPI)",0.006736842
"Immunization, BCG (% of one-year-old children)",0.0063157897
"Health expenditure, public (% of total health expenditure)",0.0063157897
Improved sanitation facilities (% of population with access),0.0063157897
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0063157897
"Health expenditure, public (% of government expenditure)",0.0063157897
"Incidence of tuberculosis (per 100,000 people)",0.005894737
"Immunization, DPT (% of children ages 12-23 months)",0.005894737
CO2 emissions (metric tons per capita),0.005894737
CO2 emissions (kt),0.005894737
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.005894737
"Mortality rate, adult, female (per 1,000 female adults)",0.005473684
"Lower secondary completion rate, male (% of relevant age group)",0.005473684
GDP (current US$),0.005473684
"Mortality rate, adult, male (per 1,000 male adults)",0.005473684
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.005473684
"Net intake rate in grade 1, female (% of official school-age population)",0.005473684
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.005473684
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.005473684
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0050526317
"School enrollment, primary (% gross)",0.0050526317
"Mortality rate, infant (per 1,000 live births)",0.0050526317
"Population ages 30-34, female (% of female population)",0.0050526317
"Primary completion rate, male (% of relevant age group)",0.0050526317
"Cost of business start-up procedures, female (% of GNI per capita)",0.0050526317
"School enrollment, secondary (gross), gender parity index (GPI)",0.0050526317
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0050526317
"School enrollment, primary, male (% gross)",0.0050526317
"Primary education, pupils (% female)",0.004631579
"Age dependency ratio, old",0.004631579
"Age population, age 0, female, interpolated",0.004631579
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.004631579
"Survival to age 65, female (% of cohort)",0.004631579
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.004631579
Improved water source (% of population with access),0.004631579
"Primary completion rate, female (% of relevant age group)",0.004631579
"Progression to secondary school, male (%)",0.004631579
Rural population (% of total population),0.004631579
"Population ages 80 and older, female (% of female population)",0.004631579
"GNI per capita, PPP (current international $)",0.004631579
"Improved sanitation facilities, rural (% of rural population with access)",0.004631579
"Population ages 45-49, male (% of male population)",0.004631579
"Improved sanitation facilities, urban (% of urban population with access)",0.004210526
Fixed telephone subscriptions (per 100 people),0.004210526
"Health expenditure, private (% of total health expenditure)",0.004210526
"Health expenditure, private (% of GDP)",0.004210526
"Health expenditure, public (% of GDP)",0.004210526
Lifetime risk of maternal death (1 in: rate varies by country),0.004210526
"Health expenditure, total (current US$)",0.004210526
"GNI, Atlas method (current US$)",0.004210526
Years,0.004210526
"Fertility rate, total (births per woman)",0.004210526
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.004210526
"Progression to secondary school, female (%)",0.004210526
"Population ages 50-54, male (% of male population)",0.004210526
"Population ages 45-49, female (% of female population)",0.004210526
"Population ages 00-14, female (% of total)",0.004210526
GDP per capita (Current US$),0.0037894738
Population growth (annual %),0.0037894738
"Immunization, Pol3 (% of one-year-old children)",0.0037894738
"Health expenditure per capita, PPP",0.0037894738
"School enrollment, tertiary, female (% gross)",0.0037894738
"Secondary education, pupils (% female)",0.0037894738
"Prevalence of obesity, male (% of male population ages 18+)",0.0037894738
"Labor force, female (% of total labor force)",0.0037894738
"Tuberculosis case detection rate (%, all forms)",0.0037894738
"Death rate, crude (per 1,000 people)",0.0037894738
"Population ages 00-04, male (% of male population)",0.0037894738
"Age dependency ratio, young",0.0037894738
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0037894738
"Unemployment, male (% of male labor force)",0.0037894738
"Children out of school, primary, female",0.0037894738
"PPP conversion factor, private consumption (LCU per international $)",0.0037894738
"Employment to population ratio, 15+, female (%) (national estimate)",0.003368421
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.003368421
"Government expenditure on education, total (% of GDP)",0.003368421
"Gross graduation ratio, tertiary, male (%)",0.003368421
Age dependency ratio (% of working-age population),0.003368421
Forest area (% of land area),0.003368421
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.003368421
"School enrollment, secondary, female (% net)",0.003368421
Net ODA received per capita (current US$),0.003368421
"Prevalence of obesity, female (% of female population ages 18+)",0.003368421
Net official development assistance and official aid received (current US$),0.003368421
"Population ages 50-54, female (% of female population)",0.003368421
"Population ages 10-14, female (% of female population)",0.003368421
"Population ages 30-34, male (% of male population)",0.003368421
People using basic sanitation services (% of population),0.003368421
People using basic drinking water services (% of population),0.003368421
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0.003368421
"Population ages 40-44, male (% of male population)",0.003368421
"Population ages 55-59, male (% of male population)",0.003368421
Tuberculosis case detection rate (all forms),0.0029473684
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.0029473684
"People practicing open defecation, rural (% of rural population)",0.0029473684
"Unemployment, female (% of female labor force)",0.0029473684
People using safely managed sanitation services (% of population),0.0029473684
Lifetime risk of maternal death (%),0.0029473684
External resources for health (% of total expenditure on health),0.0029473684
GDP per person employed (constant 2011 PPP $),0.0029473684
"Time required to start a business, female (days)",0.0029473684
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0029473684
"Health expenditure, total (% of GDP)",0.0029473684
"Tertiary education, academic staff (% female)",0.0029473684
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0029473684
"Population ages 35-39, female (% of female population)",0.0029473684
"Gross graduation ratio, tertiary, female (%)",0.0029473684
"School enrollment, secondary (% gross)",0.0029473684
Proportion of seats held by women in national parliaments (%),0.0029473684
"Population ages 60-64, male (% of male population)",0.0029473684
"Primary completion rate, total (% of relevant age group)",0.0029473684
People practicing open defecation (% of population),0.0029473684
Male population 55-59,0.0029473684
"Birth rate, crude (per 1,000 people)",0.0029473684
Country_code,0.0029473684
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0029473684
Adults (ages 15+) and children (0-14 years) living with HIV,0.0029473684
Net ODA received (% of GNI),0.0025263159
"Mortality rate, neonatal (per 1,000 live births)",0.0025263159
"GNI per capita, Atlas method (current US$)",0.0025263159
Prevalence of anemia among pregnant women (%),0.0025263159
"Unemployment, total (% of total labor force)",0.0025263159
"Population ages 55-59, female (% of female population)",0.0025263159
"People using basic sanitation services, rural (% of rural population)",0.0025263159
People using safely managed drinking water services (% of population),0.0025263159
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0025263159
"Net intake rate in grade 1, male (% of official school-age population)",0.0025263159
Newborns protected against tetanus (%),0.0025263159
"Population ages 35-39, male (% of male population)",0.0025263159
"Population ages 00-04, female (% of female population)",0.0025263159
Women's share of population ages 15+ living with HIV (%),0.0025263159
"School enrollment, tertiary (% gross)",0.0025263159
"School enrollment, secondary, male (% net)",0.0025263159
Sex ratio at birth (male births per female births),0.0025263159
"Immunization, measles (% of children ages 12-23 months)",0.0025263159
Female population 75-79,0.0025263159
Population ages 0-14 (% of total),0.0025263159
"School enrollment, primary, male (% net)",0.0025263159
"Immunization, Hib3 (% of children ages 12-23 months)",0.0025263159
"Labor force, female",0.0025263159
"School enrollment, primary, female (% gross)",0.002105263
Male population 60-64,0.002105263
"Employment in agriculture, female (% of female employment)",0.002105263
"School enrollment, primary, female (% net)",0.002105263
Malaria cases reported,0.002105263
"Access to anti-retroviral drugs, female (%)",0.002105263
"Expected years of schooling, male",0.002105263
"Access to anti-retroviral drugs, male (%)",0.002105263
"Population ages 60-64, female (% of female population)",0.002105263
"Population ages 05-09, male (% of male population)",0.002105263
Female population 60-64,0.002105263
"Population ages 40-44, female (% of female population)",0.002105263
Female population 50-54,0.002105263
"Population ages 65-69, female (% of female population)",0.002105263
"Persistence to grade 5, female (% of cohort)",0.0016842105
"Persistence to last grade of primary, male (% of cohort)",0.0016842105
"Population ages 75-79, female (% of female population)",0.0016842105
"Physicians (per 1,000 people)",0.0016842105
"Age population, age 25, male, interpolated",0.0016842105
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.0016842105
"Population ages 15-64, female (% of total)",0.0016842105
"School enrollment, secondary, male (% gross)",0.0016842105
"Population ages 05-09, female (% of female population)",0.0016842105
"Labor force, total",0.0016842105
Ratio of female to male youth unemployment rate (%) (national estimate),0.0016842105
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0016842105
"Secondary education, teachers (% female)",0.0016842105
Male population 25-29,0.0016842105
Male population 30-34,0.0016842105
Male population 50-54,0.0016842105
Out-of-pocket health expenditure (% of total expenditure on health),0.0016842105
"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0016842105
"Population ages 70-74, female (% of female population)",0.0016842105
"Population ages 70-74, male (% of male population)",0.0016842105
"Population, female (% of total)",0.0016842105
"Population ages10-14, male (% of male population)",0.0016842105
Number of infant deaths,0.0016842105
"School enrollment, tertiary, male (% gross)",0.0016842105
Rural population,0.0016842105
"Population ages 15-19, male (% of male population)",0.0016842105
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0.0016842105
"Start-up procedures to register a business, female (number)",0.0016842105
"Improved water source, urban (% of urban population with access)",0.0016842105
"Tuberculosis death rate (per 100,000 people), including HIV",0.0016842105
"Improved water source, rural (% of rural population with access)",0.0016842105
"Total debt service (% of exports of goods, services and primary income)",0.0016842105
Adults (ages 15+) living with HIV,0.0016842105
Forest area (sq. km),0.0016842105
"Gross graduation ratio, primary, female (%)",0.0016842105
"Population ages 80 and older, male (% of male population)",0.0012631579
"Prevalence of overweight, male (% of male adults)",0.0012631579
Health expenditure per capita (current US$),0.0012631579
Net official development assistance received (current US$),0.0012631579
Male population 80+,0.0012631579
"Primary education, teachers (% female)",0.0012631579
"Health expenditure per capita, PPP (constant 2011 international $)",0.0012631579
"Public spending on education, total (% of GDP)",0.0012631579
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.0012631579
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0012631579
"Unemployment, female (% of female labor force) (national estimate)",0.0012631579
"Unemployment, male (% of male labor force) (national estimate)",0.0012631579
"People practicing open defecation, urban (% of urban population)",0.0012631579
"People using basic drinking water services, urban (% of urban population)",0.0012631579
"Expected years of schooling, female",0.0012631579
Female population 80+,0.0012631579
Female population 70-74,0.0012631579
Female population 65-69,0.0012631579
"People using safely managed sanitation services, urban  (% of urban population)",0.0012631579
Female population 55-59,0.0012631579
"Age population, age 20, female, interpolated",0.0012631579
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0012631579
"Employers, male (% of male employment)",0.0012631579
"Start-up procedures to register a business, male (number)",0.0012631579
"School enrollment, secondary, female (% gross)",0.0012631579
Ratio of female to male labor force participation rate (%) (national estimate),0.00084210525
"School enrollment, secondary (% net)",0.00084210525
"People using basic sanitation services, urban  (% of urban population)",0.00084210525
"Age population, age 18, male, interpolated",0.00084210525
