,0
GDP growth (annual %),0.017475728
"School enrollment, primary (gross), gender parity index (GPI)",0.017475728
"Lower secondary completion rate, female (% of relevant age group)",0.015533981
Internet users (per 100 people),0.013592233
"GNI per capita, Atlas method (current US$)",0.013592233
GINI index (World Bank estimate),0.013592233
"School enrollment, secondary, female (% gross)",0.013592233
"Death rate, crude (per 1,000 people)",0.011650485
"Employment to population ratio, 15+, female (%) (national estimate)",0.011650485
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.011650485
"Labor force, female (% of total labor force)",0.009708738
Mobile cellular subscriptions (per 100 people),0.009708738
"Government expenditure on education, total (% of GDP)",0.009708738
Population growth (annual %),0.009708738
Fixed telephone subscriptions (per 100 people),0.009708738
Ratio of female to male labor force participation rate (%) (national estimate),0.009708738
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.009708738
"School enrollment, secondary (% gross)",0.009708738
"School enrollment, secondary, male (% gross)",0.009708738
"Employment in agriculture, female (% of female employment)",0.009708738
"Educational attainment, completed lower secondary, population 25+ years, female (%)",0.009708738
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.009708738
"Employment to population ratio, 15+, total (%) (national estimate)",0.0077669905
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0077669905
GDP per capita (Current US$),0.0077669905
"Employment in services, male (% of male employment)",0.0077669905
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.0077669905
"Government expenditure per student, primary (% of GDP per capita)",0.0077669905
"Gross graduation ratio, tertiary, female (%)",0.0077669905
"Health expenditure, private (% of GDP)",0.0077669905
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.0077669905
CO2 emissions (kg per PPP $ of GDP),0.0077669905
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.0077669905
"Birth rate, crude (per 1,000 people)",0.0077669905
"Population ages 60-64, female (% of female population)",0.0077669905
"Population ages 15-19, male (% of male population)",0.0077669905
"Age dependency ratio, old",0.0077669905
"Population ages 40-44, female (% of female population)",0.0077669905
"Primary education, pupils (% female)",0.0077669905
People using basic sanitation services (% of population),0.0058252425
"School enrollment, secondary (gross), gender parity index (GPI)",0.0058252425
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.0058252425
Rural population growth (annual %),0.0058252425
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0058252425
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0058252425
"School enrollment, primary, female (% gross)",0.0058252425
"Secondary education, teachers (% female)",0.0058252425
"School enrollment, secondary, male (% net)",0.0058252425
"Employers, male (% of male employment)",0.0058252425
"Self-employed, female (% of female employment)",0.0058252425
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.0058252425
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",0.0058252425
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",0.0058252425
Trade (% of GDP),0.0058252425
"Cost of business start-up procedures, female (% of GNI per capita)",0.0058252425
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",0.0058252425
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0058252425
GDP per person employed (constant 2011 PPP $),0.0058252425
Prevalence of anemia among pregnant women (%),0.0058252425
"Own-account workers, female (% of females employed)",0.0058252425
"Net ODA provided, total (% of GNI)",0.0058252425
"Mortality rate, infant (per 1,000 live births)",0.0058252425
People using safely managed drinking water services (% of population),0.0058252425
"Population ages 20-24, female (% of female population)",0.0058252425
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.0058252425
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.0058252425
"Population ages 25-29, female (% of female population)",0.0058252425
"Population ages 35-39, female (% of female population)",0.0058252425
"Inflation, consumer prices (annual %)",0.0058252425
"Health expenditure, total (% of GDP)",0.0058252425
"Health expenditure, public (% of GDP)",0.0058252425
"Gross graduation ratio, tertiary, male (%)",0.0058252425
"Population ages 45-49, female (% of female population)",0.0058252425
"Population ages 50-54, female (% of female population)",0.0058252425
"Population ages 55-59, female (% of female population)",0.0058252425
"GNI per capita, PPP (current international $)",0.0058252425
"Population ages 70-74, female (% of female population)",0.0058252425
"Lower secondary completion rate, male (% of relevant age group)",0.0058252425
Years,0.0058252425
Bilateral ODA commitments that is untied (current US$),0.0058252425
"Age at first marriage, female",0.0058252425
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.0038834952
Proportion of women in ministerial level positions (%),0.0038834952
"School enrollment, primary (% gross)",0.0038834952
"Health expenditure, public (% of total health expenditure)",0.0038834952
Health expenditure per capita (current US$),0.0038834952
Gross capital formation (% of GDP),0.0038834952
"School enrollment, primary, male (% gross)",0.0038834952
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),0.0038834952
"School enrollment, secondary (% net)",0.0038834952
"Secondary education, pupils (% female)",0.0038834952
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.0038834952
"Survival to age 65, male (% of cohort)",0.0038834952
"Time required to start a business, female (days)",0.0038834952
"Expected years of schooling, male",0.0038834952
"Time-related underemployment, female (% of employment)",0.0038834952
"Tuberculosis death rate (per 100,000 people), including HIV",0.0038834952
"Employment to population ratio, 15+, male (%) (national estimate)",0.0038834952
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.0038834952
"Employment in industry, male (% of male employment)",0.0038834952
Proportion of seats held by women in national parliaments (%),0.0038834952
"Progression to secondary school, male (%)",0.0038834952
"Primary education, teachers (% female)",0.0038834952
"Population ages 35-39, male (% of male population)",0.0038834952
"Population ages 15-19, female (% of female population)",0.0038834952
"Physicians (per 1,000 people)",0.0038834952
"Population ages 15-64, male (% of total)",0.0038834952
People using safely managed sanitation services (% of population),0.0038834952
"People using basic sanitation services, rural (% of rural population)",0.0038834952
"Population ages 20-24, male (% of male population)",0.0038834952
"Population ages 25-29, male (% of male population)",0.0038834952
People using basic drinking water services (% of population),0.0038834952
"Population ages 80 and older, male (% of male population)",0.0038834952
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0038834952
"Population, male (% of total)",0.0038834952
Lifetime risk of maternal death (%),0.0038834952
"Prevalence of obesity, female (% of female population ages 18+)",0.0038834952
