,0
"Age dependency ratio, young",1.6229110332856354
"Population ages 00-14, female (% of total)",1.5787797812268547
"Population ages 00-14, male (% of total)",1.5440517999521437
Urban population (% of total),1.5215580777519269
Rural population (% of total population),1.5215580777519269
Population ages 0-14 (% of total),1.51027965987433
Population ages 00-14 (% of total),1.51027965987433
"Population ages 00-04, female (% of female population)",1.4835385017958962
"Population ages 05-09, female (% of female population)",1.4673669498511108
"Population ages 80 and older, male (% of male population)",1.3762385016837628
"Population ages 75-79, male (% of male population)",1.3688649310358332
"Population, female (% of total)",1.3519032766709658
"Population, male (% of total)",1.3519032766709658
"Population ages 00-04, male (% of male population)",1.3243091633491684
"Population ages 65-69, male (% of male population)",1.3056625668754598
"Population ages 15-19, female (% of female population)",1.3003210985104463
"Population ages 05-09, male (% of male population)",1.274118034384573
"Population ages10-14, male (% of male population)",1.2489464091294114
Urban population growth (annual %),1.2449549311007582
"Population ages 70-74, male (% of male population)",1.2404549472463327
"Population ages 15-64, male (% of total)",1.2240236804124502
"Population ages 80 and older, female (% of female population)",1.2225056849510114
"Population ages 50-54, male (% of male population)",1.2222549426878646
Rural population growth (annual %),1.220022785239741
Population growth (annual %),1.219256353303996
Country_code,1.2033424910563157
"GNI per capita, PPP (current international $)",1.201674561920786
"Population ages 15-19, male (% of male population)",1.1901025438750055
Population ages 65 and above (% of total),1.1739813224098956
"Population ages 55-59, male (% of male population)",1.1729594551216276
"Population ages 75-79, female (% of female population)",1.172112526639903
"Population ages 65 and above, male (% of total)",1.1683655065387346
"Population ages 60-64, female (% of female population)",1.1581289167550883
"Population ages 60-64, male (% of male population)",1.152828568518065
"Population ages 45-49, female (% of female population)",1.1481424811492338
"Population ages 65-69, female (% of female population)",1.1431544251497847
"Population ages 10-14, female (% of female population)",1.1431424893533002
"Population ages 65 and above, female (% of total)",1.1407787839737291
Male population 45-49,1.1389249554292618
Male population 65-69,1.1371025079599482
"Age dependency ratio, old",1.1245187929108447
"Population ages 45-49, male (% of male population)",1.1240268087417764
GDP per person employed (constant 2011 PPP $),1.1198078041803954
Female population 45-49,1.1144526078077173
Population ages 15-64 (% of total),1.1143294593831206
Male population 50-54,1.1092044473868183
"Mortality rate, adult, male (per 1,000 male adults)",1.1024683174535934
Female population 40-44,1.1005617065374078
Male population 40-44,1.096720735125101
Female population 50-54,1.0953687102632461
Age dependency ratio (% of working-age population),1.0946376540870628
"Population ages 50-54, female (% of female population)",1.0927121098793604
Male population 55-59,1.08446651903636
GDP per capita (Current US$),1.0730385963958637
Female population 55-59,1.072799935928157
