,0
Urban population (% of total),1.4952266938351062
Rural population (% of total population),1.494110622406535
"Population ages 80 and older, female (% of female population)",1.4440322328997208
"Population ages 45-49, female (% of female population)",1.443189709861488
"Population ages 65 and above, female (% of total)",1.3786668638120858
"Population ages 55-59, male (% of male population)",1.356046642306401
"Population ages 00-14, male (% of total)",1.3327938073592196
"Mortality rate, neonatal (per 1,000 live births)",1.313058796787872
Rural population growth (annual %),1.3076558221580832
"GNI per capita, PPP (current international $)",1.3068250151484762
Population ages 65 and above (% of total),1.3009107151041421
"Population ages 15-64, male (% of total)",1.2991359193413605
"Population ages 40-44, female (% of female population)",1.2735348227046628
Population ages 00-14 (% of total),1.266375646388449
Population ages 0-14 (% of total),1.266375646388449
"Population ages 05-09, male (% of male population)",1.2647188220883518
"Population ages10-14, male (% of male population)",1.2644195940349232
"Population ages 15-19, male (% of male population)",1.2620313541932577
"Population ages 00-04, male (% of male population)",1.2382320076021656
"Population ages 70-74, female (% of female population)",1.237251825994329
"Population ages 40-44, male (% of male population)",1.236394987025971
"Age dependency ratio, young",1.2315154308300174
"Population ages 15-19, female (% of female population)",1.2271542728016867
GDP per person employed (constant 2011 PPP $),1.2218106612657396
Women's share of population ages 15+ living with HIV (%),1.209837334400893
"Population ages 60-64, male (% of male population)",1.206994217430128
"Population ages 50-54, female (% of female population)",1.2065058127800232
"Population ages 50-54, male (% of male population)",1.2014119138310706
"Population ages 45-49, male (% of male population)",1.1991651660296792
"Population ages 05-09, female (% of female population)",1.1900664957143334
"Population ages 00-14, female (% of total)",1.1891027626589508
"Population ages 65-69, female (% of female population)",1.1834171438016794
Population growth (annual %),1.181169718386565
"Population ages 65 and above, male (% of total)",1.1591953344483419
"Population ages 55-59, female (% of female population)",1.1566010756508716
"Population ages 35-39, female (% of female population)",1.1506182270807974
Prevalence of anemia among children (% of children under 5),1.1462852966501402
"Population ages 35-39, male (% of male population)",1.131527109082648
Children (0-14) living with HIV,1.1278773169507754
"Population ages 00-04, female (% of female population)",1.1173998436135553
"Population ages 75-79, female (% of female population)",1.1138747367220825
"Population ages 60-64, female (% of female population)",1.1018673153086835
Age dependency ratio (% of working-age population),1.086927703977624
"Population ages 70-74, male (% of male population)",1.0790578229596761
"Population ages 30-34, male (% of male population)",1.0786862007136881
"Population ages 20-24, male (% of male population)",1.074146455838076
Population ages 15-64 (% of total),1.0723804921934241
"Population ages 10-14, female (% of female population)",1.0650797557790481
"Age dependency ratio, old",1.0609856754502762
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.0387266022264372
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.0121297897074037
"Population ages 80 and older, male (% of male population)",1.0030688929883556
"Population ages 75-79, male (% of male population)",0.9966866440165272
"Population ages 65-69, male (% of male population)",0.9963244651056335
"Population, male (% of total)",0.9940298776376759
"Population, female (% of total)",0.9940298776376759
"Population ages 20-24, female (% of female population)",0.9938873885005326
"Prevalence of HIV, total (% of population ages 15-49)",0.9883641170658781
Country_code,0.9727946756026051
Proportion of seats held by women in national parliaments (%),0.9673144171394079
"Health expenditure per capita, PPP (constant 2011 international $)",0.9654348576022929
"Health expenditure per capita, PPP",0.9654348576022929
"Mortality rate, under-5 (per 1,000)",0.962228904201353
"Mortality rate, under-5 (per 1,000 live births)",0.9609728603625194
"Population ages 15-64, female (% of total)",0.9603769952500847
Fixed telephone subscriptions (per 100 people),0.9579818320442532
GDP per capita (Current US$),0.9558659142851367
"Mortality rate, infant (per 1,000 live births)",0.9422714729966635
Number of people who are undernourished,0.9377590193742269
"GNI per capita, Atlas method (current US$)",0.9367980261178395
Urban population growth (annual %),0.9326733627789867
Lifetime risk of maternal death (1 in: rate varies by country),0.9174561701061177
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.9125649527663597
Incidence of HIV (% of uninfected population ages 15-49),0.9104937087118605
Children orphaned by HIV/AIDS,0.8880581237998759
"Population ages 30-34, female (% of female population)",0.8698145723174808
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.8562593827507636
Health expenditure per capita (current US$),0.8364372566918701
Mobile cellular subscriptions (per 100 people),0.83235247650624
"Population ages 25-29, male (% of male population)",0.8308500211224894
"Labor force, female (% of total labor force)",0.775876569363616
AIDS estimated deaths (UNAIDS estimates),0.7671729516347006
"Cost of business start-up procedures, female (% of GNI per capita)",0.7660961544538984
"Cost of business start-up procedures, male (% of GNI per capita)",0.7657734117204413
