,0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.082114377146244
"GNI per capita, Atlas method (current US$)",0.9224662818433682
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.895066881304839
"Population ages 25-29, female (% of female population)",0.8908965102608071
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.8441754520324787
"Population ages10-14, male (% of male population)",0.8257738637755172
Male population 80+,0.80112830596254
"Mortality rate, neonatal (per 1,000 live births)",0.7895525774754493
Internet users (per 100 people),0.7701740268611841
"Age population, age 0, female, interpolated",0.7693406622744532
"Population ages 00-04, female (% of female population)",0.7684598838323724
"Age population, age 25, male, interpolated",0.7665647042809778
"Age population, age 0, male, interpolated",0.7599003331124852
"Mortality rate, under-5 (per 1,000)",0.7511046002904642
"Population ages 50-54, female (% of female population)",0.7482193269012658
"Mortality rate, under-5 (per 1,000 live births)",0.7475615163902378
"Age population, age 24, male, interpolated",0.7447985322915915
"Mortality rate, infant (per 1,000 live births)",0.7380326276202775
"Age dependency ratio, young",0.72987152835569
Population ages 0-14 (% of total),0.7296145842128765
Population ages 00-14 (% of total),0.7296145842128765
"Population ages 80 and older, male (% of male population)",0.7274644731505271
"Population ages 00-14, female (% of total)",0.727177976595347
"Population ages 50-54, male (% of male population)",0.7253592577570576
Female population 25-29,0.7251171284159759
Male population 25-29,0.7202656166236745
"Age population, age 25, female, interpolated",0.7201723491597694
"Population ages 00-14, male (% of total)",0.7201544831561364
"Age population, age 24, female, interpolated",0.7184746081998101
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.7104381998285061
"Labor force, female",0.7088621497202969
"Population ages 55-59, female (% of female population)",0.7079874146050011
"Age population, age 23, male, interpolated",0.7052879428340699
"Population ages 10-14, female (% of female population)",0.6991523454129274
Male population 60-64,0.6991360760333221
"Age population, age 23, female, interpolated",0.6916721040887313
"Age population, age 11, female, interpolated",0.690023338041192
"Age population, age 11, male, interpolated",0.6876789212534979
"Age population, age 12, male, interpolated",0.685263004949519
"Age population, age 01, male, interpolated",0.6794419074099745
"Age population, age 01, female, interpolated",0.676575230436155
"Age population, age 12, female, interpolated",0.6723081178664809
"Labor force, total",0.6722297989850763
"Population ages 55-59, male (% of male population)",0.6698674153477833
"Population ages 40-44, female (% of female population)",0.6695932297933016
Male population 50-54,0.6680362414591088
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.6638037175770211
Rural population growth (annual %),0.658807261525375
"GNI per capita, PPP (current international $)",0.6521780132332684
"Age population, age 02, male, interpolated",0.6505348986704869
"Age population, age 13, female, interpolated",0.6485798212870029
Male population 00-04,0.6483596973013446
Male population 20-24,0.6449798363123134
"Age population, age 13, male, interpolated",0.643555421594308
"Age population, age 22, male, interpolated",0.6412017279489826
Male population 10-14,0.639216323588258
"Age population, age 02, female, interpolated",0.6366101329600067
"Population ages 15-64, male",0.6345519189490267
Female population 00-04,0.6291864390314472
Female population 10-14,0.6275631219711364
Female population 20-24,0.6273453626510537
"Population ages 15-64, total",0.6240390277684336
"Age population, age 22, female, interpolated",0.6232267061558219
"Age population, age 03, male, interpolated",0.6185445422859246
"Age population, age 10, female, interpolated",0.6183651242728603
"Age population, age 10, male, interpolated",0.6155041376042387
Years,0.6139505179597515
"Population ages 15-64, male (% of total)",0.6137324293787922
"Age population, age 14, male, interpolated",0.613577249219946
GDP per capita (Current US$),0.6131431720039531
"Population ages 15-64, female",0.611936954945453
"Population ages 00-04, male (% of male population)",0.6078403276408317
"Population ages 15-19, female (% of female population)",0.6058932094140039
Mobile cellular subscriptions (per 100 people),0.6029115139087198
"Age population, age 14, female, interpolated",0.5989560704935655
Male population 55-59,0.5971552213524725
"Age population, age 03, female, interpolated",0.5959872578091361
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.594185321389515
Female population 50-54,0.5872536548599647
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.5833630263995153
Male population 30-34,0.5772243181896171
"Age population, age 21, male, interpolated",0.5762291385778968
Female population 30-34,0.5611796396344342
Number of under-five deaths,0.5569129392202814
"Age population, age 09, male, interpolated",0.5567930035257278
"Age population, age 04, female, interpolated",0.5545599980020104
Prevalence of anemia among pregnant women (%),0.5541428315019004
"Age population, age 04, male, interpolated",0.5515206130856849
GDP per person employed (constant 2011 PPP $),0.5514734064130851
Female population 55-59,0.5505203280442381
"Age population, age 21, female, interpolated",0.5480430243886316
"Age population, age 09, female, interpolated",0.5469451967794245
"Population ages 15-19, male (% of male population)",0.5462135202522052
Urban population growth (annual %),0.5449151532311092
"Population, male",0.5384746523173631
"Population ages 80 and older, female (% of female population)",0.5362028234221903
"Population ages 25-29, male (% of male population)",0.5311645573489834
"Age population, age 15, male, interpolated",0.5275141075185423
"Population, total",0.5273399380341524
Male population 75-79,0.5267296594897761
Population ages 15-64 (% of total),0.5264802965909445
Male population 35-39,0.5255949935372997
"Age population, age 15, female, interpolated",0.5248814430553825
"Population, female",0.5243023519522887
"Population ages 65 and above, male (% of total)",0.5230480964389326
Population ages 65 and above (% of total),0.5209661309355553
Age dependency ratio (% of working-age population),0.5179646639721893
Trade (% of GDP),0.5073147374161371
Prevalence of anemia among children (% of children under 5),0.5038238246287654
"Age dependency ratio, old",0.49958553428805685
Number of infant deaths,0.4957818051620628
"Age population, age 05, female, interpolated",0.49411703818405117
"Population ages 65-69, female (% of female population)",0.49385003670907235
"Age population, age 20, male, interpolated",0.4922278730612626
"Age population, age 05, male, interpolated",0.49140009363715764
Female population 35-39,0.490387455291559
Male population 45-49,0.48369758368073956
"Population ages 70-74, female (% of female population)",0.4814229871258964
Rural population,0.4804501059712538
"Age population, age 06, male, interpolated",0.47940634926172354
"Age population, age 08, female, interpolated",0.4787004952571361
Female population 60-64,0.47595829675465606
"Age population, age 06, female, interpolated",0.46964826042012664
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.46954272325065194
"Population ages 30-34, male (% of male population)",0.46402024722178714
"Age population, age 08, male, interpolated",0.4628656998004921
"Age population, age 16, male, interpolated",0.45595735808784665
"Age population, age 16, female, interpolated",0.455670640326566
Female population 45-49,0.4486894557538379
Female population 80+,0.44640884067637665
"Age population, age 07, female, interpolated",0.44548147318320974
"Population, female (% of total)",0.44468192601893985
"Population, male (% of total)",0.44468192601893985
"Age population, age 20, female, interpolated",0.4439149412298371
"Age population, age 07, male, interpolated",0.4439014661804088
"Population ages 15-64, female (% of total)",0.44311816331410103
"Population ages 45-49, female (% of female population)",0.4410872660042773
"Population ages 45-49, male (% of male population)",0.44007639806367704
Female population 05-09,0.43936875895876426
"Population ages 60-64, male (% of male population)",0.4392665408079779
"Population ages 35-39, male (% of male population)",0.436736259023764
Male population 05-09,0.4348568365662031
"Population ages 40-44, male (% of male population)",0.4260214034677401
"Population ages 60-64, female (% of female population)",0.42104845773681543
"School enrollment, tertiary (% gross)",0.42016278995867196
"Children out of school, primary, male",0.41974570789282484
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.41733230056649107
Male population 70-74,0.41709030192226426
