,0
"Mortality rate, adult, female (per 1,000 female adults)",1.2327057771180483
"Mortality rate, neonatal (per 1,000 live births)",1.1675148709821355
"Mortality rate, under-5 (per 1,000 live births)",1.1143413660880856
"Mortality rate, under-5 (per 1,000)",1.1105495328280308
"Survival to age 65, female (% of cohort)",1.1016436282323283
"Mortality rate, adult, male (per 1,000 male adults)",1.0080510183120577
"Mortality rate, infant (per 1,000 live births)",0.961662215734691
"Survival to age 65, male (% of cohort)",0.856035848377624
Female population 40-44,0.8496490879727574
Female population 80+,0.8461808818701986
Female population 35-39,0.8319106073977571
Prevalence of anemia among children (% of children under 5),0.8282376721289784
Male population 40-44,0.8186235316014692
Female population 60-64,0.7983966905596298
Male population 45-49,0.7813996355030071
Female population 75-79,0.7769938796825504
"Population ages 65 and above, total",0.7762445102971207
Male population 65-69,0.7738703086292804
Male population 35-39,0.7736761550603082
Prevalence of anemia among pregnant women (%),0.7727713819315007
"Population ages 65 and above, female",0.7702383939051947
Female population 45-49,0.7637826225550692
Female population 50-54,0.7575940541322472
Male population 50-54,0.7572704639286831
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.75602583669647
Urban population,0.7488385468424714
Female population 55-59,0.7455787385331876
"Population ages 15-64, female",0.7289761707402032
Female population 65-69,0.7274399564321019
Male population 80+,0.7261015012128103
Female population 70-74,0.7229939946524615
"Population ages 65 and above, male",0.7184725771399383
"Age population, age 07, female, interpolated",0.7147260333083012
"Age population, age 13, male, interpolated",0.7144711614697572
"Age population, age 14, male, interpolated",0.7141339690043629
"Age population, age 12, male, interpolated",0.7140005563732528
"Age population, age 14, female, interpolated",0.7103191753771085
"Age population, age 08, female, interpolated",0.7093344960830694
"Age population, age 13, female, interpolated",0.7087989776283186
Male population 10-14,0.7085937309450023
"Age population, age 16, male, interpolated",0.7084554363736673
"Age population, age 15, male, interpolated",0.7072575258523028
"Age population, age 12, female, interpolated",0.7065938904422611
Female population 05-09,0.7061559516448743
"Age population, age 06, female, interpolated",0.7057551023480273
"Age population, age 07, male, interpolated",0.7039877574934064
"Age population, age 11, female, interpolated",0.7035431113901711
"Age population, age 09, female, interpolated",0.7027004007468629
"Age population, age 10, male, interpolated",0.7023665930554301
"Age population, age 15, female, interpolated",0.7022386138146643
"Age population, age 10, female, interpolated",0.7022007734975451
"Age population, age 06, male, interpolated",0.7020103358258911
Male population 60-64,0.7016779624992227
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.7009092598113158
"Age population, age 11, male, interpolated",0.7006153718634378
Female population 10-14,0.6999605699157878
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.6990979605714944
"Population ages 15-64, total",0.6986615600027966
"Age population, age 09, male, interpolated",0.6980409316357292
Male population 05-09,0.6969552046180798
"Age population, age 16, female, interpolated",0.6961605045538639
"Age population, age 05, female, interpolated",0.6955508194405673
"Population, female",0.6939755417350764
"Age population, age 08, male, interpolated",0.6932602499879632
"Age population, age 05, male, interpolated",0.6918712933354061
"Age population, age 17, female, interpolated",0.6908053706587718
"Age population, age 04, female, interpolated",0.6899093210981668
"Age population, age 17, male, interpolated",0.6892875103056983
"Age population, age 25, female, interpolated",0.6874479549605548
Female population 00-04,0.6852341997005844
"Population ages 00-14, total",0.6848260872507801
"Age population, age 18, female, interpolated",0.6836967629324264
"Population ages 0-14, female",0.6831042541597392
"Age population, age 02, female, interpolated",0.6824222146134868
"Population, total",0.6821636475944008
Male population 15-19,0.6816771651058962
Female population 25-29,0.6808431797672805
"Population ages 15-64, male",0.6805474936135094
"Population ages 0-14, male",0.6800655287345947
"Age population, age 02, male, interpolated",0.6800462875096343
"Age population, age 0, female, interpolated",0.679891493982343
Male population 00-04,0.6797532159930784
Male population 25-29,0.6795314701213142
"Age population, age 04, male, interpolated",0.6790673154877589
Female population 15-19,0.6785876807976696
"Age population, age 03, female, interpolated",0.6776496137003285
"Age population, age 24, female, interpolated",0.6775803745866891
Female population 30-34,0.6773626915719309
"Age population, age 01, female, interpolated",0.6746326798734317
"Age population, age 0, male, interpolated",0.6744076388568643
"Age population, age 01, male, interpolated",0.6740020861758653
"Population, male",0.6726348233748807
"Age population, age 03, male, interpolated",0.671875597214044
"Age population, age 18, male, interpolated",0.6692401118966749
"Age population, age 19, female, interpolated",0.6690053885641527
Male population 30-34,0.666163899437942
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.6631523027092299
"Age population, age 23, female, interpolated",0.6607367490054892
"Age population, age 25, male, interpolated",0.6595844993457045
"Age population, age 24, male, interpolated",0.6570797675481725
"Age population, age 20, female, interpolated",0.6567944370067593
Male population 70-74,0.6560266171117553
"Age population, age 19, male, interpolated",0.6527030465936514
"Age population, age 21, female, interpolated",0.6480295397796754
"Age population, age 22, female, interpolated",0.6447026799341549
Female population 20-24,0.6438114976727305
"Age population, age 23, male, interpolated",0.6428724812231907
Male population 75-79,0.641899763592892
Male population 55-59,0.6418119179023729
"Age population, age 20, male, interpolated",0.6408351995658887
"Age population, age 21, male, interpolated",0.6379841017605123
Adults (ages 15+) newly infected with HIV,0.6378378641290845
AIDS estimated deaths (UNAIDS estimates),0.6363741927865116
"Age population, age 22, male, interpolated",0.6356112446374556
"Age dependency ratio, young",0.6345052157604769
Number of infant deaths,0.6331648859557726
Male population 20-24,0.6313066976355497
"Access to anti-retroviral drugs, female (%)",0.6102842856778712
Age dependency ratio (% of working-age population),0.5964863771031104
"GNI, Atlas method (current US$)",0.5832132569480244
Rural population,0.5781008529917488
Antiretroviral therapy coverage (% of people living with HIV),0.5765319782357456
"Population ages 00-14, male (% of total)",0.5693785585070807
Number of neonatal deaths,0.558582415158043
Country_code,0.5563710640652841
Number of under-five deaths,0.5524948294443353
"Access to anti-retroviral drugs, male (%)",0.5511257394810805
Population ages 00-14 (% of total),0.5451542616324756
Population ages 0-14 (% of total),0.5451542616324756
GDP per person employed (constant 2011 PPP $),0.5435609584681913
GDP (current US$),0.5373684757789641
Population ages 15-64 (% of total),0.5360742463209203
"Population ages 15-64, male (% of total)",0.5318418207987896
"Labor force, total",0.5300137302524033
"Population ages 00-04, male (% of male population)",0.5199560029998826
"Population ages 00-14, female (% of total)",0.5145837629387695
"Population ages 00-04, female (% of female population)",0.512678809408126
Lifetime risk of maternal death (1 in: rate varies by country),0.508529931467516
"Birth rate, crude (per 1,000 people)",0.5051525685674545
Mobile cellular subscriptions (per 100 people),0.49856566303073135
"Population ages 15-64, female (% of total)",0.49824616666108024
Children (ages 0-14) newly infected with HIV,0.4958214297467287
"Labor force, female",0.4925073432378748
Number of maternal deaths,0.4852484582510477
"GNI per capita, PPP (current international $)",0.48286248665101184
Fixed telephone subscriptions (per 100 people),0.4576503093200559
"PPP conversion factor, GDP (LCU per international $)",0.4534614595151014
Internet users (per 100 people),0.42591007239781087
GDP per capita (Current US$),0.42533108938290987
"Health expenditure per capita, PPP",0.4190907062841709
"Health expenditure per capita, PPP (constant 2011 international $)",0.4190907062841709
Net official development assistance and official aid received (current US$),0.41611220648604963
