,0
Urban population (% of total),1.9684094733150057
Rural population (% of total population),1.9684094733150057
"Labor force, female (% of total labor force)",1.7906798616568227
"PPP conversion factor, private consumption (LCU per international $)",1.7573808194292087
"Population ages 00-14, female (% of total)",1.7357933460560213
Population ages 0-14 (% of total),1.7252594355221107
Population ages 00-14 (% of total),1.7252594355221107
"Population ages 00-14, male (% of total)",1.7222265557035163
"Population ages 55-59, male (% of male population)",1.7176935225990548
"Population ages 75-79, female (% of female population)",1.6919046289530184
"Population, female (% of total)",1.684033135367239
"Population, male (% of total)",1.684033135367239
"Population ages 75-79, male (% of male population)",1.6757779646120683
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.6740978986462882
Population growth (annual %),1.6726895186664794
"Population ages 65 and above, female",1.6662532961588286
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.6658124010750766
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.661654587988692
"Population ages 65 and above, total",1.6575231374286694
"Population ages 65 and above, male",1.6474324344808242
Male population 80+,1.6248022207791815
Male population 75-79,1.6011747900088935
Female population 80+,1.5982080477564375
Female population 75-79,1.5869646615130508
Male population 70-74,1.5825978642891108
"Population ages 00-04, female (% of female population)",1.5767684423882606
Female population 70-74,1.5721378216862114
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.5551613457811644
"Population ages 00-04, male (% of male population)",1.5444604725802904
"Population ages 65-69, female (% of female population)",1.541631555465659
Prevalence of anemia among children (% of children under 5),1.534896359444749
"Population ages 65-69, male (% of male population)",1.53371566183548
"Population ages 65 and above, female (% of total)",1.531163452140413
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.5230382440152053
"Population ages 10-14, female (% of female population)",1.5221956672797712
Proportion of seats held by women in national parliaments (%),1.5163852078978832
Population ages 65 and above (% of total),1.5151547254174007
"Population ages 65 and above, male (% of total)",1.5118020595647348
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.5066255561739457
GDP per person employed (constant 2011 PPP $),1.5046603256372868
"Population ages 60-64, male (% of male population)",1.4942251919878675
"Population ages10-14, male (% of male population)",1.493000655941903
"Population ages 80 and older, male (% of male population)",1.4883070360697115
"Population ages 70-74, male (% of male population)",1.4819860422487177
"Population ages 05-09, male (% of male population)",1.481306298711831
"Population ages 60-64, female (% of female population)",1.4812453147222755
Male population 65-69,1.4775917592830061
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.4775733914074949
"PPP conversion factor, GDP (LCU per international $)",1.4773033241731424
"Population ages 05-09, female (% of female population)",1.4761570167768343
Rural population growth (annual %),1.4676749796526116
"Population ages 70-74, female (% of female population)",1.458711895760285
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.4542371279977027
Female population 65-69,1.4523830394314288
"Population ages 80 and older, female (% of female population)",1.450443312491702
"Age dependency ratio, young",1.4405358918699953
"Age dependency ratio, old",1.4126069425124745
"Age population, age 05, male, interpolated",1.3997032882565512
"Age population, age 04, male, interpolated",1.3973042983575608
"Age population, age 02, female, interpolated",1.3968035424996623
"Age population, age 03, male, interpolated",1.3863382399512107
"Age population, age 02, male, interpolated",1.3862795396571874
"GNI per capita, PPP (current international $)",1.3862423018621195
"Population ages 25-29, male (% of male population)",1.3800663349718674
Male population 60-64,1.3800572831771014
Female population 60-64,1.3799533527160275
"Population ages 55-59, female (% of female population)",1.376497284974246
Female population 55-59,1.3705714647627114
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.3611309713936468
"Age population, age 03, female, interpolated",1.3587844848377477
"Age population, age 05, female, interpolated",1.3555334369438423
"Age population, age 06, male, interpolated",1.355136611547017
Fixed telephone subscriptions (per 100 people),1.3522809589722056
