,0
"Mortality rate, adult, male (per 1,000 male adults)",1.1953178141794016
Rural population growth (annual %),1.03821320474349
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.0375146774906372
"Population, male (% of total)",1.0359126151317397
"Population, female (% of total)",1.0359126151317397
"Labor force, female (% of total labor force)",1.0276550186452615
GDP per person employed (constant 2011 PPP $),1.0230225805885285
Male population 80+,1.0068677379970954
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.9970334183274265
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.9870008888001882
"Population ages 80 and older, male (% of male population)",0.9777203636379652
Prevalence of anemia among pregnant women (%),0.9572870720439148
Male population 60-64,0.94943508971685
"Age population, age 16, male, interpolated",0.926452389905853
"Age population, age 16, female, interpolated",0.9260814151825085
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.9238496151074864
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.9223259295502291
Male population 15-19,0.9138819950399664
Number of neonatal deaths,0.9131037172095133
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.9120475136319288
Female population 15-19,0.9116464961718374
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.9086216313530229
"Age population, age 15, male, interpolated",0.9042343697081905
"Age population, age 17, male, interpolated",0.9021354062774471
"Age population, age 17, female, interpolated",0.898596988439035
Number of under-five deaths,0.892485017795039
"Age population, age 15, female, interpolated",0.889626433212042
"Age population, age 18, female, interpolated",0.8832335653799486
Number of infant deaths,0.8807530534922698
"Age population, age 19, male, interpolated",0.8801343212925927
"Age population, age 18, male, interpolated",0.878391129059892
"Age population, age 19, female, interpolated",0.8755210583448261
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.8708739830154846
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.8529785259743488
"Age population, age 14, female, interpolated",0.8516837380843507
"Age population, age 14, male, interpolated",0.8489033664028247
"Age population, age 20, female, interpolated",0.8458941649766791
"Age population, age 20, male, interpolated",0.8455524906094696
Male population 65-69,0.8389355564412877
Proportion of seats held by women in national parliaments (%),0.8282764185564426
"Age population, age 13, male, interpolated",0.8271535013571369
Female population 60-64,0.8195875378397655
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.8192268998233496
Male population 55-59,0.8131798571835316
"Age population, age 13, female, interpolated",0.8098085102546371
Female population 30-34,0.8080536659854403
"Population ages 65 and above, male",0.8041119746584957
"GNI per capita, PPP (current international $)",0.803596894106489
"Age population, age 21, male, interpolated",0.8033765481881288
Female population 35-39,0.7996745848980733
"Age population, age 21, female, interpolated",0.7995282211444381
Male population 40-44,0.7965421243231985
"GNI per capita, Atlas method (current US$)",0.7943618346812369
Health expenditure per capita (current US$),0.7941471112103806
Female population 45-49,0.7904580315654637
Male population 30-34,0.7895312379476502
Female population 80+,0.7879605943260395
"Mortality rate, adult, female (per 1,000 female adults)",0.7838354027780043
"Age population, age 12, female, interpolated",0.7834993378409401
"Age population, age 12, male, interpolated",0.780134634573092
Female population 10-14,0.7756657484407079
Male population 10-14,0.7735400048696082
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.7698835493044962
"Population ages 35-39, female (% of female population)",0.7690504221325396
Female population 40-44,0.7651828271588521
"Age population, age 22, male, interpolated",0.7580630144275202
Male population 20-24,0.756343057831784
"Time required to start a business, male (days)",0.7558074144759326
