,0
"Population ages 00-14, female (% of total)",1.4758719522090915
Urban population (% of total),1.4126282456355532
Rural population (% of total population),1.4126282456355532
"Population ages 75-79, male (% of male population)",1.4121774879008153
"Population ages 70-74, male (% of male population)",1.4040219816152992
"Population ages 65 and above, male (% of total)",1.392633586427316
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.3844327412274005
Population ages 0-14 (% of total),1.3822701442516945
Population ages 00-14 (% of total),1.3822701442516945
"Age dependency ratio, young",1.381455025764855
"Population ages 00-14, male (% of total)",1.376396728451808
"Population ages 50-54, male (% of male population)",1.3617957549056081
Urban population growth (annual %),1.3529887321407814
"Population ages 15-64, male (% of total)",1.3414298099982627
"Population ages 65 and above, female (% of total)",1.339157766901599
"Population ages 00-04, female (% of female population)",1.3362162574566465
"Population ages 50-54, female (% of female population)",1.3288191717635687
"Population ages10-14, male (% of male population)",1.2589734702669344
"Population ages 45-49, female (% of female population)",1.2565176040625108
"Population ages 10-14, female (% of female population)",1.2554334014974324
"Population ages 00-04, male (% of male population)",1.2551771717205247
"Population ages 40-44, male (% of male population)",1.2548691848494065
"Population ages 70-74, female (% of female population)",1.2460158292213597
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.2367480675904554
"Population ages 45-49, male (% of male population)",1.2301744523773592
Rural population growth (annual %),1.2265999137803887
"Population ages 80 and older, male (% of male population)",1.2183693913121967
"Population ages 05-09, female (% of female population)",1.210320261755929
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.208490649625561
"Population ages 75-79, female (% of female population)",1.1968048967200116
"Population ages 15-64, female (% of total)",1.1960481847067532
"Mortality rate, adult, female (per 1,000 female adults)",1.193004570117163
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.1923758506401851
"Population ages 40-44, female (% of female population)",1.1920258795078755
Population ages 15-64 (% of total),1.1913507334651836
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.1911299761645946
"Population ages 05-09, male (% of male population)",1.184747076360089
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.1791619280405743
Age dependency ratio (% of working-age population),1.1783933080707834
"Population ages 80 and older, female (% of female population)",1.163953052720404
Urban population,1.1638667436741654
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.1589287806943813
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1550050663637914
"Population ages 65-69, male (% of male population)",1.1395210644240117
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.1238515534010978
"Population ages 15-19, female (% of female population)",1.1212856293704898
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",1.1169613235483529
"Population, male (% of total)",1.1149878863383145
"Population, female (% of total)",1.1149878863383145
Population ages 65 and above (% of total),1.1142646877477598
"Population ages 60-64, female (% of female population)",1.1126346201443307
"Population ages 55-59, female (% of female population)",1.1113979996947196
GDP per capita (Current US$),1.1103622043430683
Lifetime risk of maternal death (1 in: rate varies by country),1.1092172137275913
"Population ages 15-19, male (% of male population)",1.093855087976893
"Unemployment, female (% of female labor force) (modeled ILO estimate)",1.0932618822333653
"Unemployment, female (% of female labor force)",1.0932618822333653
"Unemployment, total (% of total labor force)",1.08144915714333
"Population ages 65-69, female (% of female population)",1.0774664999133299
"Population ages 55-59, male (% of male population)",1.0682239587838533
"Unemployment, male (% of male labor force)",1.0640868252641904
"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.0640868252641904
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.0605138852386289
"Labor force, female (% of total labor force)",1.0558952023697954
"GNI per capita, Atlas method (current US$)",1.0526158520641073
Number of under-five deaths,1.0445876151042863
Population growth (annual %),1.044246224394445
Number of infant deaths,1.0439985021937992
"Population ages 60-64, male (% of male population)",1.0197104205215657
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",1.0183409205963492
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.0067699552790368
"Age dependency ratio, old",1.0031211156663415
Number of neonatal deaths,0.9947274814544327
"GNI per capita, PPP (current international $)",0.9756694294131436
"Population ages 35-39, female (% of female population)",0.9239657536633863
Female population 70-74,0.9189171408605934
Net official development assistance and official aid received (current US$),0.9120159158639147
Net official development assistance received (current US$),0.9120159158639147
"Population ages 20-24, female (% of female population)",0.9085057903478191
"Population ages 0-14, female",0.9055943289487811
"Age population, age 10, male, interpolated",0.9047316944350121
"Age population, age 10, female, interpolated",0.9032148628052035
Male population 05-09,0.9022143161284959
"Population ages 00-14, total",0.9009615943686782
"Population ages 0-14, male",0.9008219595673899
"Age population, age 09, male, interpolated",0.9002134884375568
"Age population, age 09, female, interpolated",0.8997923313023715
"Age population, age 08, male, interpolated",0.8985176200523539
"Age population, age 07, male, interpolated",0.8972023113265755
"Age population, age 08, female, interpolated",0.8959289599006373
Female population 05-09,0.8906434728175772
Female population 75-79,0.8905704978250761
"Age population, age 07, female, interpolated",0.889218783376583
"Age population, age 11, female, interpolated",0.8890666040882269
"Population ages 65 and above, female",0.8870932505466285
Male population 70-74,0.8862575927847742
"Age population, age 06, male, interpolated",0.8847645103724695
"Age population, age 11, male, interpolated",0.8846066994486725
"Age population, age 05, male, interpolated",0.8824637149476133
"Age population, age 06, female, interpolated",0.8810886542089282
Male population 75-79,0.8782436699184635
CO2 emissions (kt),0.8774423480753941
"Population ages 65 and above, total",0.8758176382230358
"Age population, age 12, female, interpolated",0.8752327914004892
Male population 10-14,0.8747636853035363
"Age population, age 05, female, interpolated",0.8739534549667749
Female population 10-14,0.8736581407681006
"Age population, age 12, male, interpolated",0.8713151462119768
"Age population, age 04, male, interpolated",0.8656476883497477
"Population ages 65 and above, male",0.8638842810127259
"Age population, age 13, male, interpolated",0.8620524862134318
"Age population, age 13, female, interpolated",0.8575742206121917
"Age population, age 04, female, interpolated",0.8571939585047139
Male population 65-69,0.8535069059076492
Mobile cellular subscriptions (per 100 people),0.8534835452459311
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.8486251761481136
"Age population, age 03, male, interpolated",0.8423259622208621
"Age population, age 03, female, interpolated",0.8403006066240779
"Age population, age 14, male, interpolated",0.8398439066554999
Female population 65-69,0.8359326932716016
Female population 00-04,0.8351352289136822
Male population 00-04,0.8333264108898024
"Age population, age 14, female, interpolated",0.8309492631085458
GDP (current US$),0.829423139920832
"Age population, age 02, male, interpolated",0.8252493660781337
"Age population, age 02, female, interpolated",0.824206751931025
GDP per person employed (constant 2011 PPP $),0.822629615191764
"Age population, age 01, male, interpolated",0.8224060324217695
"Population ages 35-39, male (% of male population)",0.8210476667896578
Male population 80+,0.8201811230217715
"Age population, age 01, female, interpolated",0.8165203116513522
"Population ages 30-34, female (% of female population)",0.8150216046862915
Number of maternal deaths,0.8131456032123063
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.8123512334271183
"Age population, age 0, female, interpolated",0.8113506773352173
"Age population, age 0, male, interpolated",0.810090360230793
"Age population, age 15, male, interpolated",0.8084585306561767
"Health expenditure, total (current US$)",0.8030722628153375
"Age population, age 15, female, interpolated",0.7959247342138018
"Age population, age 16, male, interpolated",0.7931649068415509
Female population 80+,0.7850996932984622
"Mortality rate, under-5 (per 1,000 live births)",0.783713552974409
"Mortality rate, under-5 (per 1,000)",0.7828477521086081
"Age population, age 16, female, interpolated",0.7801773328656816
Rural population,0.7790382362229316
Female population 55-59,0.7738688444713904
"Population ages 30-34, male (% of male population)",0.772444054475546
Female population 25-29,0.7717858627519045
"Labor force, female",0.7704756361077372
Female population 15-19,0.7647569402190943
"Age population, age 17, female, interpolated",0.7631967007386866
"Population ages 20-24, male (% of male population)",0.7625626702271089
Female population 50-54,0.7623051713361517
Male population 55-59,0.7617269428382734
Male population 15-19,0.7570111990878035
"Age population, age 17, male, interpolated",0.7561873268234132
Male population 25-29,0.7542804499252287
"Age population, age 25, male, interpolated",0.7535491924202202
"Age population, age 18, female, interpolated",0.7525782818589251
Male population 60-64,0.7521600903156516
