,0
"Population ages 65 and above, total",1.7316056916153064
"Population ages 65 and above, male",1.72641990517952
"Population ages 65 and above, female",1.6195592063545357
Male population 55-59,1.6122604535200686
Female population 80+,1.54103891711996
"Population, female (% of total)",1.5356869278393994
"Population, male (% of total)",1.5356869278393994
Male population 75-79,1.5247617419142139
Male population 60-64,1.4964862475672909
"Population ages 15-64, male (% of total)",1.4881147579458018
"Population ages 55-59, male (% of male population)",1.4462487866155442
Population ages 15-64 (% of total),1.4363135829303402
Male population 80+,1.4296640816379818
Age dependency ratio (% of working-age population),1.413381455533927
Male population 70-74,1.4099374788756653
Female population 55-59,1.4084047853786859
Male population 50-54,1.3979141847095133
Female population 40-44,1.3969826757422907
Internet users (per 100 people),1.386549259951732
Urban population,1.37753842951233
Male population 65-69,1.3772685604924606
Female population 75-79,1.3758269465508473
Female population 60-64,1.3617950459118036
"Population ages 00-14, male (% of total)",1.359556609744796
"Age dependency ratio, young",1.348019040171512
"Population ages 65 and above, male (% of total)",1.3316907256289114
Female population 45-49,1.3138646033385037
"Population ages 55-59, female (% of female population)",1.2969244006840155
Population ages 00-14 (% of total),1.2920537752776757
Population ages 0-14 (% of total),1.2920537752776757
Female population 50-54,1.277213655080413
"Population ages 15-64, male",1.2770280272162131
Male population 15-19,1.2682580273747848
"Population ages 50-54, male (% of male population)",1.2669533796415653
Male population 45-49,1.262742312930499
"Population ages 15-64, total",1.2622707606732324
"Population ages 80 and older, female (% of female population)",1.2614045633784639
"Population ages 75-79, male (% of male population)",1.2583785219595651
"Population ages 15-64, female",1.254561505642549
Female population 65-69,1.2541131444799019
"Population ages 00-14, female (% of total)",1.2504437979534124
Male population 40-44,1.2487838507577507
Female population 35-39,1.2405072067668206
"Population ages 15-64, female (% of total)",1.2352918863729294
Female population 20-24,1.2285897591350883
Male population 35-39,1.2264057328439193
"Population ages 60-64, male (% of male population)",1.2205925975664982
"Population ages 00-04, male (% of male population)",1.2027464556132133
"Population ages 50-54, female (% of female population)",1.187932400620587
Rural population growth (annual %),1.1751018779686353
Female population 70-74,1.1726793005460587
Population ages 65 and above (% of total),1.1656308926047927
GDP per person employed (constant 2011 PPP $),1.1632946375899669
GDP per capita (Current US$),1.1606839050685196
"Age population, age 17, male, interpolated",1.1591753441849584
Female population 10-14,1.1534253402206693
"Population ages 05-09, male (% of male population)",1.1514386364482507
"Population ages 65-69, male (% of male population)",1.151166190640091
Lifetime risk of maternal death (1 in: rate varies by country),1.1500878047402772
Male population 20-24,1.1454570188594906
Male population 30-34,1.1444760553785276
"Population ages 75-79, female (% of female population)",1.142026421678894
"Population ages 0-14, male",1.138424071647972
"Age population, age 23, female, interpolated",1.1331717842528275
"Age population, age 21, female, interpolated",1.1298807300689164
"Population ages 00-04, female (% of female population)",1.1236215130954132
"Age population, age 22, female, interpolated",1.1230093276617996
"Population ages 20-24, female (% of female population)",1.1226738496477497
"Population ages 15-19, male (% of male population)",1.1222869349751214
"Age population, age 10, female, interpolated",1.1128306174830893
GDP (current US$),1.1103193886325746
Female population 15-19,1.1093565122232703
"Age population, age 11, female, interpolated",1.1078170794338373
"Age population, age 23, male, interpolated",1.1037036333561052
"Age population, age 22, male, interpolated",1.098047087520988
"Age dependency ratio, old",1.0959460139913426
"Population ages 00-14, total",1.0938684288780438
"Age population, age 25, female, interpolated",1.0890941357108934
"Age population, age 24, female, interpolated",1.0864868223892947
"Age population, age 13, female, interpolated",1.0845537356347785
"Population ages 60-64, female (% of female population)",1.0731497626236632
"Population ages 80 and older, male (% of male population)",1.0701918078799932
"Population ages 0-14, female",1.06766596071129
Female population 30-34,1.0665734024758744
"Age population, age 18, male, interpolated",1.0644483449936741
"Age population, age 25, male, interpolated",1.0633606430131144
"Population ages 70-74, male (% of male population)",1.062190880236209
"Age population, age 24, male, interpolated",1.0604106168488028
"Population, female",1.057723720411906
"Age population, age 12, female, interpolated",1.0570770456580891
"Age population, age 15, female, interpolated",1.0556645692456124
"Age population, age 16, male, interpolated",1.0450433452315315
"Age population, age 14, female, interpolated",1.0385830396640825
Rural population,1.037755196871954
"Age population, age 09, female, interpolated",1.0329580099319107
"Age population, age 16, female, interpolated",1.0290162175972608
"Population, total",1.0214012135536854
"Population ages 65 and above, female (% of total)",1.0209206425373998
"Age population, age 21, male, interpolated",1.0189937995391283
"Age population, age 20, female, interpolated",1.018233646993262
"Population ages 40-44, female (% of female population)",1.0148594418333428
"Population ages 20-24, male (% of male population)",1.011977205022534
Population growth (annual %),1.011307041852371
"Population ages 45-49, male (% of male population)",0.996554532457004
Urban population growth (annual %),0.995991504215405
"Population ages 45-49, female (% of female population)",0.9783753901707191
"Population ages 15-19, female (% of female population)",0.9680888513127517
"Population, male",0.9604881187120191
"Population ages 40-44, male (% of male population)",0.9573897290064868
"Age population, age 20, male, interpolated",0.955047329342658
Newborns protected against tetanus (%),0.9545065011232587
"Population ages10-14, male (% of male population)",0.9525324830778117
"Labor force, female",0.9496325060706925
"Age population, age 19, male, interpolated",0.9416540757708334
"Labor force, total",0.9342645407027275
"Population ages 05-09, female (% of female population)",0.9301673482126773
"Age population, age 09, male, interpolated",0.9265721339031767
Mobile cellular subscriptions (per 100 people),0.9190859692741552
"Age population, age 17, female, interpolated",0.9153974950499668
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.9122334963502539
"Age population, age 19, female, interpolated",0.9100850495589503
"Age population, age 15, male, interpolated",0.9087312446337168
"Population ages 10-14, female (% of female population)",0.90608017546479
"Age population, age 08, male, interpolated",0.8931461352986072
"Age population, age 10, male, interpolated",0.8893352636305925
"Age population, age 11, male, interpolated",0.8811420679373962
"Age population, age 08, female, interpolated",0.8783289088742388
Male population 10-14,0.875708810718425
"GNI per capita, PPP (current international $)",0.8716173664484093
"GNI per capita, Atlas method (current US$)",0.8701877444830732
"Population ages 65-69, female (% of female population)",0.8696031108627251
Net ODA received per capita (current US$),0.8676460401556547
"Population ages 70-74, female (% of female population)",0.8586350115017696
"Age population, age 18, female, interpolated",0.8445521697403553
"Age population, age 12, male, interpolated",0.8434140221736361
"Age population, age 14, male, interpolated",0.8210478962360825
Female population 25-29,0.8186203634514064
Male population 25-29,0.8073387878841167
"Mortality rate, adult, female (per 1,000 female adults)",0.8048323943566285
"Age population, age 13, male, interpolated",0.7888505301101447
"Age population, age 07, male, interpolated",0.776437447161348
Net official development assistance received (current US$),0.7737237422154992
Net official development assistance and official aid received (current US$),0.7737237422154992
"Immunization, DPT (% of children ages 12-23 months)",0.7684457364910654
"Incidence of tuberculosis (per 100,000 people)",0.7681664809050006
"Immunization, HepB3 (% of one-year-old children)",0.7664611139707285
Health expenditure per capita (current US$),0.7603361873100876
"Immunization, BCG (% of one-year-old children)",0.7579798135251428
"Mortality rate, adult, male (per 1,000 male adults)",0.7456693351935693
Male population 05-09,0.7455266912505913
Female population 05-09,0.7452444833790981
"GNI, Atlas method (current US$)",0.7407102775056065
"Age population, age 03, female, interpolated",0.7406897623065198
"Cost of business start-up procedures, male (% of GNI per capita)",0.7392723305319452
"Cost of business start-up procedures, female (% of GNI per capita)",0.7392723305319452
"Immunization, measles (% of children ages 12-23 months)",0.7366314198553201
Urban population (% of total),0.7365061483014774
Rural population (% of total population),0.7365061483014774
"Age population, age 07, female, interpolated",0.7305881080084364
"Immunization, Pol3 (% of one-year-old children)",0.7164796470249764
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.7140702508655801
Number of under-five deaths,0.7113229981183273
"Time required to start a business, male (days)",0.7113229981183273
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.7113229981183273
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.7113229981183273
"PPP conversion factor, GDP (LCU per international $)",0.7113229981183273
"Unemployment, female (% of female labor force)",0.7113229981183273
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.7113229981183273
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.7113229981183273
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.7113229981183273
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.7113229981183273
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.7113229981183273
"Time required to start a business, female (days)",0.7113229981183273
"Start-up procedures to register a business, male (number)",0.7113229981183273
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.7113229981183273
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.7113229981183273
Country_code,0.7113229981183273
"Unemployment, total (% of total labor force)",0.7113229981183273
Number of neonatal deaths,0.7113229981183273
"Unemployment, male (% of male labor force)",0.7113229981183273
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.7113229981183273
"Labor force, female (% of total labor force)",0.7113229981183273
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.7113229981183273
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.7113229981183273
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.7113229981183273
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.7113229981183273
"Mortality rate, infant (per 1,000 live births)",0.7113229981183273
"Mortality rate, neonatal (per 1,000 live births)",0.7113229981183273
"Mortality rate, under-5 (per 1,000 live births)",0.7113229981183273
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.7113229981183273
"Mortality rate, under-5 (per 1,000)",0.7113229981183273
"Start-up procedures to register a business, female (number)",0.7113229981183273
Number of infant deaths,0.7113229981183273
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.7113229981183273
Prevalence of anemia among pregnant women (%),0.7113229981183273
Prevalence of anemia among children (% of children under 5),0.7113229981183273
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.7113229981183273
Trade (% of GDP),0.6995988734729404
People practicing open defecation (% of population),0.6978526531594502
"Improved water source, rural (% of rural population with access)",0.6843237363479706
Forest area (sq. km),0.6843237363479706
Improved sanitation facilities (% of population with access),0.6843237363479706
People using basic sanitation services (% of population),0.6843237363479706
"Improved sanitation facilities, rural (% of rural population with access)",0.6843237363479706
"Improved sanitation facilities, urban (% of urban population with access)",0.6703274006341977
"Age population, age 06, female, interpolated",0.6627620352716499
Forest area (% of land area),0.6588684685071553
Improved water source (% of population with access),0.6588684685071553
People using basic drinking water services (% of population),0.6588684685071553
"Age population, age 06, male, interpolated",0.6461126132650854
Fixed telephone subscriptions (per 100 people),0.6457097250766726
Proportion of seats held by women in national parliaments (%),0.6319304660472241
"People using basic drinking water services, rural (% of rural population)",0.6200257041424622
Prevalence of undernourishment (% of population),0.6200257041424622
"People using basic sanitation services, urban  (% of urban population)",0.6200257041424622
"People using basic sanitation services, rural (% of rural population)",0.6200257041424622
"People using basic drinking water services, urban (% of urban population)",0.6200257041424622
"People practicing open defecation, urban (% of urban population)",0.6200257041424622
"People practicing open defecation, rural (% of rural population)",0.6200257041424622
