,0
"Population ages 65-69, male (% of male population)",1.4732927100881765
"Population ages 75-79, male (% of male population)",1.456379494387797
"Mortality rate, under-5 (per 1,000 live births)",1.4530683966308868
"Mortality rate, under-5 (per 1,000)",1.4501205508258983
"Population ages 75-79, female (% of female population)",1.4458944482556824
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.4315381459791292
Female population 55-59,1.4073636411216441
Male population 55-59,1.402663768093309
"Mortality rate, neonatal (per 1,000 live births)",1.3694393390381774
"Population ages 70-74, female (% of female population)",1.3538585105722007
"Population ages 15-64, female (% of total)",1.347782798743669
"Age population, age 21, female, interpolated",1.3156394471319823
"Age population, age 22, female, interpolated",1.3108268968752148
Female population 20-24,1.306696254470469
"Age population, age 19, male, interpolated",1.305297552936871
"Population ages 15-64, male",1.3051706046907732
Male population 35-39,1.3042122875968352
"Mortality rate, infant (per 1,000 live births)",1.3029383719783625
"Age population, age 18, male, interpolated",1.3022202925981063
Male population 75-79,1.3009329639202714
"Age population, age 23, female, interpolated",1.297776149816571
"Age population, age 20, female, interpolated",1.2949122047613082
"Age population, age 20, male, interpolated",1.29356742332248
Male population 30-34,1.290102814681087
"Age population, age 24, female, interpolated",1.2854563658993585
"Age population, age 17, male, interpolated",1.2849451494766808
"Population ages 15-64, total",1.2839972118699665
Male population 15-19,1.2818874175033788
"Age population, age 21, male, interpolated",1.2705278037189045
"Population ages 65 and above, female (% of total)",1.2689454336759507
"Population ages 15-64, female",1.263994224135232
"Population, male",1.2566186553225753
"Age population, age 16, male, interpolated",1.2559959018589801
"Population ages 65 and above, male (% of total)",1.255888212301624
"Age population, age 22, male, interpolated",1.2553790229554094
"Age population, age 23, male, interpolated",1.2538174520954088
"Age population, age 24, male, interpolated",1.2528974495250205
"Age population, age 19, female, interpolated",1.2526724126269282
"Population ages 70-74, male (% of male population)",1.2525453166223253
Male population 40-44,1.2513213232104106
Male population 70-74,1.2507215116924078
"Age population, age 25, female, interpolated",1.2505397360243755
Male population 20-24,1.2470423650571614
"Age population, age 25, male, interpolated",1.245201748407551
Male population 25-29,1.2409175057163122
Female population 35-39,1.2401408679382222
Male population 80+,1.2400744523154088
Male population 45-49,1.238510742370026
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.2384900556596121
Population ages 65 and above (% of total),1.2361363215897327
"Age dependency ratio, young",1.233462295535543
Age dependency ratio (% of working-age population),1.2332969686556292
Male population 50-54,1.2253015895348467
"Population ages 65 and above, male",1.223270960304906
Female population 25-29,1.2221346773078188
"Age population, age 15, male, interpolated",1.2186891117423093
Female population 30-34,1.2165635622157858
"Age population, age 18, female, interpolated",1.213479117134163
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.2094459471473746
"Population, total",1.2073467788132597
"Population ages 65-69, female (% of female population)",1.205113204555369
Population ages 15-64 (% of total),1.1947038278747706
Female population 80+,1.1940002309022952
Female population 40-44,1.1935531398901744
Female population 75-79,1.1889305414180875
Female population 70-74,1.1837593689985313
"Population, female",1.1835638199355116
"Population ages 65 and above, total",1.1821991893821788
"Population ages 60-64, male (% of male population)",1.1801160847243422
"Age population, age 14, male, interpolated",1.1777017267846557
"Age population, age 09, male, interpolated",1.1726519911620785
Population ages 0-14 (% of total),1.1712224437654857
Population ages 00-14 (% of total),1.1712224437654857
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.1674806444748613
"Age population, age 10, male, interpolated",1.1672511628154931
"Population ages 15-64, male (% of total)",1.1664576404952545
"Age population, age 17, female, interpolated",1.1648625899558835
Female population 45-49,1.163763519935931
"Age population, age 08, male, interpolated",1.163274462085695
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1.1625651127872825
Urban population (% of total),1.161752152639813
Rural population (% of total population),1.161752152639813
"Age population, age 07, male, interpolated",1.161399797187399
"Age population, age 13, male, interpolated",1.158368932990224
Female population 15-19,1.1581134582302404
"Population ages 65 and above, female",1.156412922668789
"Age population, age 06, male, interpolated",1.1534114393326789
Prevalence of anemia among children (% of children under 5),1.1533197544877352
Male population 05-09,1.1518538649933832
"Age population, age 11, male, interpolated",1.144036052087588
"Age population, age 12, male, interpolated",1.143579137691391
Male population 10-14,1.1428615779402178
"Population ages 00-14, female (% of total)",1.1400859098779799
Adults (ages 15+) and children (0-14 years) living with HIV,1.138842587817156
"Labor force, total",1.138055788349837
Male population 60-64,1.1365977216644483
"Age population, age 16, female, interpolated",1.1349856438304036
"Age population, age 05, male, interpolated",1.1345324541721808
Children (0-14) living with HIV,1.1319008968600792
Male population 65-69,1.1312121363670171
"Age population, age 04, male, interpolated",1.128772638897771
"Population ages 0-14, male",1.1272674741431734
"Age population, age 06, female, interpolated",1.12673323547916
Female population 60-64,1.1260182203344684
"Age population, age 07, female, interpolated",1.124223978948008
"Age population, age 09, female, interpolated",1.1222115535390682
"Age dependency ratio, old",1.1218077950753989
Female population 05-09,1.1211910991294143
"Age population, age 08, female, interpolated",1.1184900128271054
"Age population, age 15, female, interpolated",1.118146355157622
"Mortality rate, adult, male (per 1,000 male adults)",1.1180715950575566
"Age population, age 05, female, interpolated",1.1173796980268826
"Population ages 00-14, male (% of total)",1.117005679671002
Adults (ages 15+) living with HIV,1.1150968992676022
"Age population, age 10, female, interpolated",1.1147235525988184
Female population 50-54,1.1144109807130311
"Population ages 00-14, total",1.1137381596073543
"Age population, age 11, female, interpolated",1.1122808254870127
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.112092748867351
Rural population growth (annual %),1.1113513738380227
"Age population, age 04, female, interpolated",1.1107762647700248
"Population ages 05-09, female (% of female population)",1.1090265321658817
Female population 10-14,1.1089714961122572
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.106527407276653
"Age population, age 13, female, interpolated",1.1037902772529444
"Age population, age 14, female, interpolated",1.1037682321135325
"Age population, age 12, female, interpolated",1.1030708765225643
"Population ages 0-14, female",1.1022477902567125
"Age population, age 03, male, interpolated",1.0965397409251558
"Age population, age 03, female, interpolated",1.0925936735553543
"Population ages 05-09, male (% of male population)",1.0883457730975405
Male population 00-04,1.08396298783591
Prevalence of anemia among pregnant women (%),1.0780399238247171
"Age population, age 02, male, interpolated",1.0777048715703696
"Age population, age 02, female, interpolated",1.0776547759183779
"Population ages 80 and older, female (% of female population)",1.0729871431394817
Female population 00-04,1.0726410085066507
Female population 65-69,1.0723065635015463
"Age population, age 01, male, interpolated",1.0634285055307984
"Labor force, female",1.0615157810575375
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.0531998011474257
"Population ages 55-59, male (% of male population)",1.052682816733086
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.0500005518621043
"Age population, age 01, female, interpolated",1.0471689514795808
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.0429929912566143
Children orphaned by HIV/AIDS,1.040354750815793
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.0401673893666048
Population growth (annual %),1.0387723343950857
"Population ages 80 and older, male (% of male population)",1.0370339351006157
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.0363385173226387
"GNI per capita, PPP (current international $)",1.0356681744751335
"Age population, age 0, male, interpolated",1.0325697033834125
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,1.0324826671685596
"Population ages 50-54, male (% of male population)",1.028257208097418
"Age population, age 0, female, interpolated",1.0250926715188171
"Population ages10-14, male (% of male population)",1.0173725280554224
"Population ages 00-04, male (% of male population)",1.0120278268576932
Adults (ages 15+) newly infected with HIV,1.0061779929832904
AIDS estimated deaths (UNAIDS estimates),1.005764091552456
"GNI per capita, Atlas method (current US$)",0.9909532348589103
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.9892648080937789
"Population ages 00-04, female (% of female population)",0.9860743449583915
Rural population,0.9791715522640891
Children (ages 0-14) newly infected with HIV,0.9750221460076713
Urban population growth (annual %),0.9682766791948905
"Labor force, female (% of total labor force)",0.9647584622697416
"Population ages 15-19, male (% of male population)",0.9585185706079029
Number of infant deaths,0.9560610228280857
Number of under-five deaths,0.9555911412266458
Mobile cellular subscriptions (per 100 people),0.9550248538097472
Urban population,0.9522765797919528
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.9450785960220625
"Unemployment, total (% of total labor force)",0.9353777085798516
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.9310630719217412
"Unemployment, male (% of male labor force)",0.9289372215816052
"Population ages 10-14, female (% of female population)",0.9140987724280345
"Population ages 60-64, female (% of female population)",0.913998455820654
"Population ages 35-39, female (% of female population)",0.912862249299276
"Population, female (% of total)",0.909936375820863
"Population, male (% of total)",0.909936375820863
"Population ages 25-29, male (% of male population)",0.9092219021768688
"Population ages 25-29, female (% of female population)",0.9006797945242084
"Immunization, Pol3 (% of one-year-old children)",0.8974172394033793
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.8880078138053578
"Immunization, DPT (% of children ages 12-23 months)",0.8712614511356325
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.8642259580846703
"Population ages 20-24, male (% of male population)",0.8534218636770445
"Population ages 15-19, female (% of female population)",0.8533352138537738
"Population ages 40-44, female (% of female population)",0.8440874769923812
Country_code,0.8391357833997783
"Immunization, BCG (% of one-year-old children)",0.8340792329187345
"Population ages 30-34, male (% of male population)",0.832463314670711
Number of people who are undernourished,0.8256272260986846
"Health expenditure per capita, PPP",0.8105199640743692
"Health expenditure per capita, PPP (constant 2011 international $)",0.8105199640743692
"Population ages 35-39, male (% of male population)",0.8105093306662412
GDP per person employed (constant 2011 PPP $),0.8098090288282414
"GNI, Atlas method (current US$)",0.8070639905467285
"Population ages 50-54, female (% of female population)",0.7956820393759512
"Population ages 45-49, female (% of female population)",0.7837221153101392
Number of neonatal deaths,0.7811445299462683
"Population ages 45-49, male (% of male population)",0.775019614968425
Health expenditure per capita (current US$),0.7698619397553024
GDP per capita (Current US$),0.7676987142612535
"Immunization, measles (% of children ages 12-23 months)",0.766074855484665
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.7411456871476068
"Unemployment, female (% of female labor force)",0.7411456871476068
"Population ages 40-44, male (% of male population)",0.7305782389899975
Internet users (per 100 people),0.7264935614605394
"Population ages 55-59, female (% of female population)",0.7149378858118212
"Health expenditure, total (current US$)",0.7012057912904508
"Incidence of tuberculosis (per 100,000 people)",0.6995762430313706
GDP (current US$),0.6938443389468056
"Mortality rate, adult, female (per 1,000 female adults)",0.6808203397987078
"Population ages 30-34, female (% of female population)",0.6775067866146411
CO2 emissions (kt),0.6589823758655333
Net official development assistance and official aid received (current US$),0.6510183218954158
Net official development assistance received (current US$),0.6490486928367862
"Population ages 20-24, female (% of female population)",0.6257587521589487
"Cost of business start-up procedures, male (% of GNI per capita)",0.5954634973127066
"Cost of business start-up procedures, female (% of GNI per capita)",0.5924739443486637
Lifetime risk of maternal death (1 in: rate varies by country),0.5734721057343573
Number of maternal deaths,0.4879312488925158
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.48694073744948274
"Access to anti-retroviral drugs, female (%)",0.4436623132730144
Newborns protected against tetanus (%),0.43461845802091204
Forest area (sq. km),0.4255265224271072
Antiretroviral therapy coverage (% of people living with HIV),0.419652621913557
Trade (% of GDP),0.4196235843406635
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.40775925871201557
"Access to anti-retroviral drugs, male (%)",0.38494627538678516
"Survival to age 65, female (% of cohort)",0.3661919480140776
"People using basic drinking water services, rural (% of rural population)",0.3577517658589511
Malaria cases reported,0.354180275059353
"Improved water source, rural (% of rural population with access)",0.35374693478832286
Reported cases of malaria,0.3524549390546863
"Immunization, HepB3 (% of one-year-old children)",0.3462485424349555
Out-of-pocket health expenditure (% of private expenditure on health),0.34375671901933047
"School enrollment, primary, female (% gross)",0.34322710230723996
Improved sanitation facilities (% of population with access),0.3370104180881661
"Time required to start a business, female (days)",0.3223472255611217
Net ODA received per capita (current US$),0.318335330128668
"Time required to start a business, male (days)",0.31796106091441567
"Children out of school, primary, male",0.31501193445204634
"Survival to age 65, male (% of cohort)",0.312971829400305
External resources for health (% of total expenditure on health),0.3116788291995225
"People practicing open defecation, urban (% of urban population)",0.3066556005396346
"Primary education, teachers (% female)",0.29910457029636683
"Improved sanitation facilities, urban (% of urban population with access)",0.29739423872450566
"Children out of school, primary, female",0.29522423824535315
"Prevalence of HIV, total (% of population ages 15-49)",0.2948720691051423
"School enrollment, primary (% gross)",0.29404521734194256
Prevalence of undernourishment (% of population),0.293902842906707
"Prevalence of HIV, female (% ages 15-24)",0.28741049630882776
Incidence of HIV (% of uninfected population ages 15-49),0.28604146960562504
"Prevalence of HIV, male (% ages 15-24)",0.28604146960562504
"PPP conversion factor, GDP (LCU per international $)",0.2850984631724818
People using basic sanitation services (% of population),0.284345587376599
Women's share of population ages 15+ living with HIV (%),0.2799307518775933
"People using basic sanitation services, rural (% of rural population)",0.2734929266779931
"Improved sanitation facilities, rural (% of rural population with access)",0.26999853342654445
Gross capital formation (% of GDP),0.268878701185276
People using basic drinking water services (% of population),0.2536629544650817
Proportion of seats held by women in national parliaments (%),0.23916514990083315
"School enrollment, primary, male (% gross)",0.23833870101398102
"School enrollment, secondary, female (% net)",0.23429932683879073
"School enrollment, secondary, male (% net)",0.23347733137393756
"School enrollment, secondary (% net)",0.23339229736033218
Forest area (% of land area),0.232354799120013
Status under enhanced HIPC initiative,0.23201844521169668
"Primary completion rate, female (% of relevant age group)",0.227761122424051
"Immunization, Hib3 (% of children ages 12-23 months)",0.22446815600392034
"School enrollment, secondary, female (% gross)",0.22398515447580913
"PPP conversion factor, private consumption (LCU per international $)",0.20678555259906028
"School enrollment, secondary (% gross)",0.20526595674905201
Improved water source (% of population with access),0.19974917318467633
"School enrollment, primary, female (% net)",0.19972340679126765
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.19972340679126765
"Tuberculosis death rate (per 100,000 people), including HIV",0.1934785992989161
"Tuberculosis death rate (per 100,000 people)",0.19296415620663954
"Primary completion rate, total (% of relevant age group)",0.18968003710404346
Out-of-pocket health expenditure (% of total expenditure on health),0.1853842234976828
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.18169336801022395
"School enrollment, secondary, male (% gross)",0.180055727952235
"Prevalence of overweight, female (% of female adults)",0.17946502525855013
People practicing open defecation (% of population),0.1727633501729282
"School enrollment, primary (gross), gender parity index (GPI)",0.17148824393922157
"Primary education, pupils (% female)",0.17148824393922157
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.1712319474270112
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.16616227881553214
"People using basic sanitation services, urban  (% of urban population)",0.1657669197399101
"School enrollment, primary, male (% net)",0.16516616608472545
"Prevalence of overweight, male (% of male adults)",0.1617289241875235
"Primary completion rate, male (% of relevant age group)",0.1547180673885764
"Health expenditure, public (% of total health expenditure)",0.1527742274716326
"Health expenditure, private (% of total health expenditure)",0.15211190285489806
