,0
"Population ages 65 and above, female",1.206314819519188
"Age population, age 04, female, interpolated",1.1523782196100236
"Population ages 00-14, female (% of total)",1.1465392145146813
Female population 45-49,1.1460812709410328
"Population ages 75-79, female (% of female population)",1.1440493572873538
Male population 35-39,1.1351418589600373
"Age population, age 06, male, interpolated",1.1334889825017105
Male population 45-49,1.132342707124029
Male population 75-79,1.1313464665034973
"Age population, age 05, male, interpolated",1.1299971478474946
"Age population, age 04, male, interpolated",1.122773903807531
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.1191030546242642
"Age population, age 05, female, interpolated",1.1185142829064345
"Age population, age 06, female, interpolated",1.1095195846997776
Male population 55-59,1.1050111788802308
Female population 40-44,1.1039439552147465
Male population 65-69,1.1030531687300091
Female population 35-39,1.1027976494847764
Female population 30-34,1.0976340573109882
"Age dependency ratio, young",1.0975755976801898
"Age population, age 07, male, interpolated",1.0883009997280033
Female population 55-59,1.0849908685480876
"Age population, age 07, female, interpolated",1.0819118395702851
Male population 05-09,1.0796194381557038
Female population 05-09,1.0759025334096148
"Mortality rate, adult, male (per 1,000 male adults)",1.0755590582653842
"Age population, age 12, male, interpolated",1.0718534239249982
"Age population, age 13, male, interpolated",1.0699665837542631
"Age population, age 03, female, interpolated",1.0684791670228755
"Population ages 15-64, female",1.0661703920096461
Male population 60-64,1.0644425526763928
Rural population (% of total population),1.0632888797674576
Urban population (% of total),1.0632888797674576
"Population ages 65 and above, total",1.0612692976791265
"Age population, age 13, female, interpolated",1.0612394493513588
"Age population, age 20, female, interpolated",1.0594135126023572
"Age population, age 20, male, interpolated",1.059096366717839
"Age population, age 03, male, interpolated",1.0573674582608636
Male population 40-44,1.0557849239610362
"Age population, age 08, male, interpolated",1.0557675927282832
Population ages 0-14 (% of total),1.0538879410933775
Population ages 00-14 (% of total),1.0538879410933775
"Population ages 65 and above, male",1.0522139193703048
"Age population, age 11, female, interpolated",1.0502619120602046
Male population 20-24,1.050190493309434
"Age population, age 08, female, interpolated",1.0496726778141867
"Age population, age 22, male, interpolated",1.0483556768462177
"Age population, age 12, female, interpolated",1.0474829482191068
Female population 20-24,1.045659739067383
"Age population, age 11, male, interpolated",1.0445419688729998
Male population 10-14,1.0433192821198243
"Age population, age 21, male, interpolated",1.0421890834316505
"Population, female",1.0421860267156444
Female population 10-14,1.0408575433200418
Male population 50-54,1.0332185638112388
"Age population, age 09, male, interpolated",1.0322254763243435
"Age population, age 10, male, interpolated",1.0316462156898996
"GNI per capita, Atlas method (current US$)",1.029525767842463
"Age population, age 0, male, interpolated",1.028611327125942
Male population 30-34,1.0276140261764892
"Age population, age 0, female, interpolated",1.027196349163682
Female population 50-54,1.0250984556269862
"Mortality rate, under-5 (per 1,000)",1.0234353536188499
"Age population, age 09, female, interpolated",1.021606158288232
"Age population, age 10, female, interpolated",1.0213773176099963
"Age population, age 19, male, interpolated",1.0205520662363061
"Age population, age 14, male, interpolated",1.018672001143499
"Population ages 15-64, total",1.0131363285138892
"Age population, age 21, female, interpolated",1.0129436131265823
"Age population, age 16, male, interpolated",1.0122197258411578
"Age population, age 22, female, interpolated",1.0120781962582566
"Age population, age 16, female, interpolated",1.0048441138548
"Age population, age 23, male, interpolated",1.0025079329322777
Male population 80+,1.0023761103266948
"Mortality rate, under-5 (per 1,000 live births)",1.0021766908306993
Male population 70-74,1.000365125753076
"Population, total",0.9997545474771155
"Age population, age 15, male, interpolated",0.9992642323498577
"Age population, age 15, female, interpolated",0.9973590595862021
Female population 65-69,0.9967685229233783
Male population 00-04,0.992996252492603
