,0
"Population ages 55-59, female (% of female population)",1.394458226149473
"Population ages 50-54, female (% of female population)",1.3706882033773498
"Population ages 50-54, male (% of male population)",1.347101482364158
"Population ages 55-59, male (% of male population)",1.327014822991784
"Population ages 30-34, male (% of male population)",1.3255039866762963
"Population ages 30-34, female (% of female population)",1.238788204184117
"Population ages 45-49, female (% of female population)",1.2125776436911595
"Population ages 45-49, male (% of male population)",1.1850014486116474
Male population 55-59,1.1744527380629366
Internet users (per 100 people),1.1729367581994332
"Population ages 35-39, female (% of female population)",1.156764473946101
"Population ages10-14, male (% of male population)",1.152185011874956
Male population 80+,1.1453680300526135
Female population 55-59,1.1361395961783665
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.1087313868512048
"GNI, Atlas method (current US$)",1.0463731102072145
"Population ages 00-14, male (% of total)",1.011781711754179
Female population 80+,0.9930387461585637
Female population 50-54,0.9885892083329471
"Age population, age 21, male, interpolated",0.9879948482575234
Female population 75-79,0.9859042825501951
"Age population, age 20, male, interpolated",0.983031954008915
"Population ages 15-19, male (% of male population)",0.9796761730796046
"Age population, age 22, male, interpolated",0.9791919448117625
"Age population, age 0, female, interpolated",0.9754752813787129
GDP (current US$),0.9665622464677786
"Age population, age 19, male, interpolated",0.9590057156969625
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.9557367527116132
"Population ages 10-14, female (% of female population)",0.9540983112093657
"Age population, age 17, male, interpolated",0.949267570244531
Female population 70-74,0.9492132594759346
"Age population, age 16, male, interpolated",0.941170442504546
"Age population, age 18, male, interpolated",0.9396826115524295
GDP per capita (Current US$),0.9394106943162268
"GNI per capita, Atlas method (current US$)",0.9365456594133763
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.9290446947695554
"Population ages 65 and above, female",0.927542835795891
"Age population, age 17, female, interpolated",0.9245031811944275
"Age population, age 18, female, interpolated",0.9244931383272426
"Age population, age 0, male, interpolated",0.9243917846544596
Male population 50-54,0.9241854903578002
"Age population, age 23, male, interpolated",0.9225470024525348
Population ages 65 and above (% of total),0.9215922693549445
"Population ages 65 and above, male (% of total)",0.9172644543128434
"GNI per capita, PPP (current international $)",0.9097155872573137
"Age population, age 19, female, interpolated",0.9066640758553228
Male population 20-24,0.8983002835629581
Male population 15-19,0.89515818756372
"Age population, age 16, female, interpolated",0.8925492885262494
"Population ages 40-44, male (% of male population)",0.8906261331507215
"Population ages 65 and above, total",0.8899392868258833
"Population ages 75-79, male (% of male population)",0.8880136125620017
"Population ages 40-44, female (% of female population)",0.8865777898985097
Female population 15-19,0.8858147532202851
"Age population, age 21, female, interpolated",0.881901074306606
"Population ages 15-64, male (% of total)",0.8791674141407868
"Age population, age 20, female, interpolated",0.8767950692006012
"Population ages 65 and above, male",0.876411823950594
Male population 75-79,0.8760140586149407
Female population 60-64,0.8732817835444586
"Population ages 35-39, male (% of male population)",0.8653579016046546
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.8632426727175324
"Population ages 05-09, female (% of female population)",0.8592995586408205
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.855152517974902
Female population 45-49,0.8549264971081243
"Population ages 05-09, male (% of male population)",0.8529973247527423
"Age population, age 22, female, interpolated",0.8456745362943539
Male population 45-49,0.8412125203302376
Female population 65-69,0.8403579613349226
"Age population, age 24, male, interpolated",0.8389689403030436
"Age population, age 15, male, interpolated",0.8384154438461862
"Population ages 60-64, male (% of male population)",0.8328228292081798
Male population 70-74,0.8298807756338316
"Population ages 25-29, female (% of female population)",0.8266659985358162
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.8245933872969071
"Age population, age 23, female, interpolated",0.8209236919006531
"Age population, age 15, female, interpolated",0.8188886898656507
Age dependency ratio (% of working-age population),0.8162291586113191
"Population ages 15-19, female (% of female population)",0.8145014265359949
Male population 60-64,0.8039600338655666
Female population 25-29,0.7913080694278878
"Population ages 00-04, male (% of male population)",0.7901763375820623
Net official development assistance and official aid received (current US$),0.788928390529648
Net official development assistance received (current US$),0.788928390529648
