,0
"Population ages 80 and older, female (% of female population)",1.675770740067847
"Mortality rate, neonatal (per 1,000 live births)",1.6463339868986386
"Population ages 80 and older, male (% of male population)",1.6120678944517488
"Mortality rate, infant (per 1,000 live births)",1.597739682327521
"Mortality rate, under-5 (per 1,000 live births)",1.57673362092827
"Mortality rate, under-5 (per 1,000)",1.5631435164715688
"Population ages 65 and above, female (% of total)",1.5503960666824128
"Age dependency ratio, old",1.47948582665897
Population ages 65 and above (% of total),1.474404112935471
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.4690025705091458
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.4316276106384414
"Population ages 65 and above, male (% of total)",1.4013788661035362
"Population ages 75-79, male (% of male population)",1.369599022231942
Urban population (% of total),1.3676691742718217
Rural population (% of total population),1.3676691742718217
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.3610551571608949
"Population ages 70-74, female (% of female population)",1.3535156006603897
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.3272546183247846
"Population ages 75-79, female (% of female population)",1.323643429105644
Prevalence of anemia among children (% of children under 5),1.306521529466091
Fixed telephone subscriptions (per 100 people),1.2999173681344605
GDP per person employed (constant 2011 PPP $),1.2936688689234423
Urban population growth (annual %),1.2935981584296066
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.2884312914821772
"Population, female (% of total)",1.2848649888792874
"Population, male (% of total)",1.2848649888792874
Women's share of population ages 15+ living with HIV (%),1.2762859501522188
"Population ages 20-24, female (% of female population)",1.258035804183414
"Population ages 70-74, male (% of male population)",1.237941437383066
"Population ages 65-69, female (% of female population)",1.2308623036195612
"Population ages 20-24, male (% of male population)",1.1832554799529422
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.1820374697799996
"Population ages 00-04, female (% of female population)",1.1658076759100982
"Population ages 15-64, female (% of total)",1.1624595699007991
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.1480808756655598
Prevalence of anemia among pregnant women (%),1.1444306458074172
Age dependency ratio (% of working-age population),1.1323429471586497
Population ages 15-64 (% of total),1.1306485424414099
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.123496780725207
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.1208920106129372
"Population ages 25-29, male (% of male population)",1.1042571142335538
"Population ages 40-44, male (% of male population)",1.1019873008361567
"Labor force, female (% of total labor force)",1.0999068679821273
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.0929069459158738
Population growth (annual %),1.092310440232334
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.083472341704482
Rural population growth (annual %),1.0745803876020292
"Population ages 25-29, female (% of female population)",1.0482062778985046
"Population ages 15-19, male (% of male population)",1.04681729700811
Male population 80+,1.046736052862348
"Population ages 60-64, female (% of female population)",1.0438779865970749
"Population ages 60-64, male (% of male population)",1.0343677010524153
Female population 80+,1.0291292254602005
"Population ages 65-69, male (% of male population)",1.0268091125872454
"Population ages 00-04, male (% of male population)",1.0267415930426775
"Population ages10-14, male (% of male population)",1.0220298856845842
"Age dependency ratio, young",1.0190549801531135
"Population ages 00-14, female (% of total)",1.015944648433564
"Population ages 15-19, female (% of female population)",1.0133240705071254
"Population ages 15-64, male (% of total)",1.0082679794237528
Country_code,1.0079857186602745
Children orphaned by HIV/AIDS,1.0020489143052203
Number of under-five deaths,0.9918811716370532
"PPP conversion factor, GDP (LCU per international $)",0.9915898797325007
"Population ages 65 and above, male",0.9855847462799958
AIDS estimated deaths (UNAIDS estimates),0.980490259635185
"Population ages 05-09, female (% of female population)",0.9723040904532456
"PPP conversion factor, private consumption (LCU per international $)",0.9677306260694831
Population ages 00-14 (% of total),0.9642706272212678
Population ages 0-14 (% of total),0.9642706272212678
"Population ages 10-14, female (% of female population)",0.9640007901626011
Male population 70-74,0.9597381583486919
"Population ages 65 and above, total",0.9591303145804253
"Population ages 45-49, female (% of female population)",0.9552965020313366
