,0
"Mortality rate, under-5 (per 1,000)",1.9914878124367594
"Mortality rate, under-5 (per 1,000 live births)",1.9903540255886867
"Mortality rate, infant (per 1,000 live births)",1.9122354992928654
"Mortality rate, neonatal (per 1,000 live births)",1.8998856497858758
"Labor force, female (% of total labor force)",1.6329006102801085
Urban population (% of total),1.631852127225869
Rural population (% of total population),1.631852127225869
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.5966092712212303
"Population ages 40-44, male (% of male population)",1.5739478483754596
Health expenditure per capita (current US$),1.562703667699276
"Population ages 45-49, male (% of male population)",1.522425877472163
"Health expenditure per capita, PPP (constant 2011 international $)",1.5220804141319138
"Health expenditure per capita, PPP",1.5220804141319138
"Population ages 35-39, female (% of female population)",1.5153964153374453
GDP per person employed (constant 2011 PPP $),1.5144043664301086
"Population ages 40-44, female (% of female population)",1.5142106936231974
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.4970643325563608
"Population ages 00-04, male (% of male population)",1.4911783895617075
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.4883195435205245
"Population, female (% of total)",1.4667513539985735
"Population, male (% of total)",1.4667513539985735
"Mortality rate, adult, female (per 1,000 female adults)",1.4665488568251939
"GNI per capita, PPP (current international $)",1.4660475206172139
"Population ages 00-14, male (% of total)",1.447702216877349
"Population ages 35-39, male (% of male population)",1.4235865865116208
"Age dependency ratio, young",1.4105676939953025
Lifetime risk of maternal death (1 in: rate varies by country),1.4089801215331736
Population ages 0-14 (% of total),1.4030195452154652
Population ages 00-14 (% of total),1.4030195452154652
"Population ages 65 and above, male",1.3898601203812826
"Population ages 65 and above, total",1.3886349981519135
Fixed telephone subscriptions (per 100 people),1.3874152825919253
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.3825757423724236
Male population 70-74,1.3713404371810678
"GNI per capita, Atlas method (current US$)",1.3611421330059366
"Population ages 15-64, male (% of total)",1.361025597433735
"Population ages 65 and above, female",1.3567818195750017
"Population ages 15-64, female (% of total)",1.3556891817304928
"Population ages 45-49, female (% of female population)",1.3485110153854092
"Population ages 15-19, male (% of male population)",1.3470161922978234
Population ages 15-64 (% of total),1.337984951795574
"Population ages 10-14, female (% of female population)",1.3367902594088905
GDP per capita (Current US$),1.330468118563342
Female population 70-74,1.330309518700057
"Population ages 00-04, female (% of female population)",1.3277394300411132
"Population ages 00-14, female (% of total)",1.3258542712947445
Age dependency ratio (% of working-age population),1.3236927455304746
Male population 30-34,1.3142733987764095
Male population 75-79,1.3108820723802048
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.3093563866715363
"Population, male",1.3033424242048601
"Population, total",1.2986106929951158
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.2960329971498852
"Unemployment, female (% of female labor force) (modeled ILO estimate)",1.2940522432149542
"Unemployment, female (% of female labor force)",1.2935853898069238
"Population ages 05-09, female (% of female population)",1.2878638507660267
"Population, female",1.2863846754893802
Male population 65-69,1.2836700885281536
Female population 30-34,1.2793485655505423
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.276261089341935
"Population ages 05-09, male (% of male population)",1.274644434313911
Urban population,1.2741782316492427
Prevalence of anemia among children (% of children under 5),1.2697384412872226
Female population 75-79,1.2681937039382791
Female population 50-54,1.2646273163407205
Female population 80+,1.2600209494128012
CO2 emissions (kt),1.2598011152564639
"Population ages 15-64, male",1.2583502316600277
Female population 65-69,1.2567862026474528
"Population ages10-14, male (% of male population)",1.244429838554034
"Population ages 15-64, total",1.2423476776821218
Male population 25-29,1.2367110835169655
Female population 55-59,1.2367015416193774
Male population 50-54,1.228043629631638
Male population 80+,1.226344598820937
Female population 45-49,1.2213154480023145
Female population 60-64,1.2192621067883
"Population ages 15-64, female",1.2192147181186028
Prevalence of anemia among pregnant women (%),1.2167476944852278
"Population ages 15-19, female (% of female population)",1.213821997822555
"Age dependency ratio, old",1.2129198567846502
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",1.2097155829375748
Female population 25-29,1.1910958870936692
"Labor force, total",1.1847231975212882
Male population 55-59,1.1814732014946454
"Population ages 75-79, male (% of male population)",1.1808993140042303
Male population 60-64,1.1802921012334644
"Population ages 50-54, male (% of male population)",1.1801912105613663
"Population ages 70-74, male (% of male population)",1.179320353879438
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.173682356317919
Trade (% of GDP),1.1724295593626402
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1697373394348656
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",1.169275608662991
"Population ages 25-29, male (% of male population)",1.160382235681471
"Age population, age 25, male, interpolated",1.1550858778977064
"Population ages 80 and older, female (% of female population)",1.1461962783542408
Country_code,1.143372708672476
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.1416531297733385
Male population 35-39,1.139495259191232
Male population 45-49,1.138180582728575
"Population ages 65-69, male (% of male population)",1.1369416076470502
"Unemployment, total (% of total labor force)",1.1339649177045206
"Population ages 80 and older, male (% of male population)",1.1300208048010094
Female population 40-44,1.1283551604937452
"Age population, age 24, male, interpolated",1.1212311481676145
"Age population, age 22, male, interpolated",1.1128890514875664
"Age population, age 23, male, interpolated",1.1115459969525288
Male population 20-24,1.1108665479402637
"Population ages 30-34, male (% of male population)",1.1107521365996438
"Age population, age 21, male, interpolated",1.1083859865555128
Female population 35-39,1.1041827259831463
Internet users (per 100 people),1.0950742802105482
Male population 40-44,1.092991795854
"Population ages 70-74, female (% of female population)",1.0909353445610823
"Age population, age 20, male, interpolated",1.0905460746348248
"Population ages 25-29, female (% of female population)",1.0880252352757664
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.083233406686814
"Age population, age 02, female, interpolated",1.0820912787636339
"Population ages 20-24, female (% of female population)",1.0782908019738717
Female population 00-04,1.0753551504938845
"Age population, age 25, female, interpolated",1.0746391874137975
"Incidence of tuberculosis (per 100,000 people)",1.071811306517527
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1.0712144445931542
"Labor force, female",1.064469936906498
"Age population, age 19, male, interpolated",1.0588421217756976
"Age population, age 0, female, interpolated",1.0582762574034288
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.0572132934858378
"Age population, age 01, female, interpolated",1.0555938579506483
"Population ages 20-24, male (% of male population)",1.0540091774014204
"Age population, age 0, male, interpolated",1.0536886573900606
"Age population, age 04, female, interpolated",1.0516653713319515
"Age population, age 03, female, interpolated",1.046474947154965
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.0426928140253358
Adults (ages 15+) newly infected with HIV,1.0409169498516846
"Age population, age 24, female, interpolated",1.0403616776923699
"Unemployment, male (% of male labor force)",1.0389688006293434
"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.0389688006293434
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,1.0381648562482275
"Age population, age 05, female, interpolated",1.0363591208406102
"Age population, age 01, male, interpolated",1.0297517937286889
"Age population, age 02, male, interpolated",1.0288348408447734
Male population 00-04,1.0285380724550026
"Population ages 65 and above, male (% of total)",1.0272893547098683
"Population ages 30-34, female (% of female population)",1.0220470486973774
"Age population, age 22, female, interpolated",1.018900357191945
"Age population, age 23, female, interpolated",1.0163165856610563
"Age population, age 06, female, interpolated",1.0141485303342348
"Age population, age 21, female, interpolated",1.013736784929353
Adults (ages 15+) living with HIV,1.0136236922646253
"Population ages 75-79, female (% of female population)",1.0113237604169583
Female population 20-24,1.010764614270654
"Age population, age 18, male, interpolated",1.0104195865157435
Male population 15-19,0.9955510475257314
"Age population, age 12, male, interpolated",0.9937918676699662
"Age population, age 07, female, interpolated",0.9926509542438131
"Age population, age 11, male, interpolated",0.9920151631376315
"Age population, age 20, female, interpolated",0.9891547050469143
Female population 05-09,0.9889188110330205
"Age population, age 06, male, interpolated",0.9889030840525848
"Age population, age 10, male, interpolated",0.9832492338562844
Male population 10-14,0.9826823931773636
"Age population, age 08, female, interpolated",0.9821504109408588
"Age population, age 05, male, interpolated",0.9813562555028708
"Age population, age 17, male, interpolated",0.9813154403706257
"Age population, age 09, male, interpolated",0.9785900190427583
"Age population, age 07, male, interpolated",0.9776219177440493
"Age population, age 04, male, interpolated",0.9756789829952861
"Population ages 60-64, male (% of male population)",0.9748271910706983
Adults (ages 15+) and children (0-14 years) living with HIV,0.9745180990088476
"Age population, age 03, male, interpolated",0.9739028184122005
"Age population, age 08, male, interpolated",0.9711154200861372
"Age population, age 10, female, interpolated",0.9693203919694888
"Age population, age 13, male, interpolated",0.9690038903597731
Male population 05-09,0.9679878538382785
"Age population, age 09, female, interpolated",0.967622437898016
"Age population, age 19, female, interpolated",0.9648377484688571
"Population ages 00-14, total",0.9634034814198273
Rural population,0.9631197300880046
"Immunization, Pol3 (% of one-year-old children)",0.9620178149801837
"Age population, age 11, female, interpolated",0.9616182888883769
"Population ages 0-14, female",0.9611526103264827
"Population ages 0-14, male",0.9599345217248809
"Age population, age 14, male, interpolated",0.9590787563181653
"Age population, age 12, female, interpolated",0.9589989059569648
"Age population, age 15, male, interpolated",0.9564539306270123
"Age population, age 16, male, interpolated",0.9541520791062916
Forest area (sq. km),0.954034587854083
Female population 10-14,0.9539135583904481
Urban population growth (annual %),0.9530110369910516
Number of neonatal deaths,0.9477322854612715
Population ages 65 and above (% of total),0.9419023173152681
"Age population, age 18, female, interpolated",0.9382737086527584
"Population ages 50-54, female (% of female population)",0.9357390926577005
"Age population, age 13, female, interpolated",0.9323147936965261
"Immunization, measles (% of children ages 12-23 months)",0.9303387177427358
"Population ages 65 and above, female (% of total)",0.9295693901665394
Number of infant deaths,0.9209166664869946
"Mortality rate, adult, male (per 1,000 male adults)",0.9172541468108715
Female population 15-19,0.9154985725383111
"Age population, age 17, female, interpolated",0.9143271096211343
"Population ages 65-69, female (% of female population)",0.9128235171671659
"Population ages 60-64, female (% of female population)",0.912257930885382
"Age population, age 14, female, interpolated",0.9010891091439559
"Age population, age 16, female, interpolated",0.8921451312237711
"Age population, age 15, female, interpolated",0.8869387525142389
