,0
"Mortality rate, adult, male (per 1,000 male adults)",1.2230902780465973
"Mortality rate, under-5 (per 1,000 live births)",1.1608133265014164
"Mortality rate, under-5 (per 1,000)",1.1608133265014164
"Mortality rate, adult, female (per 1,000 female adults)",1.051122105009189
"Population ages 30-34, female (% of female population)",1.0011146293314663
"Population ages 30-34, male (% of male population)",0.9347506384672695
Mobile cellular subscriptions (per 100 people),0.9202403568736086
"Access to anti-retroviral drugs, female (%)",0.8967130396057095
Antiretroviral therapy coverage (% of people living with HIV),0.8507921493685968
"Population ages 25-29, female (% of female population)",0.8435701020110811
"Mortality rate, infant (per 1,000 live births)",0.8411558371034551
"Access to anti-retroviral drugs, male (%)",0.8045253657452616
"GNI per capita, PPP (current international $)",0.7954886432817787
"Population ages 60-64, female (% of female population)",0.7953731185942505
Prevalence of anemia among pregnant women (%),0.7884195226495225
"PPP conversion factor, GDP (LCU per international $)",0.7787834379403327
"Population ages 65-69, male (% of male population)",0.7478001038137467
"Population ages 80 and older, female (% of female population)",0.7332183648436557
Population ages 65 and above (% of total),0.7135387691505657
"Population ages 05-09, male (% of male population)",0.7077898382046022
"Population ages 75-79, male (% of male population)",0.7031256323612829
"Population ages 05-09, female (% of female population)",0.7018101373805843
Urban population growth (annual %),0.6985545341172665
"Incidence of tuberculosis (per 100,000 people)",0.6985155756015888
"Population ages 70-74, male (% of male population)",0.6677047574509061
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.6619274891322893
Internet users (per 100 people),0.659943358353039
"Population ages 55-59, female (% of female population)",0.6597159664804111
"Population ages 40-44, female (% of female population)",0.6464913734495017
"Population ages 20-24, female (% of female population)",0.6423936076139851
"Population ages 00-14, female (% of total)",0.6345161091907205
"Population ages 45-49, male (% of male population)",0.6338842541753187
Incidence of HIV (% of uninfected population ages 15-49),0.6296648467038937
"Population ages 35-39, female (% of female population)",0.6261822800111414
Population growth (annual %),0.623030493928928
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.6145758625135289
"Population ages 65 and above, female (% of total)",0.612208175891853
"Prevalence of HIV, female (% ages 15-24)",0.6114256890820542
"Population ages 65-69, female (% of female population)",0.6034925753133797
"Population ages 35-39, male (% of male population)",0.5963848176877047
"Population ages 00-14, male (% of total)",0.5819840550662327
Population ages 0-14 (% of total),0.5787270308708972
Population ages 00-14 (% of total),0.5787270308708972
Fixed telephone subscriptions (per 100 people),0.5768080747860749
"Population ages 15-19, male (% of male population)",0.5653957141240715
"Population ages 20-24, male (% of male population)",0.5609806175692436
"Population ages 25-29, male (% of male population)",0.5587468175213033
"Health expenditure per capita, PPP",0.5559042762541901
"Health expenditure per capita, PPP (constant 2011 international $)",0.5559042762541901
"Population ages 10-14, female (% of female population)",0.5520948922068087
"Population ages 00-04, female (% of female population)",0.5437194966272747
"Population ages 40-44, male (% of male population)",0.5426173335319975
"Population ages 15-19, female (% of female population)",0.5395935847820015
"Labor force, female (% of total labor force)",0.5290521002355097
"Population ages 15-64, male (% of total)",0.5285399831668314
"Prevalence of HIV, total (% of population ages 15-49)",0.5258805892988145
"Age dependency ratio, old",0.520673288373179
"Population ages 60-64, male (% of male population)",0.5197294446393164
"Prevalence of HIV, male (% ages 15-24)",0.5128444761191475
Population ages 15-64 (% of total),0.5128359595838883
"Population ages 15-64, female (% of total)",0.5126804135148078
"Age dependency ratio, young",0.5117283266535941
Years,0.5089147113461778
Rural population (% of total population),0.508040829622276
Urban population (% of total),0.508040829622276
"Population ages10-14, male (% of male population)",0.5067317277227805
"Population ages 75-79, female (% of female population)",0.5056091447568858
Age dependency ratio (% of working-age population),0.5052577250617025
GDP per person employed (constant 2011 PPP $),0.503965872946083
"Immunization, measles (% of children ages 12-23 months)",0.5014840382585
"Population ages 65 and above, male (% of total)",0.4920478737093199
Health expenditure per capita (current US$),0.4775110219430849
"Population ages 50-54, female (% of female population)",0.4674540083826497
Rural population growth (annual %),0.4637371730813582
AIDS estimated deaths (UNAIDS estimates),0.4618726789862848
GDP per capita (Current US$),0.45578170778372185
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.45564590556296425
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.44679195316906606
"Population ages 50-54, male (% of male population)",0.44437921127937363
Prevalence of anemia among children (% of children under 5),0.44034405098123
"Population ages 55-59, male (% of male population)",0.43599927339952105
"Population, female (% of total)",0.4336933288704232
"Population, male (% of total)",0.4336933288704232
Number of people who are undernourished,0.4270113957763666
"GNI per capita, Atlas method (current US$)",0.4238210178829527
"Population ages 70-74, female (% of female population)",0.4187618613688535
"Population ages 00-04, male (% of male population)",0.41477470809896344
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.40302975099470517
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.3968275781475752
"Population ages 80 and older, male (% of male population)",0.38930807088367914
Women's share of population ages 15+ living with HIV (%),0.38015510472913183
"School enrollment, secondary, female (% gross)",0.3788390778628923
"School enrollment, secondary (% gross)",0.37733282304717863
Male population 40-44,0.3641645329176244
"Mortality rate, neonatal (per 1,000 live births)",0.3531863128771371
"School enrollment, secondary, male (% gross)",0.3519589959682461
"Population ages 45-49, female (% of female population)",0.3389529198645205
"Immunization, Pol3 (% of one-year-old children)",0.33434522247622755
"Secondary education, teachers (% female)",0.3322578559352394
"Cost of business start-up procedures, female (% of GNI per capita)",0.32627844438925213
"Cost of business start-up procedures, male (% of GNI per capita)",0.32627844438925213
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.32532779340541795
Male population 35-39,0.3227447204927445
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.3207160292676865
"Children out of school, primary, female",0.31174368716815914
Number of under-five deaths,0.31151060606456515
"Immunization, DPT (% of children ages 12-23 months)",0.30539055686025174
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.303227294056871
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.3015280915499887
Male population 45-49,0.3000655180718501
Male population 55-59,0.2929610577171218
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.2900554587925597
"Secondary education, pupils (% female)",0.2891532029432773
"School enrollment, secondary (gross), gender parity index (GPI)",0.28879606008613457
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.28879606008613457
Urban population,0.2871405943791352
Male population 60-64,0.2817150757043114
Lifetime risk of maternal death (1 in: rate varies by country),0.27768178656509157
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.27763407319460187
"Children out of school, primary, male",0.275682182865717
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.2726799216432836
Female population 40-44,0.2707758295706064
"Survival to age 65, female (% of cohort)",0.27048452817967394
Female population 35-39,0.26965317515521936
Male population 30-34,0.2581933013043316
Female population 30-34,0.25813852901427725
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.25763681270268557
Adults (ages 15+) newly infected with HIV,0.2528872740514827
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.2489279838760794
Number of infant deaths,0.2424026995707076
"School enrollment, secondary, female (% net)",0.24024256504228747
Female population 45-49,0.23735972512868142
Female population 60-64,0.2369216007428261
"School enrollment, secondary (% net)",0.23378377320755606
"Population ages 15-64, male",0.2336914576895075
"School enrollment, secondary, male (% net)",0.23291937819178976
Female population 50-54,0.2318167405835252
GDP (current US$),0.23155681496238567
"Population ages 15-64, total",0.22680278638037832
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.22303231006193824
Female population 55-59,0.22213664546992873
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.22158068474418524
Male population 50-54,0.2211151628935919
"Immunization, Hib3 (% of children ages 12-23 months)",0.22048233164721065
Female population 70-74,0.21908497525207316
"Unemployment, male (% of male labor force)",0.21903676688806017
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.21903676688806017
Net official development assistance received (current US$),0.21790645956973131
Net official development assistance and official aid received (current US$),0.21790645956973131
"Population, male",0.2167988602726989
"Population ages 15-64, female",0.21671478108499986
"Net intake rate in grade 1, male (% of official school-age population)",0.21548737502313897
Female population 25-29,0.21339531417294877
"Net intake rate in grade 1, female (% of official school-age population)",0.21290665457879432
Female population 75-79,0.20842450217138375
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.20603597094909176
"Population, total",0.20414560976595975
"Population, female",0.2012020114464217
"Survival to age 65, male (% of cohort)",0.19648108342350068
Country_code,0.19454427116116602
"GNI, Atlas method (current US$)",0.1912123925783642
Male population 25-29,0.19011463361413616
Female population 80+,0.18543872055472277
"Lower secondary completion rate, female (% of relevant age group)",0.185102977388087
"Lower secondary completion rate, male (% of relevant age group)",0.18498031633420564
"Unemployment, total (% of total labor force)",0.18485515780396966
Number of maternal deaths,0.18449992651826896
Male population 70-74,0.18025335629817119
"Health expenditure, total (current US$)",0.17869793272393353
Newborns protected against tetanus (%),0.1759811064028316
Tuberculosis treatment success rate (% of new cases),0.17491546866378438
"Age population, age 25, female, interpolated",0.17482161975993238
Male population 75-79,0.17305218547214274
"Primary completion rate, male (% of relevant age group)",0.17228136365494628
Male population 80+,0.1715013647242125
"Population ages 65 and above, total",0.17128956157027697
"Immunization, BCG (% of one-year-old children)",0.17118320698754141
"Population ages 65 and above, female",0.17040606163920935
"Primary completion rate, total (% of relevant age group)",0.1698019066090415
"Population ages 65 and above, male",0.16885203108054214
Adults (ages 15+) living with HIV,0.1662446612507391
"Primary education, teachers (% female)",0.16469916236446092
"Age population, age 24, female, interpolated",0.1604006147720376
Male population 65-69,0.15997739415123924
Sex ratio at birth (male births per female births),0.1573844438337073
Female population 20-24,0.15589766051461962
Trade (% of GDP),0.15378475361174226
"Age population, age 0, female, interpolated",0.15376525579602185
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.15243038751295956
Out-of-pocket health expenditure (% of private expenditure on health),0.15226850940049386
