,0
"Mortality rate, infant (per 1,000 live births)",1.5622886141462111
"Mortality rate, under-5 (per 1,000)",1.5333941669078994
"Mortality rate, under-5 (per 1,000 live births)",1.5291424662276274
"Population ages 00-14, female (% of total)",1.5106684225973128
"Population ages 00-04, male (% of male population)",1.4976941966267185
Age dependency ratio (% of working-age population),1.4655019297528642
"Population ages 00-14, male (% of total)",1.4652034396102174
"Mortality rate, neonatal (per 1,000 live births)",1.4636901477377882
Population ages 15-64 (% of total),1.443509337132919
Prevalence of anemia among children (% of children under 5),1.4414069175272626
"Population ages 15-64, male (% of total)",1.4222938528875346
"Population ages 15-64, female (% of total)",1.3635254163738324
"Population ages 05-09, male (% of male population)",1.3565713380516664
Population ages 0-14 (% of total),1.3490830875780206
Population ages 00-14 (% of total),1.3490830875780206
"Population ages 70-74, male (% of male population)",1.3443617851563012
"Population ages 45-49, male (% of male population)",1.334307864816609
"Age dependency ratio, young",1.3177574951318496
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.3164371779097186
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.3071080186641155
"Population ages 45-49, female (% of female population)",1.3052824694078184
"Population ages 00-04, female (% of female population)",1.301747490003724
Rural population growth (annual %),1.2986669445497494
"Labor force, female (% of total labor force)",1.2824176888132839
"Population ages 40-44, male (% of male population)",1.2756034546749204
"Population ages 40-44, female (% of female population)",1.2420646004097287
"Age dependency ratio, old",1.229362357505578
"Population ages10-14, male (% of male population)",1.2207816401503266
Prevalence of anemia among pregnant women (%),1.21755546023349
"Population ages 05-09, female (% of female population)",1.2147050439894822
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.2073808483028077
"Population ages 65 and above, male (% of total)",1.2051461742968523
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.2001563086187597
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1984258863381885
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.1841715882204258
"GNI per capita, PPP (current international $)",1.1831939648278333
GDP per person employed (constant 2011 PPP $),1.1766537349544395
"Immunization, BCG (% of one-year-old children)",1.1604298340863641
"Population ages 80 and older, female (% of female population)",1.1545455009229402
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.1475055312792852
"Population ages 30-34, female (% of female population)",1.1429686252839515
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.1324910183869918
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1.1194492471379562
Urban population (% of total),1.108385770257828
Rural population (% of total population),1.108385770257828
"Population ages 65 and above, female (% of total)",1.104426502484015
"Population ages 75-79, male (% of male population)",1.0963486178020008
"Population ages 75-79, female (% of female population)",1.0922240301697559
Population ages 65 and above (% of total),1.0915410854287213
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.0882812666154567
"Population ages 50-54, male (% of male population)",1.0877976253887818
"PPP conversion factor, GDP (LCU per international $)",1.0807737965423025
"Population ages 80 and older, male (% of male population)",1.0785236432739986
"Population ages 70-74, female (% of female population)",1.0705759639234929
"Population ages 50-54, female (% of female population)",1.049777642066708
Lifetime risk of maternal death (1 in: rate varies by country),1.0469397934835183
"Population ages 65-69, male (% of male population)",1.036699340353652
"GNI per capita, Atlas method (current US$)",1.0336620052802843
"Population ages 35-39, male (% of male population)",1.0259977555929076
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.0117738387962527
"Immunization, measles (% of children ages 12-23 months)",1.0114858012076127
"Immunization, Pol3 (% of one-year-old children)",1.0044974025112108
Urban population growth (annual %),1.0032451900848502
"Population ages 60-64, male (% of male population)",1.0000010851599908
"Population ages 10-14, female (% of female population)",0.9815788871737396
Country_code,0.9776736288938679
"Immunization, DPT (% of children ages 12-23 months)",0.9732131050901036
"Population ages 25-29, female (% of female population)",0.9710109060940462
"Population ages 35-39, female (% of female population)",0.945447123016661
"Population, male (% of total)",0.9412168211806762
"Population, female (% of total)",0.9412168211806762
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.9377506538383229
Population growth (annual %),0.9288875680069792
"Population ages 55-59, male (% of male population)",0.9255585353657461
"Population ages 15-19, female (% of female population)",0.922306427984358
GDP per capita (Current US$),0.9100038588440671
"Population ages 65-69, female (% of female population)",0.9076193962534078
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.9060552742988786
"Population ages 25-29, male (% of male population)",0.8941204031860628
"Population ages 15-19, male (% of male population)",0.882071541992238
"Population ages 60-64, female (% of female population)",0.8718609305908798
"Population ages 55-59, female (% of female population)",0.862475853203371
Newborns protected against tetanus (%),0.8509852997554805
"Population ages 30-34, male (% of male population)",0.8348550645912454
"Incidence of tuberculosis (per 100,000 people)",0.8204777989614402
"Population ages 20-24, male (% of male population)",0.8182090479517194
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.8098019301011616
"Population ages 20-24, female (% of female population)",0.7994386017038568
"Mortality rate, adult, female (per 1,000 female adults)",0.7498857596438571
Children orphaned by HIV/AIDS,0.7150031546108322
Mobile cellular subscriptions (per 100 people),0.6845935722953107
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.6758636889285556
"Unemployment, female (% of female labor force)",0.6753384788445222
"Unemployment, total (% of total labor force)",0.6428851878360189
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.6356588216815711
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.620653470991908
"GNI, Atlas method (current US$)",0.6083421327668657
Children (0-14) living with HIV,0.6065570547980286
Number of neonatal deaths,0.6061633318513067
"Age population, age 0, female, interpolated",0.5978155288665847
"Age population, age 0, male, interpolated",0.5821945162894908
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.5777658362837239
Number of under-five deaths,0.5775534040105963
Number of infant deaths,0.5755293982548133
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.5720813124625372
"Age population, age 01, female, interpolated",0.5676746665460135
"Mortality rate, adult, male (per 1,000 male adults)",0.5671029983812932
"Age population, age 01, male, interpolated",0.5645195574830815
GDP (current US$),0.5617838365388439
Female population 80+,0.5573957883580607
"Cost of business start-up procedures, male (% of GNI per capita)",0.5540159947549452
"Cost of business start-up procedures, female (% of GNI per capita)",0.5533967253080365
Trade (% of GDP),0.5403144567011369
Male population 00-04,0.5396142639321964
"Age population, age 02, male, interpolated",0.5382877183619283
Female population 00-04,0.5376053351622572
Male population 80+,0.5345026386669967
"Age population, age 02, female, interpolated",0.5341471168885983
Number of people who are undernourished,0.5332971019014938
"Unemployment, male (% of male labor force)",0.5299069080910224
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.5299069080910224
Improved sanitation facilities (% of population with access),0.5274984027604146
