,0
"GNI per capita, PPP (current international $)",1.3063488831141932
"GNI per capita, Atlas method (current US$)",1.1515232869205745
"Mortality rate, under-5 (per 1,000)",1.09924105220232
"Mortality rate, under-5 (per 1,000 live births)",1.080816676010691
GDP per person employed (constant 2011 PPP $),1.077746540946924
"Mortality rate, neonatal (per 1,000 live births)",1.0338874022653068
GDP per capita (Current US$),1.0259773240915306
"Mortality rate, infant (per 1,000 live births)",1.01895285269124
Number of neonatal deaths,0.9960992753236817
"Health expenditure per capita, PPP (constant 2011 international $)",0.9781755149829041
"Health expenditure per capita, PPP",0.9781755149829041
Rural population (% of total population),0.9702888646713088
Urban population (% of total),0.9702888646713088
Number of infant deaths,0.9496812193867847
Number of under-five deaths,0.9446821451569738
Health expenditure per capita (current US$),0.9351476559432492
Female population 25-29,0.8640485432673248
Female population 20-24,0.8350499081022624
Male population 50-54,0.7929693534974702
"Age population, age 23, female, interpolated",0.7890932413266922
Female population 50-54,0.786377964408536
"Age population, age 22, female, interpolated",0.7816198014785747
Male population 25-29,0.7815433492834045
"Age population, age 25, female, interpolated",0.7719546161779594
"Age population, age 24, female, interpolated",0.7684767364470755
Female population 30-34,0.7678170771061201
"Age population, age 21, female, interpolated",0.7650459604974587
Male population 20-24,0.760971635976015
Female population 45-49,0.7449592346540821
"Age population, age 20, female, interpolated",0.7331118805803016
Male population 45-49,0.7323737470541154
"Labor force, female",0.7319008706046684
"Population ages 65 and above, male",0.7276180724364227
Male population 30-34,0.7192598901065708
"Age population, age 22, male, interpolated",0.715083934662053
Female population 05-09,0.7146913188388977
Male population 60-64,0.7137651111935419
"Age population, age 21, male, interpolated",0.7128932271491233
"Age population, age 25, male, interpolated",0.7113425673519345
"Age population, age 19, female, interpolated",0.7070624662172582
"Age population, age 20, male, interpolated",0.7054316617470828
Female population 35-39,0.7050564005376281
Female population 80+,0.7050425635000375
Female population 55-59,0.7044471367517269
"Age population, age 23, male, interpolated",0.7035927569465397
Male population 65-69,0.7029991138911864
Male population 55-59,0.6998695834199844
Female population 15-19,0.6957965595409021
Female population 60-64,0.6953772501512376
Female population 10-14,0.6936296218766289
Male population 05-09,0.6918929414430433
Male population 75-79,0.6902485029062131
"Population ages 65 and above, total",0.6883133330391846
Male population 80+,0.6879150281908921
"Age population, age 24, male, interpolated",0.6877271875904567
Male population 15-19,0.6841747346738938
Male population 10-14,0.68290508344873
"Age population, age 19, male, interpolated",0.6817617705949974
Male population 35-39,0.6810912240428202
"Population, total",0.6807223167042791
Female population 40-44,0.6773483969761458
"Age population, age 18, female, interpolated",0.677088047192
"Age population, age 18, male, interpolated",0.6618401092824149
"Age population, age 0, male, interpolated",0.6553345124254957
"Population, female",0.6552897002148224
Country_code,0.6524563429144656
"Age population, age 0, female, interpolated",0.651655617848113
Female population 65-69,0.6510186829842
Lifetime risk of maternal death (1 in: rate varies by country),0.648712753788462
"Mortality rate, adult, female (per 1,000 female adults)",0.646225430374676
Rural population growth (annual %),0.6454193311863632
Male population 40-44,0.6441475052933567
"Age population, age 17, male, interpolated",0.6431670047964362
"Age population, age 06, female, interpolated",0.6427413530773296
"Population ages 0-14, female",0.6422303633273514
"Age population, age 08, female, interpolated",0.6413805483717367
"Population ages 00-14, total",0.6408629888521791
Male population 70-74,0.6398988318039209
"Age population, age 08, male, interpolated",0.6390831236063641
"Age population, age 07, female, interpolated",0.6373296033384519
"Labor force, total",0.6358459830002379
"Population ages 15-64, female",0.6344573872885357
Female population 00-04,0.6339218866798477
"Age population, age 06, male, interpolated",0.6335206257979857
"Population ages 65 and above, female",0.6334642948779412
"Population ages 0-14, male",0.6321419675296154
"Age population, age 05, female, interpolated",0.6317441018728487
"Age population, age 17, female, interpolated",0.6313378944492389
"Age population, age 07, male, interpolated",0.6299960078824829
"Age population, age 05, male, interpolated",0.6263917534205836
"Population, male",0.6255218112878769
Male population 00-04,0.6223263526099858
"Population ages 15-64, total",0.6222847171824561
"Age population, age 09, male, interpolated",0.6134832615160257
"Age population, age 09, female, interpolated",0.6127645168626477
"Age population, age 16, male, interpolated",0.6121478497625725
"Population ages 15-64, male",0.6094810352405435
"Age population, age 10, female, interpolated",0.6089030416565575
"Age population, age 16, female, interpolated",0.6087565184352988
"Age population, age 10, male, interpolated",0.608190385822549
"Age population, age 11, female, interpolated",0.6058303617082581
"Age population, age 12, male, interpolated",0.605471250418542
"Age population, age 11, male, interpolated",0.6053434992950852
Mobile cellular subscriptions (per 100 people),0.6027111184288967
Female population 75-79,0.6011832828764185
"Age population, age 12, female, interpolated",0.6000993664124961
Net official development assistance and official aid received (current US$),0.5939030708183983
Net official development assistance received (current US$),0.5935692924472371
Urban population,0.5931258191388298
"Age population, age 15, male, interpolated",0.5901556149436149
"Mortality rate, adult, male (per 1,000 male adults)",0.5892398237774259
"Age population, age 04, female, interpolated",0.5884339284614213
"Age population, age 04, male, interpolated",0.5861597563971377
"Age population, age 13, male, interpolated",0.5812766239747891
Urban population growth (annual %),0.5784252682148789
"Age population, age 13, female, interpolated",0.577788193345095
"Age population, age 15, female, interpolated",0.5763661527882693
"Age population, age 14, male, interpolated",0.5711090741523286
"Age population, age 01, female, interpolated",0.5697262845064599
"Age population, age 14, female, interpolated",0.5679000481318504
"Age population, age 03, female, interpolated",0.5641852235380451
"Age population, age 01, male, interpolated",0.5638739096624508
"Age population, age 03, male, interpolated",0.5618680067833148
"GNI, Atlas method (current US$)",0.5588061516433009
"Age population, age 02, female, interpolated",0.5497826646909134
GDP (current US$),0.5490462847427164
Rural population,0.5396836994715577
Female population 70-74,0.5388839516946105
"Age population, age 02, male, interpolated",0.5361901094007404
Net ODA received (% of GNI),0.5275601687255518
Net ODA received per capita (current US$),0.5074368535607101
Forest area (sq. km),0.49886927663689473
Prevalence of anemia among children (% of children under 5),0.47394790010920085
CO2 emissions (kt),0.47184343424763187
Trade (% of GDP),0.4410057948313315
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.4298805657903253
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.42728322724874657
"Health expenditure, total (current US$)",0.4190618141084088
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),0.4097016651966441
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.40138601377981
"Immunization, BCG (% of one-year-old children)",0.40108410867861455
Adults (ages 15+) newly infected with HIV,0.3989239095970105
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.38894141511433733
Average tariffs imposed by developed countries on clothing products from developing countries (%),0.3875757258491619
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),0.3865824790398491
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.38530832306946183
Average tariffs imposed by developed countries on textile products from least developed countries (%),0.3849672215161275
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.3849672215161275
Average tariffs imposed by developed countries on textile products from developing countries (%),0.3849672215161275
Average tariffs imposed by developed countries on clothing products from least developed countries (%),0.3849672215161275
"Net ODA provided, total (constant 2015 US$)",0.38291569216439636
Fixed telephone subscriptions (per 100 people),0.3694954503874093
Out-of-pocket health expenditure (% of private expenditure on health),0.36784009987359
Adults (ages 15+) and children (0-14 years) living with HIV,0.36684676594615384
"Net ODA provided, total (current US$)",0.36497246961957286
People using safely managed sanitation services (% of population),0.35882095001662395
Internet users (per 100 people),0.3498922531985862
Adults (ages 15+) living with HIV,0.34346297797179615
"People using safely managed sanitation services, urban  (% of urban population)",0.34109508558227764
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.3391739346556313
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.335092694573804
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.3091058719592936
"Incidence of tuberculosis (per 100,000 people)",0.3075067800902027
"Total debt service (% of exports of goods, services and primary income)",0.3052954531584873
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.2880469592458925
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.2836455186066149
Children orphaned by HIV/AIDS,0.2773395097332769
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",0.27475906292210284
"Unemployment with basic education, female (% of female labor force with basic education)",0.27384180493654386
"Unemployment with basic education, male (% of male labor force with basic education)",0.2731784121749423
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.2717580855362569
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.2712908715398794
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.2671436550663977
External resources for health (% of total expenditure on health),0.26701973728574124
Proportion of seats held by women in national parliaments (%),0.2664423233189459
Total bilateral sector allocable ODA commitments (current US$),0.26604761802352095
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.263204073239357
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",0.26223935176207447
"Labor force with basic education, female (% of female working-age population with basic education)",0.2615715139980985
Out-of-pocket health expenditure (% of total expenditure on health),0.2609214387743719
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.25684386966057704
"Unemployment, male (% of male labor force)",0.25684386966057704
"Unemployment, total (% of total labor force)",0.2554758826221615
"Net ODA provided, total (% of GNI)",0.25500055183050074
"PPP conversion factor, private consumption (LCU per international $)",0.2530207987859143
"Labor force with basic education, male (% of male working-age population with basic education)",0.2517813907811661
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.25100040562692305
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.249860196348356
"Unemployment, female (% of female labor force)",0.249860196348356
"Health expenditure, private (% of total health expenditure)",0.24810067645020095
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.24783161950293553
Net ODA provided to the least developed countries (% of donor GNI),0.24758396322098575
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.2458374620112358
"Health expenditure, public (% of total health expenditure)",0.24506313764124865
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",0.24217407153370196
Net ODA provided to the least developed countries (current US$),0.24070809531213544
Tuberculosis treatment success rate (% of new cases),0.2379177020408565
"Age dependency ratio, old",0.23722038643723975
"Health expenditure, private (% of GDP)",0.23425414021482616
"Prevalence of overweight, male (% of male adults)",0.23308613819062018
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.22318876476383132
"PPP conversion factor, GDP (LCU per international $)",0.22211591851399315
"Employment in services, female (% of female employment)",0.22205958360179667
Prevalence of anemia among pregnant women (%),0.22157998464394812
"Population ages 65 and above, male (% of total)",0.21995900269990387
"Self-employed, male (% of male employment)",0.2199282295445495
"Access to anti-retroviral drugs, female (%)",0.21748843504806303
Population ages 65 and above (% of total),0.21639798649953068
"Prevalence of overweight, female (% of female adults)",0.21631495928485123
"Self-employed, female (% of female employment)",0.21585552255963703
"Population ages 00-14, male (% of total)",0.21470520013658168
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0.21432638123220737
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",0.21423325329757503
"Self-employed, total (% of total employment)",0.21393271397130853
"Population ages 65 and above, female (% of total)",0.21330733999197204
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.2128062054175981
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",0.21184800454366126
Population ages 0-14 (% of total),0.20940322010257417
Population ages 00-14 (% of total),0.20940322010257417
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.20874426567261728
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.20810910114592418
Children (ages 0-14) newly infected with HIV,0.2073973275499752
Antiretroviral therapy coverage (% of people living with HIV),0.20670471055773687
Children (0-14) living with HIV,0.2057296398866879
CO2 emissions (metric tons per capita),0.20520469157376264
"Population ages 00-14, female (% of total)",0.20431875544405975
"Access to anti-retroviral drugs, male (%)",0.20341505281561667
"Immunization, Hib3 (% of children ages 12-23 months)",0.20306714852622876
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.20277685014374236
