,0
"Mortality rate, under-5 (per 1,000 live births)",1.28942628038963
"Mortality rate, under-5 (per 1,000)",1.2882887366275368
"Mortality rate, infant (per 1,000 live births)",1.2382697586454015
"Mortality rate, neonatal (per 1,000 live births)",1.2030974008979816
"Mortality rate, adult, female (per 1,000 female adults)",1.088627417577049
"Mortality rate, adult, male (per 1,000 male adults)",1.0106929877589703
Rural population (% of total population),0.9596684423655284
Urban population (% of total),0.9596684423655284
Women's share of population ages 15+ living with HIV (%),0.9305201968854391
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.9217342684734966
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.9084820255365362
"Population, male (% of total)",0.8986879603959625
"Population, female (% of total)",0.8986879603959625
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.8919674304170511
"Population ages 00-14, female (% of total)",0.8890743066335252
"Population ages 05-09, female (% of female population)",0.8785289997040802
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.8682367801853115
"Population ages 80 and older, female (% of female population)",0.843260300828589
"Population ages 00-04, male (% of male population)",0.8338678129766137
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.8258359501200041
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.824016576109686
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.8223449397591938
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.8183114592877212
"Survival to age 65, female (% of cohort)",0.8130336760735011
"Population ages 45-49, male (% of male population)",0.8118399375497813
"Prevalence of HIV, total (% of population ages 15-49)",0.8099238035230223
"Population ages 40-44, male (% of male population)",0.808298481061871
"Population ages 00-04, female (% of female population)",0.8080166121217989
Urban population growth (annual %),0.7950896105233363
Population ages 0-14 (% of total),0.791972369159347
Population ages 00-14 (% of total),0.791972369159347
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.7829969276114266
"Population ages 30-34, female (% of female population)",0.7824100921506791
"Age dependency ratio, old",0.7752295128987305
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.7676690896903078
"Age dependency ratio, young",0.7632582740066063
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.7628779129033392
Rural population growth (annual %),0.7569864560427493
"Population ages 20-24, male (% of male population)",0.7492857528283121
"Labor force, female (% of total labor force)",0.7452658774821899
Prevalence of anemia among pregnant women (%),0.7443553304243511
"Population ages 40-44, female (% of female population)",0.7432355323198401
"Prevalence of HIV, female (% ages 15-24)",0.74052685454933
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.7342613707591354
"Population ages 65 and above, female (% of total)",0.734073871846149
"Population ages 00-14, male (% of total)",0.7327963912333249
"Population ages 80 and older, male (% of male population)",0.7267192971111731
"Survival to age 65, male (% of cohort)",0.7172169295735502
Female population 50-54,0.7141772184508812
"PPP conversion factor, GDP (LCU per international $)",0.7064774874708508
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.7026193549748205
"Population ages 75-79, female (% of female population)",0.700529516232212
Female population 45-49,0.7000522493317787
"Population ages 20-24, female (% of female population)",0.6990858751204514
GDP per person employed (constant 2011 PPP $),0.6982532529403458
"Population ages 05-09, male (% of male population)",0.6898420250249413
"GNI per capita, PPP (current international $)",0.6857384944911327
"Population ages 45-49, female (% of female population)",0.6793882126325923
Age dependency ratio (% of working-age population),0.6769581474536248
"Population ages 35-39, male (% of male population)",0.6762333898904371
"Population ages 55-59, female (% of female population)",0.6734448524749737
Female population 55-59,0.6635378182766547
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.6616519050270613
Female population 40-44,0.6597686029509471
"Population ages 70-74, female (% of female population)",0.6584382631759174
"Population ages 15-64, female (% of total)",0.6526383822741475
Population ages 15-64 (% of total),0.6505044618157076
Prevalence of anemia among children (% of children under 5),0.6497248962819002
"Population ages 15-64, male (% of total)",0.6480726660953642
"Labor force, total",0.6468806721281521
"Prevalence of HIV, male (% ages 15-24)",0.6468696010770856
"Population ages 75-79, male (% of male population)",0.6468484598912609
Forest area (sq. km),0.6447262330015935
"Population, female",0.6436488523120434
Female population 35-39,0.6378339383366787
