,0
"Mortality rate, infant (per 1,000 live births)",1.3895671959953328
"Mortality rate, under-5 (per 1,000)",1.3762159059298442
"Mortality rate, under-5 (per 1,000 live births)",1.3761689025797623
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.366932782522142
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.3510220653855298
Urban population (% of total),1.3455913565127844
Rural population (% of total population),1.3453123386556416
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.3323990658314253
"Population ages 15-64, male (% of total)",1.2785041373571073
"Mortality rate, neonatal (per 1,000 live births)",1.2750670183776118
"Population ages 65 and above, male (% of total)",1.2722496348100605
"Population ages 75-79, male (% of male population)",1.2290605992395984
"Population, male (% of total)",1.2125787918887485
"Population, female (% of total)",1.2125787918887485
Age dependency ratio (% of working-age population),1.2073015420691968
"Population ages 80 and older, male (% of male population)",1.1983619894090722
Population ages 65 and above (% of total),1.1893683949285303
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.1859006116767095
"Age dependency ratio, old",1.1827770399759872
"Population ages 05-09, female (% of female population)",1.1811236816810156
Population ages 15-64 (% of total),1.1805993520420386
"Population ages 65 and above, female (% of total)",1.177745493423347
"Population ages 70-74, male (% of male population)",1.1604976093881474
"Population ages 00-14, male (% of total)",1.1541739659238663
"Labor force, female (% of total labor force)",1.148760988391801
"Population ages 75-79, female (% of female population)",1.1463648822031547
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1450289404716347
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.1446260268387602
"Population ages 00-04, male (% of male population)",1.1360798477865495
"Population ages 65-69, male (% of male population)",1.1338478844985267
Prevalence of anemia among pregnant women (%),1.1313233928177282
"GNI per capita, PPP (current international $)",1.1206278528249811
"Population ages 70-74, female (% of female population)",1.1201745324219243
"Population ages 05-09, male (% of male population)",1.1177887686237362
Prevalence of anemia among children (% of children under 5),1.0976317689031974
"Population ages 00-14, female (% of total)",1.0938955427553823
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.0846708365195052
"Population ages10-14, male (% of male population)",1.077232542814241
Population ages 0-14 (% of total),1.0740170671486844
Population ages 00-14 (% of total),1.0740170671486844
"Age dependency ratio, young",1.0720504013661203
"Population ages 25-29, female (% of female population)",1.071595547709387
GDP per person employed (constant 2011 PPP $),1.0714577292132215
"Population ages 65-69, female (% of female population)",1.0701171788719672
"Population ages 00-04, female (% of female population)",1.0675154812618173
"Population ages 25-29, male (% of male population)",1.039811697040391
"Population, female",1.020288242030483
"Population ages 30-34, male (% of male population)",1.0195640947100806
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.018283850681446
"Population ages 15-64, female",1.0122603123593001
Female population 20-24,1.007892572029916
Female population 00-04,1.0068055064474848
"Population ages 30-34, female (% of female population)",0.9985567203966301
"Age population, age 01, male, interpolated",0.9977235863412868
"Labor force, total",0.9971128020645881
"Age population, age 18, female, interpolated",0.9950822175234371
"Age population, age 0, male, interpolated",0.9932987711302528
"Age population, age 22, female, interpolated",0.9928221092122054
"Age population, age 19, female, interpolated",0.9927362820609624
"Age population, age 17, female, interpolated",0.9925382454382508
"Population ages 60-64, female (% of female population)",0.9919394276526825
Male population 20-24,0.9896987369255985
Female population 15-19,0.9883595259862741
Male population 00-04,0.9881300661594707
"Population ages 40-44, male (% of male population)",0.987836727461505
"Age population, age 16, female, interpolated",0.9868304895995275
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.9863539989211283
Female population 60-64,0.9862247679047962
"Age population, age 0, female, interpolated",0.9852124445758692
"Age population, age 21, female, interpolated",0.9848616647295518
"Age population, age 01, female, interpolated",0.9833902869614364
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.9812564653157549
"Age population, age 15, female, interpolated",0.9810055456811457
"GNI per capita, Atlas method (current US$)",0.977116455547534
"Age population, age 20, female, interpolated",0.9759998518942661
"Age population, age 02, female, interpolated",0.9742596414244717
"Age population, age 23, female, interpolated",0.9734734182695286
"Age population, age 02, male, interpolated",0.9733673045068065
Female population 40-44,0.9733526919843274
"Age population, age 22, male, interpolated",0.9659388695257713
Male population 15-19,0.9654790227605257
Female population 50-54,0.9645280802918146
"Age population, age 15, male, interpolated",0.9610671588928876
"Population ages 15-64, female (% of total)",0.9591971577181915
"Age population, age 03, female, interpolated",0.9591493540394427
"Age population, age 16, male, interpolated",0.9553593437805419
"Age population, age 04, female, interpolated",0.9541164860821021
"Age population, age 14, female, interpolated",0.9536702484891073
"Age population, age 03, male, interpolated",0.9531703263715099
"Age population, age 17, male, interpolated",0.9527809802874367
"Labor force, female",0.9509564387516187
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.9491714476126019
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.9487381065757323
"Age population, age 23, male, interpolated",0.9371253928242615
"Age population, age 18, male, interpolated",0.9337730524766568
"Age population, age 24, female, interpolated",0.9323410657327149
"Age population, age 04, male, interpolated",0.932136246579728
"Age population, age 14, male, interpolated",0.9301588116656911
"Population ages 15-64, total",0.9277677406927465
"Age population, age 21, male, interpolated",0.9275762684788176
"Population ages 15-19, male (% of male population)",0.9269918590897448
"Age population, age 13, female, interpolated",0.9268454155614019
"Age population, age 13, male, interpolated",0.9218741179969401
Male population 45-49,0.9212472511642278
"Age population, age 05, female, interpolated",0.9209586238556078
Female population 35-39,0.9197799510573637
Female population 45-49,0.9191952913421879
"Population ages 0-14, female",0.9176123658309221
"Population, male",0.9155405946816901
"Population ages 00-14, total",0.9116891774782627
"Age population, age 05, male, interpolated",0.911329882248145
"Population ages 45-49, female (% of female population)",0.9105238106320312
"Age population, age 19, male, interpolated",0.9089723450251204
"Age population, age 20, male, interpolated",0.9083967081001685
Female population 10-14,0.9082663563778519
Fixed telephone subscriptions (per 100 people),0.9069522345350998
"Population ages 50-54, female (% of female population)",0.9061021644888525
"Age population, age 25, female, interpolated",0.9055221416734249
"Population ages 15-64, male",0.9052493436932778
"Age population, age 12, female, interpolated",0.905013351395052
GDP per capita (Current US$),0.9035198743810207
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.9031013730337221
"Unemployment, female (% of female labor force)",0.9029738220133137
"Age population, age 12, male, interpolated",0.9022953175132806
"Population ages 55-59, female (% of female population)",0.9020889154915102
"Age population, age 06, female, interpolated",0.8999697124936152
Male population 10-14,0.8995153827660545
Country_code,0.8983907891683534
"Population ages 80 and older, female (% of female population)",0.8958820690038287
"Population ages 0-14, male",0.8951579330911685
"Age population, age 11, female, interpolated",0.8929949550929912
"Age population, age 10, female, interpolated",0.890221577330045
"Age population, age 07, female, interpolated",0.8898276255233593
Female population 05-09,0.8846477575616047
"Population ages 35-39, female (% of female population)",0.8839169409395855
"Unemployment, total (% of total labor force)",0.8835019977620555
"Age population, age 06, male, interpolated",0.8834079583423113
Rural population,0.8824907330556413
"Age population, age 11, male, interpolated",0.8823578886464163
Female population 55-59,0.8808681104211167
"Population ages 35-39, male (% of male population)",0.8798623002376478
"Age population, age 09, female, interpolated",0.8767692286910229
"Age population, age 08, female, interpolated",0.8767205506859712
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.8763713962375492
"Population ages 60-64, male (% of male population)",0.8712680684640048
"Population, total",0.8698352955217237
