,0
Health expenditure per capita (current US$),0.624609591757014
"GNI per capita, Atlas method (current US$)",0.5654403698590396
"GNI per capita, PPP (current international $)",0.5358182979435897
Internet users (per 100 people),0.5179017807854231
GDP per capita (Current US$),0.4603044390430213
Mobile cellular subscriptions (per 100 people),0.42735304990889933
Fixed telephone subscriptions (per 100 people),0.42720571842094657
"Health expenditure per capita, PPP (constant 2011 international $)",0.40248335004672686
"Health expenditure per capita, PPP",0.40248335004672686
Years,0.37360518129013887
Proportion of seats held by women in national parliaments (%),0.3591545494901802
Population growth (annual %),0.29639172876717623
Total bilateral ODA commitments (current US$),0.25643335474535545
Bilateral ODA commitments that is untied (current US$),0.250008782672303
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),0.22771233369913335
Rural population growth (annual %),0.2207838058994498
Urban population growth (annual %),0.19832883061642947
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.19601476523252037
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.19601476523252037
Tuberculosis treatment success rate (% of new cases),0.1876987743034526
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.16397697976825798
Children orphaned by HIV/AIDS,0.14743277292188495
"Mortality rate, adult, male (per 1,000 male adults)",0.1442699766637876
GDP growth (annual %),0.14267924198041815
"Educational attainment, completed post-secondary, population 25+ years, male (%)",0.14228883168316409
GDP per person employed (constant 2011 PPP $),0.14029749307740635
Lifetime risk of maternal death (1 in: rate varies by country),0.1401659908123527
Female share of employment in senior and middle management (%),0.13689531994320792
"Educational attainment, completed post-secondary, population 25+ years, female (%)",0.12855308203477578
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.12637335191181376
Adults (ages 15+) living with HIV,0.12501369603382884
"Mortality rate, adult, female (per 1,000 female adults)",0.12381084233241002
Adults (ages 15+) and children (0-14 years) living with HIV,0.12258242696871813
Male population 80+,0.11607431049745864
"Persistence to last grade of primary, total (% of cohort)",0.11446663093617393
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.11213649452257268
Female population 35-39,0.11130159107038384
Ratio of female to male youth unemployment rate (%) (national estimate),0.10965303575981711
"Immunization, Pol3 (% of one-year-old children)",0.1034628939264215
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",0.09949515552440102
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",0.09859534769187106
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.09804948049185569
"Hospital beds (per 1,000 people)",0.09765968288855542
Male population 35-39,0.096500249368634
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.0948513961446642
GINI index (World Bank estimate),0.0948513961446642
Income share held by lowest 20%,0.0948513961446642
Poverty gap at $1.90 a day (2011 PPP) (%),0.0948513961446642
Trade (% of GDP),0.08903025528047204
"Persistence to last grade of primary, male (% of cohort)",0.08722477638345749
"Persistence to last grade of primary, female (% of cohort)",0.08722477638345749
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.08717782473332991
"Employment in industry, male (% of male employment)",0.08260344603153702
"Primary education, teachers (% female)",0.0821691676291878
"Time required to start a business, female (days)",0.08156615170824888
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.08124185182633381
"Immunization, Hib3 (% of children ages 12-23 months)",0.08058583361680016
Agricultural support estimate (% of GDP),0.079273265870625
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),0.0778135024947002
Proportion of women in ministerial level positions (%),0.0776541736871712
"Health expenditure, public (% of total health expenditure)",0.07712037741472022
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.07710877341799471
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.076528282834609
"Time required to start a business, male (days)",0.0764876089668769
"Government expenditure per student, secondary (% of GDP per capita)",0.07620697419197242
"Health expenditure, public (% of government expenditure)",0.07596471535197313
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.0738062748712871
"Prevalence of overweight, female (% of female adults)",0.073303890821653
"Prevalence of overweight, male (% of male adults)",0.07236942592643247
"Health expenditure, private (% of total health expenditure)",0.07233710561880358
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.07160407018200643
"Access to anti-retroviral drugs, male (%)",0.0710546902161131
Sex ratio at birth (male births per female births),0.07026016163386539
Antiretroviral therapy coverage (% of people living with HIV),0.06932496800686416
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.06898057103143795
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),0.06872073856588479
Average tariffs imposed by developed countries on clothing products from least developed countries (%),0.06861316541614304
Average tariffs imposed by developed countries on textile products from least developed countries (%),0.06861316541614304
Average tariffs imposed by developed countries on textile products from developing countries (%),0.06861316541614304
CO2 emissions (kg per PPP $ of GDP),0.06861316541614304
"Health expenditure, public (% of GDP)",0.06861316541614304
Average tariffs imposed by developed countries on clothing products from developing countries (%),0.06721272827851577
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.06629557563986732
"Unemployment, female (% of female labor force)",0.06629557563986732
"Health expenditure, total (% of GDP)",0.06623767507070655
Female population 65-69,0.06585637737727801
"Health expenditure, private (% of GDP)",0.06585343310711633
"Prevalence of obesity, female (% of female population ages 18+)",0.06542855444872098
"Incidence of tuberculosis (per 100,000 people)",0.06465996933762708
"Unemployment, total (% of total labor force)",0.06425393880662855
Incidence of HIV (% of uninfected population ages 15-49),0.06402956716283525
Children (ages 0-14) newly infected with HIV,0.06402956716283525
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",0.06387792358020916
"Employment in industry, female (% of female employment)",0.062989541479743
"Prevalence of obesity, male (% of male population ages 18+)",0.06267009480212526
"Employment to population ratio, 15+, female (%) (national estimate)",0.06260530058826741
Forest area (% of land area),0.0625128089218363
"Immunization, DPT (% of children ages 12-23 months)",0.062285378807805714
"Educational attainment, completed short-cycle tertiary, population 25+ years, male (%)",0.06219417475001765
"Educational attainment, completed short-cycle tertiary, population 25+ years, female (%)",0.06219417475001765
"Survival to age 65, male (% of cohort)",0.06175494937608628
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.06174561943883328
People using safely managed sanitation services (% of population),0.0617110011314046
"Lower secondary completion rate, male (% of relevant age group)",0.061663012570388975
Female population 75-79,0.061530976794343495
"Access to anti-retroviral drugs, female (%)",0.061025089687575695
"Employment in services, male (% of male employment)",0.0603919911992572
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.06028498532295923
Women's share of population ages 15+ living with HIV (%),0.06003302619551243
"Prevalence of HIV, female (% ages 15-24)",0.06003302619551243
"Prevalence of HIV, total (% of population ages 15-49)",0.06003302619551243
"Prevalence of HIV, male (% ages 15-24)",0.06003302619551243
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.05997820498550577
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.059475786969306776
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.0587317903976774
"Unemployment, male (% of male labor force)",0.05750512225259685
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.05750512225259685
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.057421092431461984
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.05709703788241982
Total bilateral sector allocable ODA commitments (current US$),0.056498953945557595
Out-of-pocket health expenditure (% of total expenditure on health),0.055700986532196683
CO2 emissions (kt),0.055472915973490355
"School enrollment, secondary (% gross)",0.055102305392902284
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",0.054973611210671125
"School enrollment, primary, female (% gross)",0.05432043872916403
"Lower secondary completion rate, female (% of relevant age group)",0.0540525652637478
Improved water source (% of population with access),0.05341664201391616
"Survival to age 65, female (% of cohort)",0.05341664201391616
Net ODA provided to the least developed countries (% of donor GNI),0.05341664201391616
Improved sanitation facilities (% of population with access),0.05341664201391616
"Improved water source, urban (% of urban population with access)",0.05341664201391616
"Improved water source, rural (% of rural population with access)",0.05341664201391616
"People using basic sanitation services, urban  (% of urban population)",0.05341664201391616
"People using basic sanitation services, rural (% of rural population)",0.05341664201391616
"People using basic drinking water services, urban (% of urban population)",0.05341664201391616
"People using basic drinking water services, rural (% of rural population)",0.05341664201391616
"People practicing open defecation, urban (% of urban population)",0.05341664201391616
"People practicing open defecation, rural (% of rural population)",0.05341664201391616
"Improved sanitation facilities, rural (% of rural population with access)",0.05341664201391616
"Net ODA provided, total (% of GNI)",0.05341664201391616
"Tuberculosis death rate (per 100,000 people), including HIV",0.05341664201391616
"Tuberculosis death rate (per 100,000 people)",0.05341664201391616
"Improved sanitation facilities, urban (% of urban population with access)",0.05341664201391616
Lifetime risk of maternal death (%),0.05341664201391616
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.05277964606237684
"Employment in agriculture, female (% of female employment)",0.0525139862832853
Male population 65-69,0.05212745613761882
"Unemployment with basic education, female (% of female labor force with basic education)",0.051197148342657206
"Educational attainment, no schooling, population 25+ years, male (%)",0.051070628580492716
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.05094136723985776
"Inflation, consumer prices (annual %)",0.04953410149547821
"Employers, female (% of female employment)",0.04922402620437505
"Contributing family workers, female (% of female employment)",0.04922402620437505
"Contributing family workers, total (% of total employment)",0.04922402620437505
Out-of-pocket health expenditure (% of private expenditure on health),0.049045421764685626
"Own-account workers, female (% of females employed)",0.04903903072593829
"Employment in agriculture, male (% of male employment)",0.048937740776721306
"Labor force with basic education, male (% of male working-age population with basic education)",0.04598263966338778
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.04579117097786134
"Persistence to grade 5, male (% of cohort)",0.045717848823956464
"Persistence to grade 5, female (% of cohort)",0.045717848823956464
Ratio of female to male labor force participation rate (%) (national estimate),0.04547468353055195
Age dependency ratio (% of working-age population),0.04522412089229344
Country_code,0.04359976513291608
"Employment in services, female (% of female employment)",0.04349056666105988
"School enrollment, primary (% gross)",0.043219176957476124
Male population 75-79,0.04306353201581148
"School enrollment, primary, male (% gross)",0.04200771830615846
"Secondary education, pupils (% female)",0.041947248701967865
"Tuberculosis case detection rate (%, all forms)",0.041748630672413745
Tuberculosis case detection rate (all forms),0.041748630672413745
"Self-employed, male (% of male employment)",0.04152879638105511
CO2 emissions (metric tons per capita),0.04138015447987731
"Population ages 00-04, female (% of female population)",0.04111433453141955
"Wage and salaried workers, male (% of male employment)",0.040949560915603866
"Own-account workers, male (% of males employed)",0.0406074178296012
Gross capital formation (% of GDP),0.04002131551649657
"Vulnerable employment, female (% of female employment)",0.03986336824557535
Births attended by skilled health staff (% of total),0.039767855387109474
"Employers, male (% of male employment)",0.03940159319684233
"Primary education, pupils (% female)",0.03896814725900177
"Wage and salaried workers, female (% of female employment)",0.03831006246756763
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.03825843451165678
"School enrollment, primary (gross), gender parity index (GPI)",0.0380361540561851
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.036774669593758746
"School enrollment, secondary, female (% gross)",0.036722302760422654
Female population 40-44,0.03651746106332965
"Vulnerable employment, total (% of total employment)",0.036060989177751246
"Employment to population ratio, 15+, total (%) (national estimate)",0.035860884510364954
"Self-employed, female (% of female employment)",0.035647058841048906
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.03553569759131325
"Secondary education, teachers (% female)",0.03509682612844878
"Unemployment with basic education, male (% of male labor force with basic education)",0.035013052053630256
"Contributing family workers, male (% of male employment)",0.03499702350341449
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",0.03462151437179628
"Population ages 00-04, male (% of male population)",0.03335016459951423
"Self-employed, total (% of total employment)",0.03322387773969315
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.03292652370096749
"Vulnerable employment, male (% of male employment)",0.03269153183240481
"Population ages 15-19, female (% of female population)",0.0318366682693203
Rural population (% of total population),0.031809427901449805
Urban population (% of total),0.031809427901449805
